antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.4695205479452055,302,10,292,0.033112582781456956
1,Amoxicillin-Clavulanic acid,,237,237,0,1.0
2,Aztreonam,0.49703703703703705,77,27,50,0.35064935064935066
3,Cefepime,0.7172557172557172,309,13,296,0.042071197411003236
4,Cefixime,0.47580645161290325,75,31,44,0.41333333333333333
5,Cefotaxime,0.4651504035216434,76,29,47,0.3815789473684211
6,Ceftazidime,0.5633449477351916,310,105,205,0.3387096774193548
7,Ceftriaxone,0.5545334118339711,244,86,158,0.3524590163934426
8,Cefuroxime,0.6264705882352941,37,17,20,0.4594594594594595
9,Ciprofloxacin,0.6050055928411634,322,24,298,0.07453416149068323
10,Colistin,0.44067028985507245,284,8,276,0.028169014084507043
11,Cotrimoxazole,0.6106194690265487,239,13,226,0.05439330543933055
12,Ertapenem,0.9522184300341298,295,2,293,0.006779661016949152
13,Fosfomycin,0.44573643410852715,101,15,86,0.1485148514851485
14,Gentamicin,0.6755674232309746,114,7,107,0.06140350877192982
15,Imipenem,0.7566889632107023,303,4,299,0.013201320132013201
16,Levofloxacin,0.5891195418754474,276,22,254,0.07971014492753623
17,Meropenem,0.9516129032258065,281,2,279,0.0071174377224199285
18,Norfloxacin,0.6447784810126582,174,16,158,0.09195402298850575
19,Piperacillin,0.47230113636363635,76,32,44,0.42105263157894735
20,Piperacillin-Tazobactam,0.5735123042505592,224,75,149,0.33482142857142855
21,Ticarcillin,0.52991452991453,75,36,39,0.48
22,Tobramycin,0.5429864253393666,277,17,260,0.061371841155234655
