antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.5707070707070707,398,2,396,0.005025125628140704
1,Amoxicillin-Clavulanic acid,0.6833333333333333,312,12,300,0.038461538461538464
2,Aztreonam,0.7491749174917492,107,6,101,0.056074766355140186
3,Cefepime,0.7380506091846297,399,11,388,0.02756892230576441
4,Cefixime,0.725,106,6,100,0.05660377358490566
5,Cefotaxime,0.7242857142857142,107,7,100,0.06542056074766354
6,Cefpodoxime,0.6539408866995073,137,21,116,0.15328467153284672
7,Ceftazidime,0.7402283706631533,425,11,414,0.02588235294117647
8,Ceftriaxone,0.7009584664536741,318,5,313,0.015723270440251572
9,Cefuroxime,0.5419776119402985,83,16,67,0.1927710843373494
10,Chloramphenicol,0.13636363636363635,25,3,22,0.12
11,Ciprofloxacin,0.6944110576923077,424,8,416,0.018867924528301886
12,Colistin,,342,0,342,0.0
13,Cotrimoxazole,0.9748858447488584,295,3,292,0.010169491525423728
14,Ertapenem,0.994475138121547,363,1,362,0.0027548209366391185
15,Fosfomycin,0.6026666666666667,155,5,150,0.03225806451612903
16,Gentamicin,,190,0,190,0.0
17,Levofloxacin,0.5761904761904761,341,5,336,0.01466275659824047
18,Meropenem,,362,0,362,0.0
19,Nitrofurantoin,0.9166666666666666,61,1,60,0.01639344262295082
20,Norfloxacin,0.8031869078380707,267,9,258,0.033707865168539325
21,Piperacillin,,30,30,0,1.0
22,Piperacillin-Tazobactam,0.7326007326007326,282,9,273,0.031914893617021274
23,Tigecycline,0.5929487179487178,107,104,3,0.9719626168224299
24,Tobramycin,0.5911764705882353,342,2,340,0.005847953216374269
