antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.7710317460317461,766,10,756,0.013054830287206266
1,Aztreonam,0.73828125,48,16,32,0.3333333333333333
2,Cefepime,0.6829654782116583,758,93,665,0.12269129287598944
3,Cefixime,0.5888888888888889,47,20,27,0.425531914893617
4,Cefotaxime,0.6313725490196078,47,17,30,0.3617021276595745
5,Ceftazidime,0.6469702581278884,783,221,562,0.2822477650063857
6,Ceftriaxone,0.6402364343149263,745,211,534,0.2832214765100671
7,Cefuroxime,0.6906024096385542,133,83,50,0.6240601503759399
8,Ciprofloxacin,0.6891534391534392,801,45,756,0.056179775280898875
9,Colistin,0.5613222871994801,667,19,648,0.02848575712143928
10,Cotrimoxazol,,40,0,40,0.0
11,Cotrimoxazole,0.6873634775010922,710,56,654,0.07887323943661972
12,Ertapenem,0.6655700766110861,704,70,634,0.09943181818181818
13,Fosfomycin,0.544988344988345,131,65,66,0.4961832061068702
14,Gentamicin,0.8994413407821229,180,1,179,0.005555555555555556
15,Imipenem,0.34876140808344197,769,2,767,0.002600780234070221
16,Levofloxacin,0.7112994139385569,666,43,623,0.06456456456456457
17,Meropenem,0.7027027027027026,704,1,703,0.0014204545454545455
18,Nitrofurantoin,0.6646136618141097,85,47,38,0.5529411764705883
19,Norfloxacin,0.5675675675675675,325,29,296,0.08923076923076922
20,Piperacillin,0.717741935483871,47,16,31,0.3404255319148936
21,Piperacillin-Tazobactam,0.6340638329166053,705,182,523,0.2581560283687943
22,Ticarcillin,0.6466165413533834,47,19,28,0.40425531914893614
23,Tigecycline,0.8421052631578947,39,1,38,0.02564102564102564
24,Tobramycin,0.7583884193791315,667,38,629,0.05697151424287856
