antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.7826086956521741,27,4,23,0.14814814814814814
1,Amoxicillin-Clavulanic acid,0.8402366863905325,339,1,338,0.0029498525073746312
2,Ampicillin,0.7913270637408569,1919,5,1914,0.0026055237102657635
3,Chloramphenicol,0.6207983193277311,185,17,168,0.0918918918918919
4,Ciprofloxacin,0.8168176728087142,1657,517,1140,0.312009656004828
5,Clindamycin,0.1528776978417266,1670,1668,2,0.9988023952095808
6,Cotrimoxazole,0.6003787878787878,182,176,6,0.967032967032967
7,Daptomycin,0.25,1617,1,1616,0.0006184291898577613
8,Fosfomycin,0.571167754329463,1419,108,1311,0.07610993657505286
9,Gentamicin,0.9994026284348865,1692,1674,18,0.9893617021276596
10,Gentamicin_high_level,0.5706991358994501,153,19,134,0.12418300653594772
11,Imipenem,0.9018609661312497,2052,1487,565,0.7246588693957114
12,Levofloxacin,0.8397932712879761,2038,480,1558,0.23552502453385674
13,Linezolid,0.7592877425461428,2121,8,2113,0.003771805752003772
14,Minocycline,0.7198728491343485,1579,1030,549,0.6523115896136795
15,Mupirocin,,264,264,0,1.0
16,Nitrofurantoin,0.6614396654719236,1686,12,1674,0.0071174377224199285
17,Norfloxacin,0.48921498449057504,1412,1397,15,0.9893767705382436
18,Oxacillin,0.44866920152091255,264,263,1,0.9962121212121212
19,Penicillin,0.7296589454079851,1584,22,1562,0.013888888888888888
20,Piperacillin-Tazobactam,0.8452380952380952,337,1,336,0.002967359050445104
21,Pristinamycin,0.6430810403595004,1580,1449,131,0.9170886075949367
22,Strepomycin_high_level,0.5079365079365079,25,7,18,0.28
23,Teicoplanin,0.8,2031,5,2026,0.002461841457410143
24,Tetracycline,0.7173911923504925,1581,1277,304,0.8077166350411132
25,Vancomycin,0.6969574853919001,2134,7,2127,0.0032802249297094657
