antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.9366391184573002,44,33,11,0.75
1,Amoxicillin-Clavulanic acid,0.8415300546448087,73,61,12,0.8356164383561644
2,Ampicillin,0.8923758865248227,527,480,47,0.9108159392789373
3,Chloramphenicol,0.5719489981785063,186,3,183,0.016129032258064516
4,Ciprofloxacin,0.9743716931216931,475,448,27,0.9431578947368421
5,Clindamycin,0.9454545454545454,56,55,1,0.9821428571428571
6,Daptomycin,0.6634461379488504,588,35,553,0.05952380952380952
7,Fosfomycin,0.5828368794326242,319,94,225,0.2946708463949843
8,Gentamicin,0.8414239482200647,521,515,6,0.9884836852207294
9,Gentamicin_high_level,0.6652097902097902,162,52,110,0.32098765432098764
10,Imipenem,0.9081774081774082,631,592,39,0.9381933438985737
11,Levofloxacin,0.9582947101717959,1043,899,144,0.8619367209971237
12,Linezolid,0.7141441231343284,1088,16,1072,0.014705882352941176
13,Minocycline,0.8267100660707346,456,124,332,0.2719298245614035
14,Mupirocin,0.7211538461538461,54,2,52,0.037037037037037035
15,Nitrofurantoin,0.583969465648855,386,262,124,0.6787564766839378
16,Norfloxacin,0.3602941176470588,273,272,1,0.9963369963369964
17,Penicillin,0.8990258030542391,458,422,36,0.9213973799126638
18,Piperacillin-Tazobactam,0.8116666666666666,70,60,10,0.8571428571428571
19,Pristinamycin,0.7222553445192063,457,59,398,0.12910284463894967
20,Teicoplanin,0.8107986075709688,1038,71,967,0.06840077071290944
21,Tetracycline,0.7850104821802935,459,159,300,0.3464052287581699
22,Tigecycline,,579,0,579,0.0
23,Vancomycin,0.8156078156078156,1112,111,1001,0.09982014388489209
