antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.7389946272475671,3615,229,3386,0.06334716459197787
1,Amoxicillin-Clavulanic acid,0.6173069341372913,3010,770,2240,0.2558139534883721
2,Ampicillin,0.6177845325891967,1329,865,464,0.6508653122648608
3,Aztreonam,0.6775114591291062,771,176,595,0.22827496757457846
4,Cefepime,0.7842487462583553,3654,689,2965,0.18856048166392994
5,Cefixime,0.6588545095457539,743,155,588,0.20861372812920592
6,Cefotaxime,0.6779083204930663,766,176,590,0.2297650130548303
7,Cefoxitin,0.5708232445520581,132,14,118,0.10606060606060606
8,Cefpodoxime,0.8070736806177737,1030,429,601,0.41650485436893203
9,Ceftazidime,0.759831437486586,3768,714,3054,0.18949044585987262
10,Ceftriaxone,0.8020572583723844,3071,643,2428,0.20937805275154672
11,Cefuroxime,0.7761896670857827,1342,765,577,0.5700447093889717
12,Chloramphenicol,0.5973133557220356,623,70,553,0.11235955056179775
13,Ciprofloxacin,0.7475277848748084,3791,1216,2575,0.320759694012134
14,Colistin,0.5560450732864526,3230,11,3219,0.003405572755417957
15,Cotrimoxazol,0.639921722113503,108,35,73,0.32407407407407407
16,Cotrimoxazole,0.623002277031772,2919,959,1960,0.328537170263789
17,Ertapenem,0.5658401946107784,3372,32,3340,0.009489916963226572
18,Fosfomycin,0.5762447429114096,1123,70,1053,0.06233303650934995
19,Gentamicin,0.6208008551422636,1337,139,1198,0.10396409872849663
20,Imipenem,0.4007111597374179,3659,3,3656,0.0008198961464881115
21,Levofloxacin,0.7523182105823303,3188,1032,2156,0.3237139272271016
22,Meropenem,0.3953139080805046,3332,3,3329,0.000900360144057623
23,Nitrofurantoin,0.5439309076916499,1250,19,1231,0.0152
24,Norfloxacin,0.7355666122039551,1234,381,853,0.3087520259319287
25,Piperacillin,0.6029872604443884,757,506,251,0.6684280052840158
26,Piperacillin-Tazobactam,0.6187556371601598,2827,240,2587,0.08489564909798372
27,Ticarcillin,0.5956783505154639,735,485,250,0.6598639455782312
28,Tigecycline,0.6364952059337876,767,721,46,0.940026075619296
29,Tobramycin,0.7206713614324495,3193,439,2754,0.13748825555903538
