antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin,0.4732142857142857,30,14,16,0.4666666666666667
1,Amoxicillin-Clavulanic acid,0.40246913580246907,69,15,54,0.21739130434782608
2,Ampicillin,0.5978151260504202,205,35,170,0.17073170731707318
3,Ceftriaxone,0.13257575757575757,70,4,66,0.05714285714285714
4,Cefuroxime,0.5878203133105094,200,81,119,0.405
5,Ciprofloxacin,0.9135802469135803,82,1,81,0.012195121951219513
6,Clarithromycin,0.3548387096774194,32,31,1,0.96875
7,Levofloxacin,0.911764705882353,189,2,187,0.010582010582010581
8,Meropenem_with_meningitis,0.47619047619047616,37,9,28,0.24324324324324326
9,Meropenem_without_meningitis,0.12142857142857144,39,4,35,0.10256410256410256
10,Penicillin,0.6394360563943605,210,73,137,0.3476190476190476
