antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,,587,0,587,0.0
1,Amoxicillin-Clavulanic acid,0.6441448115770237,448,51,397,0.11383928571428571
2,Aztreonam,0.5861321776814734,168,26,142,0.15476190476190477
3,Cefepime,0.5436880192977754,587,13,574,0.022146507666098807
4,Cefixime,0.4571026722925457,167,9,158,0.05389221556886228
5,Cefotaxime,0.46772151898734177,168,10,158,0.05952380952380952
6,Cefpodoxime,0.6138095238095238,164,14,150,0.08536585365853659
7,Ceftazidime,0.5220099667774086,614,12,602,0.019543973941368076
8,Ceftriaxone,0.6744013989776702,449,36,413,0.0801781737193764
9,Cefuroxime,0.7481203007518796,263,95,168,0.3612167300380228
10,Chloramphenicol,0.568075117370892,74,3,71,0.04054054054054054
11,Ciprofloxacin,0.5786936848317923,615,17,598,0.027642276422764227
12,Colistin,0.3938223938223938,519,1,518,0.0019267822736030828
13,Cotrimoxazole,0.5723970944309927,428,15,413,0.035046728971962614
14,Ertapenem,0.6623376623376623,541,2,539,0.0036968576709796672
15,Fosfomycin,0.43252955082742317,216,75,141,0.3472222222222222
16,Gentamicin,0.5642156862745098,263,8,255,0.030418250950570342
17,Imipenem,0.3549488054607508,587,1,586,0.0017035775127768314
18,Levofloxacin,0.5488845144356955,520,12,508,0.023076923076923078
19,Nitrofurantoin,0.8809523809523809,149,23,126,0.15436241610738255
20,Norfloxacin,0.5210651828298887,313,17,296,0.054313099041533544
21,Piperacillin,0.21875,161,160,1,0.9937888198757764
22,Piperacillin-Tazobactam,0.6457273320287018,407,42,365,0.10319410319410319
23,Tigecycline,0.7051282051282051,159,3,156,0.018867924528301886
24,Tobramycin,0.5515564202334631,520,6,514,0.011538461538461539
