antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.7443193168944922,9413,567,8846,0.060235844045469035
1,Amoxicillin-Clavulanic acid,0.6994962915582981,1725,298,1427,0.17275362318840579
2,Ampicillin,0.45840190162735417,1826,1823,3,0.9983570646221248
3,Aztreonam,0.7387531016882335,7325,1481,5844,0.20218430034129692
4,Cefazolin,0.5262483994878362,82,11,71,0.13414634146341464
5,Cefepime,0.7479100040375479,8984,1585,7399,0.17642475512021372
6,Cefixime,0.7578268043010363,5347,553,4794,0.10342247989526837
7,Cefotaxime,0.7628504939296367,6518,592,5926,0.09082540656643143
8,Cefoxitin,0.6523612862753299,1737,199,1538,0.11456534254461716
9,Cefpodoxime,0.7234124192620067,937,114,823,0.12166488794023479
10,Ceftazidime,0.7365156186049298,8239,901,7338,0.10935793178783833
11,Ceftriaxone,0.7486659818137393,1738,257,1481,0.1478711162255466
12,Cefuroxime,0.6531403583298406,7839,3171,4668,0.4045158821278224
13,Chloramphenicol,0.5467484817813765,311,64,247,0.2057877813504823
14,Ciprofloxacin,0.7401991622875909,9601,2448,7153,0.2549734402666389
15,Colistin,0.6704259125268605,9213,121,9092,0.013133615543254097
16,Cotrimoxazol,0.6538461538461539,83,5,78,0.060240963855421686
17,Cotrimoxazole,0.6990532257917188,1651,332,1319,0.20109024833434283
18,Ertapenem,0.7633948687210272,9439,774,8665,0.08200021188685241
19,Fosfomycin,0.5558586152375632,7918,2174,5744,0.2745642839100783
20,Gentamicin,0.7341200195926385,8157,1055,7102,0.12933676596788035
21,Imipenem,0.7343989758428018,9523,317,9206,0.03328782946550457
22,Levofloxacin,0.7587907380180847,8200,2087,6113,0.2545121951219512
23,Meropenem,0.7730350489553104,9229,247,8982,0.02676346299707444
24,Minocycline,0.5408798576902025,1506,288,1218,0.19123505976095617
25,Nitrofurantoin,0.5949621991526944,5753,1431,4322,0.24873978793672866
26,Norfloxacin,0.6942126851744514,6773,1902,4871,0.2808209065406762
27,Piperacillin,0.47235565128647966,7335,7279,56,0.9923653715064757
28,Piperacillin-Tazobactam,0.732359886548852,1595,228,1367,0.14294670846394986
29,Ticarcillin,,1397,1397,0,1.0
30,Tigecycline,0.7661541828527657,1168,49,1119,0.04195205479452055
31,Tobramycin,0.7626890677005114,9339,1620,7719,0.17346610986186958
