antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,,331,0,331,0.0
1,Amoxicillin-Clavulanic acid,0.6790780141843972,298,16,282,0.053691275167785234
2,Aztreonam,,28,0,28,0.0
3,Cefepime,0.8558282208588958,331,5,326,0.015105740181268883
4,Cefixime,,28,0,28,0.0
5,Cefotaxime,,28,0,28,0.0
6,Cefpodoxime,0.7192737430167597,183,4,179,0.02185792349726776
7,Ceftazidime,0.756441717791411,331,5,326,0.015105740181268883
8,Ceftriaxone,0.840628507295174,303,6,297,0.019801980198019802
9,Cefuroxime,0.535064935064935,46,11,35,0.2391304347826087
10,Ciprofloxacin,0.7677793904208998,331,13,318,0.03927492447129909
11,Colistin,0.09935897435897434,313,1,312,0.003194888178913738
12,Cotrimoxazole,0.7688455455983132,285,14,271,0.04912280701754386
13,Ertapenem,0.8666666666666667,331,1,330,0.0030211480362537764
14,Fosfomycin,0.4693333333333333,40,15,25,0.375
15,Levofloxacin,0.7471402769416013,313,11,302,0.03514376996805112
16,Norfloxacin,0.8157509157509157,223,13,210,0.05829596412556054
17,Piperacillin-Tazobactam,0.6341324200913241,298,6,292,0.020134228187919462
18,Tobramycin,,313,0,313,0.0
