antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.6683130699088146,383,7,376,0.018276762402088774
1,Aztreonam,0.6059778242005462,176,49,127,0.2784090909090909
2,Cefepime,0.65625,386,2,384,0.0051813471502590676
3,Cefixime,0.5067617408409146,132,49,83,0.3712121212121212
4,Cefotaxime,0.5287138111058377,135,49,86,0.362962962962963
5,Cefpodoxime,0.3484848484848485,67,66,1,0.9850746268656716
6,Ceftazidime,0.5579650845608293,406,94,312,0.2315270935960591
7,Ceftriaxone,0.39530456852791873,229,32,197,0.13973799126637554
8,Cefuroxime,0.9701492537313433,68,67,1,0.9852941176470589
9,Chloramphenicol,0.6311475409836065,73,12,61,0.1643835616438356
10,Ciprofloxacin,0.7257394380682052,406,73,333,0.17980295566502463
11,Cotrimoxazole,0.5212765957446809,211,23,188,0.10900473933649289
12,Ertapenem,0.06554307116104865,359,3,356,0.008356545961002786
13,Fosfomycin,0.5150462962962963,219,192,27,0.8767123287671232
14,Gentamicin,0.5846679478966474,244,21,223,0.0860655737704918
15,Imipenem,0.44170820309199965,355,266,89,0.7492957746478873
16,Levofloxacin,0.7062840777661508,338,67,271,0.19822485207100593
17,Nitrofurantoin,0.33947772657450076,220,217,3,0.9863636363636363
18,Norfloxacin,0.7216352201257862,209,50,159,0.23923444976076555
19,Piperacillin,0.5033524904214559,135,48,87,0.35555555555555557
20,Piperacillin-Tazobactam,0.2838283828382838,208,6,202,0.028846153846153848
21,Ticarcillin,0.6161548731642189,177,70,107,0.3954802259887006
22,Tobramycin,0.7315744192715802,339,22,317,0.06489675516224189
