antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.56824442774856,1122,33,1089,0.029411764705882353
1,Amoxicillin-Clavulanic acid,0.6289752650176678,614,48,566,0.0781758957654723
2,Ampicillin,0.5938182245001761,724,305,419,0.4212707182320442
3,Aztreonam,0.8440492476060191,570,43,527,0.07543859649122807
4,Cefepime,0.798757329424307,1128,56,1072,0.04964539007092199
5,Cefixime,0.8466964820876942,570,41,529,0.07192982456140351
6,Cefotaxime,0.8495814204698893,571,42,529,0.07355516637478109
7,Cefoxitin,0.851063829787234,48,1,47,0.020833333333333332
8,Cefpodoxime,0.6770353302611367,229,12,217,0.05240174672489083
9,Ceftazidime,0.8461765574254503,1183,54,1129,0.04564666103127642
10,Ceftriaxone,0.6753220338983051,615,25,590,0.04065040650406504
11,Cefuroxime,0.7434045919493708,722,214,508,0.296398891966759
12,Chloramphenicol,0.6397504456327985,151,66,85,0.4370860927152318
13,Ciprofloxacin,0.7481046099013615,1185,284,901,0.23966244725738398
14,Cotrimoxazol,0.5255102040816326,42,14,28,0.3333333333333333
15,Cotrimoxazole,0.5935665614583641,573,167,406,0.2914485165794066
16,Ertapenem,0.7133084577114427,1075,3,1072,0.0027906976744186047
17,Fosfomycin,0.6574767226239416,676,227,449,0.33579881656804733
18,Gentamicin,0.6009024893165585,723,109,614,0.1507607192254495
19,Imipenem,0.8210373944511458,1029,829,200,0.8056365403304179
20,Levofloxacin,0.758519003931848,1027,264,763,0.25705939629990265
21,Meropenem,0.7379396202925614,1077,6,1071,0.005571030640668524
22,Nitrofurantoin,0.3228550295857988,678,676,2,0.9970501474926253
23,Norfloxacin,0.7542399526530914,739,201,538,0.2719891745602165
24,Piperacillin,0.5962468487935381,569,228,341,0.4007029876977153
25,Piperacillin-Tazobactam,0.8516363636363636,555,5,550,0.009009009009009009
26,Ticarcillin,0.598922662562524,569,230,339,0.40421792618629176
27,Tigecycline,,538,538,0,1.0
28,Tobramycin,0.6404168978912319,1029,128,901,0.12439261418853255
