antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.44670050761421326,201,4,197,0.01990049751243781
1,Amoxicillin-Clavulanic acid,0.6957328385899815,207,11,196,0.05314009661835749
2,Cefepime,0.035175879396984966,200,1,199,0.005
3,Cefpodoxime,0.4225352112676056,76,5,71,0.06578947368421052
4,Ceftazidime,0.25116279069767444,217,2,215,0.009216589861751152
5,Ceftriaxone,0.37315270935960587,207,4,203,0.01932367149758454
6,Cefuroxime,,46,46,0,1.0
7,Ciprofloxacin,0.5976744186046512,217,2,215,0.009216589861751152
8,Cotrimoxazole,0.7115683229813665,198,14,184,0.0707070707070707
9,Fosfomycin,0.84375,34,2,32,0.058823529411764705
10,Gentamicin,,46,0,46,0.0
11,Imipenem,0.6157184185149469,156,122,34,0.782051282051282
12,Levofloxacin,0.611731843575419,181,2,179,0.011049723756906077
13,Norfloxacin,,104,0,104,0.0
14,Polymyxin B,,27,27,0,1.0
15,Tobramycin,0.4675141242937853,181,4,177,0.022099447513812154
