antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.6535858210415117,2217,122,2095,0.05502931889941362
1,Amoxicillin-Clavulanic acid,0.5965909090909091,177,176,1,0.9943502824858758
2,Aztreonam,0.8668044729365485,1142,1036,106,0.9071803852889667
3,Cefepime,0.9233609726268657,2553,1061,1492,0.4155895025460243
4,Ceftazidime,0.9389044338341155,2261,910,1351,0.4024767801857585
5,Ceftolozane-Tazobactam,0.5520833333333333,41,9,32,0.21951219512195122
6,Ceftriaxone,0.5795454545454546,177,176,1,0.9943502824858758
7,Cefuroxime,0.8860369609856262,975,974,1,0.9989743589743589
8,Ciprofloxacin,0.8562081442010394,2589,900,1689,0.34762456546929316
9,Colistin,0.776074200265001,2393,45,2348,0.01880484747179273
10,Cotrimoxazole,0.5965909090909091,177,176,1,0.9943502824858758
11,Ertapenem,0.96625,801,800,1,0.9987515605493134
12,Fosfomycin,0.5386986750623115,781,385,396,0.49295774647887325
13,Gentamicin,0.6935624184428012,261,19,242,0.07279693486590039
14,Imipenem,0.9127215392811485,2214,971,1243,0.4385727190605239
15,Levofloxacin,0.8785749476673808,1953,739,1214,0.3783922171018945
16,Meropenem,0.6706101281809542,2412,391,2021,0.162106135986733
17,Norfloxacin,0.8651026392961876,166,155,11,0.9337349397590361
18,Piperacillin-Tazobactam,0.6602921449442001,1812,309,1503,0.17052980132450332
19,Tobramycin,0.8050295857988166,2397,200,2197,0.08343763037129745
