antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.8676165803108808,606,220,386,0.36303630363036304
1,Aztreonam,0.6376344086021505,139,15,124,0.1079136690647482
2,Cefepime,0.6216887417218544,612,8,604,0.013071895424836602
3,Cefixime,0.6623188405797101,107,15,92,0.14018691588785046
4,Cefotaxime,0.664983164983165,111,12,99,0.10810810810810811
5,Ceftazidime,0.700751879699248,624,35,589,0.05608974358974359
6,Ceftriaxone,0.6301859799713877,487,21,466,0.043121149897330596
7,Chloramphenicol,0.6237989652623799,74,33,41,0.44594594594594594
8,Ciprofloxacin,0.6818707912457913,626,32,594,0.051118210862619806
9,Cotrimoxazole,0.6392324093816631,474,5,469,0.010548523206751054
10,Ertapenem,0.9707903780068728,583,1,582,0.0017152658662092624
11,Fosfomycin,0.40794417606011807,165,27,138,0.16363636363636364
12,Gentamicin,0.3053191489361702,193,5,188,0.025906735751295335
13,Imipenem,0.7656765676567656,608,2,606,0.003289473684210526
14,Levofloxacin,0.6912529883279426,573,26,547,0.04537521815008726
15,Norfloxacin,0.6956896551724139,126,10,116,0.07936507936507936
16,Piperacillin,0.7656033287101247,110,7,103,0.06363636363636363
17,Piperacillin-Tazobactam,0.5774336283185841,472,20,452,0.0423728813559322
18,Ticarcillin,0.5208333333333334,107,11,96,0.102803738317757
19,Tobramycin,0.8786342123056119,569,221,348,0.3884007029876977
