antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.5556879739978331,853,143,710,0.16764361078546308
1,Amoxicillin-Clavulanic acid,0.8949073738520719,2349,378,1971,0.16091954022988506
2,Ampicillin,0.5881239508790529,1211,980,231,0.8092485549132948
3,Benzylpenicillin,0.562753036437247,179,114,65,0.6368715083798883
4,Cefazolin,0.9109053281419902,1813,351,1462,0.19360176503033646
5,Cefepime,0.9070320740446804,1991,362,1629,0.18181818181818182
6,Ceftriaxone,0.9110008145575862,1813,351,1462,0.19360176503033646
7,Cefuroxime,0.9109589174568655,1813,351,1462,0.19360176503033646
8,Chloramphenicol,0.601094470046083,872,4,868,0.0045871559633027525
9,Ciprofloxacin,0.9112538137013516,3253,1187,2066,0.36489394405164466
10,Clarithromycin,0.6223249027237354,305,48,257,0.15737704918032788
11,Clindamycin,0.6696658245209309,3029,566,2463,0.1868603499504787
12,Cotrimoxazol,0.41763005780346824,177,4,173,0.022598870056497175
13,Cotrimoxazole,0.6155977355977356,2215,70,2145,0.03160270880361174
14,Daptomycin,0.6776088458880443,2907,13,2894,0.004471964224286206
15,Doxycycline,0.5674087816944959,305,11,294,0.036065573770491806
16,Erythromycin,0.6860529467266657,2822,664,2158,0.23529411764705882
17,Fosfomycin,0.6585352543112858,1036,18,1018,0.017374517374517374
18,Fusidic acid,0.609220334969704,2729,186,2543,0.06815683400513009
19,Gentamicin,0.7113412342672392,3197,124,3073,0.03878636221457617
20,Imipenem,0.9562957210141295,2670,1174,1496,0.4397003745318352
21,Levofloxacin,0.9888990718218339,1036,869,167,0.8388030888030888
22,Meropenem,0.9108557906372114,1815,351,1464,0.1933884297520661
23,Minocycline,0.5677570093457944,858,2,856,0.002331002331002331
24,Moxifloxacin,,159,159,0,1.0
25,Mupirocin,0.8050306973334556,3188,70,3118,0.021957340025094103
26,Nitrofurantoin,0.3034825870646766,70,3,67,0.04285714285714286
27,Norfloxacin,0.9463444292445661,180,129,51,0.7166666666666667
28,Oxacillin,0.8322633560629162,3607,619,2988,0.1716107568616579
29,Penicillin,0.6237274889822781,2977,2271,706,0.7628485052065838
30,Piperacillin-Tazobactam,0.9111535347874145,1815,351,1464,0.1933884297520661
31,Pristinamycin,,858,0,858,0.0
32,Rifampicin,0.6959628556375131,2349,13,2336,0.005534269902085994
33,Teicoplanin,0.48260105448154655,2847,2,2845,0.0007024938531787847
34,Tetracycline,0.6911091476945836,2829,184,2645,0.06504065040650407
35,Tigecycline,0.005027652086475598,1990,1,1989,0.0005025125628140704
36,Tobramycin,0.5657412819014221,853,145,708,0.16998827667057445
