antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin-Clavulanic acid,0.9151549508692365,183,36,147,0.19672131147540983
1,Cefazolin,0.9363476733977173,168,34,134,0.20238095238095238
2,Cefepime,0.9134975369458127,180,35,145,0.19444444444444445
3,Ceftriaxone,0.9363476733977173,168,34,134,0.20238095238095238
4,Cefuroxime,0.9356892010535557,168,34,134,0.20238095238095238
5,Ciprofloxacin,0.7010976639459612,206,19,187,0.09223300970873786
6,Clindamycin,0.7451499118165785,190,28,162,0.14736842105263157
7,Cotrimoxazole,0.8333333333333333,188,6,182,0.031914893617021274
8,Daptomycin,0.8525641025641025,203,8,195,0.03940886699507389
9,Erythromycin,0.7457704618198445,189,27,162,0.14285714285714285
10,Fusidic acid,0.5447415329768271,199,34,165,0.1708542713567839
11,Gentamicin,0.9236499068901304,191,12,179,0.06282722513089005
12,Imipenem,0.914074074074074,175,40,135,0.22857142857142856
13,Meropenem,0.93612818261633,168,34,134,0.20238095238095238
14,Mupirocin,0.6923076923076923,27,1,26,0.037037037037037035
15,Oxacillin,0.9216027874564461,206,42,164,0.20388349514563106
16,Penicillin,0.5088757396449705,171,169,2,0.9883040935672515
17,Piperacillin-Tazobactam,0.9359086918349429,168,34,134,0.20238095238095238
18,Rifampicin,0.9797979797979798,199,1,198,0.005025125628140704
19,Tetracycline,0.39309346567411085,187,31,156,0.1657754010695187
