antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.7994689448164397,335,213,122,0.6358208955223881
1,Amoxicillin-Clavulanic acid,0.855639089968004,2248,1571,677,0.6988434163701067
2,Ampicillin,0.7202985074626866,355,335,20,0.9436619718309859
3,Benzylpenicillin,0.8440366972477065,110,109,1,0.990909090909091
4,Cefazolin,0.8597282911365292,2126,1506,620,0.7083725305738476
5,Cefepime,0.853610776381477,2236,1570,666,0.7021466905187835
6,Ceftriaxone,0.859571391851947,2126,1506,620,0.7083725305738476
7,Cefuroxime,0.8598102214796728,2126,1506,620,0.7083725305738476
8,Chloramphenicol,0.7683723462166576,356,22,334,0.06179775280898876
9,Ciprofloxacin,0.8736009665129314,2798,1759,1039,0.6286633309506791
10,Clindamycin,0.7503554575742187,2543,1315,1228,0.517105780574125
11,Cotrimoxazol,0.7568627450980392,109,34,75,0.3119266055045872
12,Cotrimoxazole,0.816570951042645,2280,794,1486,0.3482456140350877
13,Daptomycin,0.9078341013824884,2822,1,2821,0.00035435861091424523
14,Doxycycline,0.5185185185185186,28,1,27,0.03571428571428571
15,Erythromycin,0.6326749859445093,2551,1593,958,0.6244609956879655
16,Fosfomycin,0.5776748971193416,459,27,432,0.058823529411764705
17,Fusidic acid,0.6471769825615981,2535,1365,1170,0.5384615384615384
18,Gentamicin,0.852719354347495,2569,1194,1375,0.46477228493577266
19,Imipenem,0.8490816054691961,2469,1841,628,0.7456460105305792
20,Levofloxacin,0.8235681369321923,454,392,62,0.8634361233480177
21,Linezolid,0.8450270178993583,2650,18,2632,0.006792452830188679
22,Meropenem,0.8596308315126591,2126,1506,620,0.7083725305738476
23,Minocycline,0.3905817174515236,362,1,361,0.0027624309392265192
24,Moxifloxacin,0.928921568627451,206,204,2,0.9902912621359223
25,Mupirocin,0.690140589569161,490,175,315,0.35714285714285715
26,Oxacillin,0.8360672523987752,2771,1958,813,0.7066041140382533
27,Penicillin,0.7625154511742891,2443,2427,16,0.9934506753990995
28,Piperacillin-Tazobactam,0.8600908195176284,2126,1506,620,0.7083725305738476
29,Pristinamycin,0.6202020202020202,348,18,330,0.05172413793103448
30,Rifampicin,0.739983535643003,2487,228,2259,0.09167671893848009
31,Teicoplanin,0.812982158028887,590,55,535,0.09322033898305085
32,Tetracycline,0.7733556723523703,2479,1270,1209,0.5123033481242436
33,Tigecycline,0.6696676914068218,2283,6,2277,0.002628120893561104
34,Tobramycin,0.8096526307535483,335,218,117,0.6507462686567164
35,Vancomycin,0.19767850861765746,2844,1,2843,0.00035161744022503517
