antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin-Clavulanic acid,0.8536585365853658,126,85,41,0.6746031746031746
1,Cefazolin,0.9037308461025982,117,79,38,0.6752136752136753
2,Cefepime,0.853658536585366,126,85,41,0.6746031746031746
3,Ceftriaxone,0.9067288474350433,117,79,38,0.6752136752136753
4,Cefuroxime,0.9007328447701531,117,79,38,0.6752136752136753
5,Ciprofloxacin,0.8685897435897436,148,96,52,0.6486486486486487
6,Clindamycin,0.5798421372191863,142,81,61,0.5704225352112676
7,Cotrimoxazole,0.8781275221953188,122,59,63,0.48360655737704916
8,Erythromycin,0.8031674208144798,145,119,26,0.8206896551724138
9,Fosfomycin,0.6992481203007519,26,19,7,0.7307692307692307
10,Fusidic acid,0.6315237345921847,134,41,93,0.30597014925373134
11,Gentamicin,0.8986394557823131,139,90,49,0.6474820143884892
12,Imipenem,0.897752192982456,134,96,38,0.7164179104477612
13,Levofloxacin,0.4318181818181818,26,22,4,0.8461538461538461
14,Meropenem,0.9007328447701531,117,79,38,0.6752136752136753
15,Mupirocin,0.6740740740740742,33,15,18,0.45454545454545453
16,Oxacillin,0.8280166435506241,145,103,42,0.7103448275862069
17,Penicillin,0.297979797979798,135,132,3,0.9777777777777777
18,Piperacillin-Tazobactam,0.907728181212525,117,79,38,0.6752136752136753
19,Rifampicin,0.932909604519774,130,12,118,0.09230769230769231
20,Teicoplanin,0.8529411764705882,145,26,119,0.1793103448275862
21,Tetracycline,0.738508682328907,144,55,89,0.3819444444444444
22,Tigecycline,0.7575757575757577,127,6,121,0.047244094488188976
