antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amoxicillin-Clavulanic acid,0.6640969162995596,347,120,227,0.345821325648415
1,Cefazolin,0.6641539695268645,331,116,215,0.3504531722054381
2,Cefepime,0.6650073746312684,346,120,226,0.3468208092485549
3,Ceftriaxone,0.6630312750601443,331,116,215,0.3504531722054381
4,Cefuroxime,0.6628708901363272,331,116,215,0.3504531722054381
5,Ciprofloxacin,0.5324195804195805,380,55,325,0.14473684210526316
6,Clindamycin,0.6147526837182009,372,111,261,0.29838709677419356
7,Cotrimoxazole,0.52046783625731,352,19,333,0.05397727272727273
8,Erythromycin,0.6270293988591488,374,215,159,0.5748663101604278
9,Fosfomycin,0.5672514619883041,28,19,9,0.6785714285714286
10,Fusidic acid,0.5673846153846154,370,195,175,0.527027027027027
11,Gentamicin,0.5683248886841701,373,39,334,0.10455764075067024
12,Imipenem,0.6726467331118495,341,126,215,0.36950146627565983
13,Levofloxacin,0.5222222222222223,28,10,18,0.35714285714285715
14,Meropenem,0.66299117882919,331,116,215,0.3504531722054381
15,Mupirocin,0.5308641975308642,33,6,27,0.18181818181818182
16,Oxacillin,0.6621054057715757,364,122,242,0.33516483516483514
17,Penicillin,0.2955801104972376,363,362,1,0.9972451790633609
18,Piperacillin-Tazobactam,0.66271050521251,331,116,215,0.3504531722054381
19,Rifampicin,0.5174731182795699,378,6,372,0.015873015873015872
20,Teicoplanin,0.5947712418300654,54,3,51,0.05555555555555555
21,Tetracycline,0.5492210321324246,367,130,237,0.3542234332425068
