antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Amikacin,0.38888888888888884,37,1,36,0.02702702702702703
1,Amoxicillin-Clavulanic acid,0.7834224598930482,195,8,187,0.041025641025641026
2,Ampicillin,0.6621315192743764,76,49,27,0.6447368421052632
3,Cefazolin,0.6715686274509804,139,3,136,0.02158273381294964
4,Cefepime,0.606907894736842,156,4,152,0.02564102564102564
5,Ceftriaxone,0.6740196078431373,139,3,136,0.02158273381294964
6,Cefuroxime,0.6740196078431373,139,3,136,0.02158273381294964
7,Ciprofloxacin,0.9635786802030457,237,40,197,0.16877637130801687
8,Clarithromycin,0.696969696969697,36,3,33,0.08333333333333333
9,Clindamycin,0.5557568438003221,231,24,207,0.1038961038961039
10,Cotrimoxazole,0.8626373626373627,183,1,182,0.00546448087431694
11,Doxycycline,0.9722222222222222,36,6,30,0.16666666666666666
12,Erythromycin,0.57909604519774,193,16,177,0.08290155440414508
13,Fusidic acid,0.8441220238095238,206,14,192,0.06796116504854369
14,Imipenem,0.9738970588235294,176,40,136,0.22727272727272727
15,Levofloxacin,0.9984101748807631,54,37,17,0.6851851851851852
16,Meropenem,0.6715686274509804,139,3,136,0.02158273381294964
17,Mupirocin,,59,0,59,0.0
18,Oxacillin,0.7353801169590644,237,9,228,0.0379746835443038
19,Penicillin,0.6750764525993882,217,108,109,0.4976958525345622
20,Piperacillin-Tazobactam,0.6764705882352942,139,3,136,0.02158273381294964
21,Tetracycline,0.6035215543412265,192,9,183,0.046875
22,Tobramycin,0.38888888888888884,37,1,36,0.02702702702702703
