antibiotic_idx,antibiotic,auc,n_obs,n_pos,n_neg,resistance_rate
0,Ampicillin,0.6954225352112676,87,16,71,0.1839080459770115
1,Azithromycin,0.5634615384615385,66,26,40,0.3939393939393939
2,Cefepime,0.740983606557377,71,10,61,0.14084507042253522
3,Cefotaxime,0.6428571428571428,72,2,70,0.027777777777777776
4,Ceftriaxone,0.32592592592592595,118,10,108,0.0847457627118644
5,Cefuroxime,0.6361655773420479,71,17,54,0.23943661971830985
6,Chloramphenicol,0.6567164179104478,68,1,67,0.014705882352941176
7,Clarithromycin,0.7181878016673979,225,53,172,0.23555555555555555
8,Clindamycin,0.623972602739726,93,20,73,0.21505376344086022
9,Erythromycin,0.620262390670554,77,28,49,0.36363636363636365
10,Levofloxacin,0.933148276659727,197,66,131,0.3350253807106599
11,Meropenem,0.6525641025641025,77,12,65,0.15584415584415584
12,Meropenem_with_meningitis,0.4285714285714286,36,8,28,0.2222222222222222
13,Minocycline,0.5677361853832442,67,34,33,0.5074626865671642
14,Moxifloxacin,0.8328767123287671,78,5,73,0.0641025641025641
15,Oxacillin,0.6801985981308412,139,32,107,0.2302158273381295
16,Penicillin,0.748868778280543,94,26,68,0.2765957446808511
17,Penicillin_with_meningitis,0.6925595238095238,137,32,105,0.23357664233576642
18,Penicillin_with_other_infections,0.6652957924707371,138,29,109,0.21014492753623187
19,Penicillin_with_pneumonia,0.826608505997819,138,7,131,0.050724637681159424
20,Pristinamycin,0.7540322580645161,66,4,62,0.06060606060606061
21,Tetracycline,0.6414141414141415,75,33,42,0.44
