species,antibiotic,count
Klebsiella_Pneumoniae,Ciprofloxacin,19206
Klebsiella_Pneumoniae,Imipenem,19040
Klebsiella_Pneumoniae,Ertapenem,18878
Klebsiella_Pneumoniae,Amikacin,18815
Klebsiella_Pneumoniae,Tobramycin,18704
Klebsiella_Pneumoniae,Meropenem,18459
Klebsiella_Pneumoniae,Colistin,18444
Klebsiella_Pneumoniae,Cefepime,17949
Klebsiella_Pneumoniae,Levofloxacin,16477
Klebsiella_Pneumoniae,Ceftazidime,16451
Klebsiella_Pneumoniae,Gentamicin,16385
Klebsiella_Pneumoniae,Fosfomycin,15901
Klebsiella_Pneumoniae,Cefuroxime,15775
Klebsiella_Pneumoniae,Piperacillin,14732
Klebsiella_Pneumoniae,Aztreonam,14713
Klebsiella_Pneumoniae,Norfloxacin,13580
Klebsiella_Pneumoniae,Cefotaxime,13114
Klebsiella_Pneumoniae,Nitrofurantoin,11584
Klebsiella_Pneumoniae,Cefixime,10777
Escherichia_Coli,Ciprofloxacin,7571
Escherichia_Coli,Ceftazidime,7535
Escherichia_Coli,Imipenem,7344
Escherichia_Coli,Cefepime,7310
Escherichia_Coli,Amikacin,7256
Staphylococcus_Aureus,Oxacillin,7214
Escherichia_Coli,Ertapenem,6785
Escherichia_Coli,Meropenem,6718
Staphylococcus_Aureus,Ciprofloxacin,6532
Escherichia_Coli,Colistin,6515
Staphylococcus_Aureus,Vancomycin,6485
Escherichia_Coli,Tobramycin,6441
Escherichia_Coli,Levofloxacin,6417
Staphylococcus_Aureus,Gentamicin,6402
Staphylococcus_Aureus,Mupirocin,6343
Staphylococcus_Aureus,Clindamycin,6097
Escherichia_Coli,Ceftriaxone,6090
Staphylococcus_Aureus,Penicillin,5974
Escherichia_Coli,Amoxicillin-Clavulanic acid,5941
Staphylococcus_Aureus,Daptomycin,5820
Escherichia_Coli,Cotrimoxazole,5784
Staphylococcus_Epidermidis,Vancomycin,5684
Staphylococcus_Aureus,Linezolid,5682
Staphylococcus_Aureus,Teicoplanin,5672
Staphylococcus_Aureus,Tetracycline,5647
Staphylococcus_Epidermidis,Daptomycin,5644
Escherichia_Coli,Piperacillin-Tazobactam,5635
Staphylococcus_Aureus,Erythromycin,5634
Staphylococcus_Epidermidis,Ciprofloxacin,5581
Staphylococcus_Epidermidis,Oxacillin,5537
Staphylococcus_Aureus,Fusidic acid,5515
Staphylococcus_Aureus,Imipenem,5330
Staphylococcus_Epidermidis,Linezolid,5293
Pseudomonas_Aeruginosa,Ciprofloxacin,5167
Staphylococcus_Epidermidis,Gentamicin,5115
Staphylococcus_Epidermidis,Erythromycin,5089
Pseudomonas_Aeruginosa,Cefepime,5080
Staphylococcus_Epidermidis,Fusidic acid,5079
Staphylococcus_Epidermidis,Clindamycin,5065
Staphylococcus_Epidermidis,Rifampicin,4999
Staphylococcus_Epidermidis,Tetracycline,4953
Staphylococcus_Epidermidis,Imipenem,4920
Staphylococcus_Epidermidis,Penicillin,4856
Pseudomonas_Aeruginosa,Meropenem,4809
Pseudomonas_Aeruginosa,Colistin,4780
Staphylococcus_Aureus,Rifampicin,4770
Pseudomonas_Aeruginosa,Tobramycin,4769
Staphylococcus_Aureus,Amoxicillin-Clavulanic acid,4724
Staphylococcus_Epidermidis,Tigecycline,4582
Staphylococcus_Epidermidis,Cotrimoxazole,4566
Staphylococcus_Epidermidis,Amoxicillin-Clavulanic acid,4503
Staphylococcus_Epidermidis,Cefepime,4481
Staphylococcus_Aureus,Cotrimoxazole,4479
Pseudomonas_Aeruginosa,Ceftazidime,4463
Pseudomonas_Aeruginosa,Amikacin,4397
Pseudomonas_Aeruginosa,Imipenem,4390
Enterococcus_Faecalis,Vancomycin,4265
Staphylococcus_Epidermidis,Meropenem,4261
Staphylococcus_Epidermidis,Cefuroxime,4261
Staphylococcus_Epidermidis,Ceftriaxone,4261
Staphylococcus_Epidermidis,Cefazolin,4261
Staphylococcus_Epidermidis,Piperacillin-Tazobactam,4261
