fold,antibiotic_id,antibiotic,n_val_pairs,auc
0,0,5-Fluorocytosine,49,0.3125
0,1,Amikacin,8846,0.8767793863081405
0,2,Amoxicillin,34,0.9508771929824562
0,3,Amoxicillin-Clavulanic acid,5778,0.9062553796341306
0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9454545454545454
0,5,Ampicillin,4228,0.9590901414445839
0,6,Anidulafungin,51,0.7008547008547008
0,7,Azithromycin,44,0.6744791666666667
0,8,Aztreonam,4270,0.8436636753760782
0,9,Benzylpenicillin,140,0.8408382894364202
0,10,Caspofungin,53,1.0
0,11,Cefazolin,1901,0.9281297780089406
0,12,Cefepime,10025,0.8771076752152579
0,13,Cefixime,2956,0.767188731284476
0,14,Cefotaxime,3816,0.8840452115808546
0,15,Cefoxitin,1210,0.9464042682875917
0,16,Cefpodoxime,1291,0.9123521562280612
0,17,Ceftazidime,7669,0.8319692218437886
0,18,Ceftolozane-Tazobactam,17,0.6166666666666667
0,19,Ceftriaxone,5372,0.8877507940019237
0,20,Cefuroxime,6700,0.8430291692307692
0,21,Chloramphenicol,1562,0.9492601887007676
0,22,Ciprofloxacin,12143,0.8660137784729087
0,23,Clarithromycin,268,0.7832386363636363
0,24,Clindamycin,3313,0.8841226088044573
0,25,Colistin,7703,0.9781168603427716
0,26,Cotrimoxazol,299,0.7735866893552656
0,27,Cotrimoxazole,5566,0.8513916027916225
0,28,Daptomycin,3529,0.9032725343779329
0,29,Doxycycline,156,0.5608552631578947
0,30,Ertapenem,7256,0.9161887615643398
0,31,Erythromycin,3402,0.8793392731956469
0,32,Fluconazole,51,0.42000000000000004
0,33,Fosfomycin,5947,0.7339971805225112
0,34,Fusidic acid,2472,0.8353613119148395
0,35,Gentamicin,8248,0.9051182948365695
0,36,Gentamicin_high_level,141,0.7869565217391303
0,37,Imipenem,11454,0.9651576385437287
0,38,Itraconazole,46,0.5333333333333334
0,39,Levofloxacin,9155,0.8819901307125539
0,40,Linezolid,3888,0.9243514576049843
0,41,Meropenem,9736,0.9251431838381029
0,42,Meropenem_with_meningitis,26,0.6944444444444444
0,43,Meropenem_without_meningitis,17,0.9666666666666667
0,44,Micafungin,52,0.8163265306122449
0,45,Minocycline,1925,0.8480774339307313
0,46,Moxifloxacin,196,0.9925520595835233
0,47,Mupirocin,1644,0.9653034322261461
0,48,Nitrofurantoin,4290,0.8855680932213456
0,49,Norfloxacin,4999,0.8579951824474672
0,50,Oxacillin,3116,0.9125792802876137
0,51,Penicillin,3416,0.9427772890439357
0,52,Penicillin_with_meningitis,59,0.8676470588235294
0,53,Penicillin_with_other_infections,59,0.8873626373626373
0,54,Penicillin_with_pneumonia,59,1.0
0,55,Piperacillin,3757,0.9159611590231793
0,56,Piperacillin-Tazobactam,5912,0.8530795335257417
0,57,Polymyxin B,501,0.9969439431864486
0,58,Posaconazole,48,0.3913043478260869
0,59,Pristinamycin,1333,0.959726443768997
0,60,Rifampicin,2294,0.855419325432999
0,61,Strepomycin_high_level,12,0.5
0,62,Teicoplanin,2830,0.9480984837946863
0,63,Tetracycline,3321,0.8802078894467255
0,64,Ticarcillin,1720,0.9163422056130259
0,65,Tigecycline,3683,0.9917791112552707
0,66,Tobramycin,9022,0.8714276962230788
0,67,Vancomycin,4169,0.9824226748572045
0,68,Voriconazole,53,0.9230769230769231
1,0,5-Fluorocytosine,73,0.6805555555555556
1,1,Amikacin,8917,0.8892982137560755
1,2,Amoxicillin,41,0.8921568627450981
1,3,Amoxicillin-Clavulanic acid,5737,0.9144178328891058
1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,0.9833333333333333
1,5,Ampicillin,4266,0.953888462040636
1,6,Anidulafungin,74,0.5448916408668731
1,7,Azithromycin,35,0.6538461538461537
1,8,Aztreonam,4334,0.8522221281297508
1,9,Benzylpenicillin,140,0.8120782726045883
1,10,Caspofungin,74,0.9821428571428572
1,11,Cefazolin,1972,0.9359574011051957
1,12,Cefepime,10149,0.8905613369759047
1,13,Cefixime,2987,0.7813773108430343
1,14,Cefotaxime,3914,0.889475947350316
1,15,Cefoxitin,1301,0.9590343072499806
1,16,Cefpodoxime,1283,0.9044460840574957
1,17,Ceftazidime,7734,0.8490047827273028
1,18,Ceftolozane-Tazobactam,21,0.7
1,19,Ceftriaxone,5337,0.9024955208599948
1,20,Cefuroxime,6803,0.8576627454904562
1,21,Chloramphenicol,1574,0.9417938558926042
1,22,Ciprofloxacin,12253,0.860047936944288
1,23,Clarithromycin,269,0.645285177316555
1,24,Clindamycin,3353,0.8894948178623099
1,25,Colistin,7730,0.9760239462748038
1,26,Cotrimoxazol,290,0.8107626514611547
1,27,Cotrimoxazole,5544,0.8431337334210458
1,28,Daptomycin,3547,0.8573422272684266
1,29,Doxycycline,171,0.4547325102880658
1,30,Ertapenem,7258,0.9315427381264759
1,31,Erythromycin,3453,0.8839565006286445
1,32,Fluconazole,74,0.39420289855072466
1,33,Fosfomycin,6008,0.7399771851534978
1,34,Fusidic acid,2522,0.8692132460861055
1,35,Gentamicin,8376,0.9130556519535187
1,36,Gentamicin_high_level,119,0.7543071161048689
1,37,Imipenem,11492,0.9699742651799188
1,38,Itraconazole,72,0.5136897001303782
1,39,Levofloxacin,9073,0.8726385486626167
1,40,Linezolid,3827,0.8832155014401676
1,41,Meropenem,9788,0.9470201561126299
1,42,Meropenem_with_meningitis,27,0.4375
1,43,Micafungin,74,0.821078431372549
1,44,Minocycline,1955,0.8647805117346569
1,45,Moxifloxacin,159,0.9947076612903226
1,46,Mupirocin,1683,0.955965582294207
1,47,Nitrofurantoin,4222,0.8885665681417058
1,48,Norfloxacin,4927,0.8553161845632342
1,49,Oxacillin,3152,0.9202278946003164
1,50,Penicillin,3445,0.9369954138727545
1,51,Penicillin_with_meningitis,62,0.6514913657770801
1,52,Penicillin_with_other_infections,62,0.6203208556149733
1,53,Penicillin_with_pneumonia,62,0.5083333333333333
1,54,Piperacillin,3835,0.9424798758441912
1,55,Piperacillin-Tazobactam,5893,0.8783353827313667
1,56,Polymyxin B,516,1.0
1,57,Posaconazole,73,0.3588235294117647
1,58,Pristinamycin,1304,0.9575695545146762
1,59,Rifampicin,2366,0.8515545564140736
1,60,Strepomycin_high_level,14,0.17777777777777778
1,61,Teicoplanin,2793,0.9375442127088669
1,62,Tetracycline,3328,0.88519493976944
1,63,Ticarcillin,1766,0.9223197057404728
1,64,Tigecycline,3688,0.9918031862808256
1,65,Tobramycin,9055,0.8838992822189728
1,66,Vancomycin,4145,0.9293766937669378
1,67,Voriconazole,73,0.48913043478260865
2,0,5-Fluorocytosine,58,0.9473684210526316
2,1,Amikacin,8802,0.8949118810496971
2,2,Amoxicillin,42,0.8412698412698412
2,3,Amoxicillin-Clavulanic acid,5820,0.9001189640178502
2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,1.0
2,5,Ampicillin,4212,0.9571034494186844
2,6,Anidulafungin,62,0.5964285714285714
2,7,Azithromycin,45,0.7666666666666666
2,8,Aztreonam,4173,0.8360089891386066
2,9,Benzylpenicillin,142,0.7487468671679196
2,10,Caspofungin,64,0.9919354838709677
2,11,Cefazolin,1942,0.9179759972170687
2,12,Cefepime,9968,0.866313628922645
2,13,Cefixime,2913,0.7565601155808389
2,14,Cefotaxime,3748,0.8678938375000917
2,15,Cefoxitin,1197,0.9496145918626648
2,16,Cefpodoxime,1323,0.9063087418421443
2,17,Ceftazidime,7626,0.8251400995451007
2,18,Ceftolozane-Tazobactam,21,0.7037037037037037
2,19,Ceftriaxone,5427,0.8772449814957822
2,20,Cefuroxime,6671,0.8478766088481919
2,21,Chloramphenicol,1534,0.9493221995580486
2,22,Ciprofloxacin,12152,0.863464591156571
2,23,Clarithromycin,277,0.7547841566533156
2,24,Clindamycin,3393,0.8816022129963546
2,25,Colistin,7609,0.9737468449649994
2,26,Cotrimoxazol,298,0.8366815476190476
2,27,Cotrimoxazole,5643,0.8380152488167203
2,28,Daptomycin,3593,0.8844784834426492
2,29,Doxycycline,166,0.6136567834681042
2,30,Ertapenem,7205,0.9208736883656152
2,31,Erythromycin,3507,0.8837768765440831
2,32,Fluconazole,62,0.16393442622950816
2,33,Fosfomycin,5901,0.7375771176201668
2,34,Fusidic acid,2535,0.8403038676930961
2,35,Gentamicin,8265,0.9071937947869911
2,36,Gentamicin_high_level,140,0.7612574341546304
2,37,Imipenem,11485,0.9661007724602844
2,38,Itraconazole,56,0.7211538461538461
2,39,Levofloxacin,9167,0.8801839690886687
2,40,Linezolid,3965,0.8470379746835444
2,41,Meropenem,9688,0.9296580088904509
2,42,Meropenem_with_meningitis,23,0.30952380952380953
2,43,Micafungin,62,0.9548022598870056
2,44,Minocycline,1938,0.8621186653333955
2,45,Moxifloxacin,175,0.9941754641427011
2,46,Mupirocin,1653,0.9644752231455833
2,47,Nitrofurantoin,4235,0.8857652630568066
2,48,Norfloxacin,5007,0.8601933211945446
2,49,Oxacillin,3157,0.9080707228289131
2,50,Penicillin,3495,0.9390937374656337
2,51,Penicillin_with_meningitis,54,0.7410881801125704
2,52,Penicillin_with_other_infections,54,0.7103174603174602
2,53,Penicillin_with_pneumonia,54,0.6634615384615383
2,54,Piperacillin,3680,0.9290095849829454
2,55,Piperacillin-Tazobactam,5915,0.8613212432713268
2,56,Polymyxin B,505,0.9987951807228916
2,57,Posaconazole,61,0.31666666666666665
2,58,Pristinamycin,1358,0.9601658842967972
2,59,Rifampicin,2354,0.8507210922392302
2,60,Strepomycin_high_level,21,0.4230769230769231
2,61,Teicoplanin,2891,0.9580077905749759
2,62,Tetracycline,3378,0.8762834635381468
2,63,Ticarcillin,1676,0.923657156625646
2,64,Tigecycline,3713,0.9909386843410194
2,65,Tobramycin,8954,0.8801481820140727
2,66,Vancomycin,4271,0.9829071263184975
2,67,Voriconazole,62,0.6557377049180328
3,0,Amikacin,8823,0.8854971295735876
3,1,Amoxicillin,51,0.9130434782608696
3,2,Amoxicillin-Clavulanic acid,5725,0.9174418354245382
3,3,Amoxicillin-Clavulanic acid_uncomplicated_HWI,19,0.8
3,4,Ampicillin,4313,0.9559416849586014
3,5,Anidulafungin,54,0.7341269841269842
3,6,Azithromycin,40,0.80078125
3,7,Aztreonam,4371,0.8579086673925405
3,8,Benzylpenicillin,128,0.8264285714285714
3,9,Caspofungin,58,0.9886792452830189
3,10,Cefazolin,1929,0.9358088148410728
3,11,Cefepime,10035,0.8909887282156436
3,12,Cefixime,2989,0.7826985023214627
3,13,Cefotaxime,3940,0.8853849627569117
3,14,Cefoxitin,1292,0.9523130788179139
3,15,Cefpodoxime,1199,0.8933051378446115
3,16,Ceftazidime,7704,0.8474221007952033
3,17,Ceftolozane-Tazobactam,21,0.9888888888888889
3,18,Ceftriaxone,5315,0.9041447224050911
3,19,Cefuroxime,6829,0.8829423968044441
3,20,Chloramphenicol,1588,0.9501744437521317
3,21,Ciprofloxacin,12182,0.8625505735990339
3,22,Clarithromycin,255,0.7759892689470154
3,23,Clindamycin,3291,0.8770789829533249
3,24,Colistin,7688,0.9736469995072706
3,25,Cotrimoxazol,278,0.8839495914693256
3,26,Cotrimoxazole,5542,0.8548807993686666
3,27,Daptomycin,3499,0.8607673860911271
3,28,Doxycycline,170,0.474375
3,29,Ertapenem,7306,0.9300481643038894
3,30,Erythromycin,3406,0.8790268236787953
3,31,Fluconazole,57,0.036363636363636376
3,32,Fosfomycin,6020,0.7457574461675476
3,33,Fusidic acid,2495,0.8371341965880301
3,34,Gentamicin,8366,0.9138192733044574
3,35,Gentamicin_high_level,124,0.835
3,36,Imipenem,11428,0.9701033171929337
3,37,Itraconazole,51,0.33116883116883117
3,38,Levofloxacin,9067,0.8774655591054313
