fold,species_id,species,n_val_samples,n_val_pairs,auc
0,0,Campylobacter_Jejuni,81,190,0.8816964285714286
0,1,Candida_Albicans,53,403,0.8565714285714287
0,2,Citrobacter_Freundii,131,2099,0.8956228328051664
0,3,Citrobacter_Koseri,160,2567,0.9421311538908471
0,4,Enterobacter_Cloacae,345,5131,0.8967927859678805
0,5,Enterococcus_Faecalis,925,14081,0.98859569783177
0,6,Enterococcus_Faecium,465,5028,0.9749887236716739
0,7,Escherichia_Coli,1533,24374,0.8655074788586123
0,8,Haemophilus_Influenzae,170,579,0.8545727136431783
0,9,Klebsiella_Oxytoca,238,3941,0.9054499873427023
0,10,Klebsiella_Pneumoniae,3850,68001,0.8710093429270837
0,11,Klebsiella_Variicola,147,2349,0.9403988968522249
0,12,Morganella_Morganii,158,2619,0.922066305787236
0,13,Proteus_Mirabilis,473,8711,0.909993801629579
0,14,Proteus_Vulgaris,86,1274,0.9854890597549568
0,15,Pseudomonas_Aeruginosa,1090,12698,0.9532015655601306
0,16,Serratia_Marcescens,245,3807,0.975125107397731
0,17,Staphylococcus_Aureus,1413,27955,0.9172284339014543
0,18,Staphylococcus_Capitis,89,1827,0.9301089784497569
0,19,Staphylococcus_Epidermidis,1128,22712,0.9177192466991584
0,20,Staphylococcus_Haemolyticus,55,1205,0.9488321276630965
0,21,Staphylococcus_Hominis,174,3715,0.8844844284373959
0,22,Staphylococcus_Lugdunensis,104,2135,0.8473976755937341
0,23,Stenotrophomonas_Maltophilia,131,609,0.9850399034072502
0,24,Streptococcus_Pneumoniae,123,1304,0.8653414195867025
1,0,Campylobacter_Jejuni,93,222,0.9071435138365358
1,1,Candida_Albicans,74,587,0.7437457279562542
1,2,Citrobacter_Freundii,133,2208,0.858566972468635
1,3,Citrobacter_Koseri,165,2677,0.9618916712483965
1,4,Enterobacter_Cloacae,311,4634,0.9034775635054064
1,5,Enterococcus_Faecalis,895,14085,0.985570282615768
1,6,Enterococcus_Faecium,428,4553,0.9786091432867474
1,7,Escherichia_Coli,1578,25297,0.8675377686153989
1,8,Haemophilus_Influenzae,166,532,0.8620421645778684
1,9,Klebsiella_Oxytoca,251,4169,0.9325126879959144
1,10,Klebsiella_Pneumoniae,3838,67924,0.8782413517169391
1,11,Klebsiella_Variicola,112,1766,0.8586572438162544
1,12,Morganella_Morganii,166,2727,0.9451197949166066
1,13,Proteus_Mirabilis,482,8700,0.9111501696239773
1,14,Proteus_Vulgaris,93,1370,0.96902484113654
1,15,Pseudomonas_Aeruginosa,1109,13027,0.9419528247404242
1,16,Serratia_Marcescens,244,3880,0.9736159423247702
1,17,Staphylococcus_Aureus,1488,29631,0.9221302715625515
1,18,Staphylococcus_Capitis,90,1799,0.9262253898036645
1,19,Staphylococcus_Epidermidis,1137,23116,0.9336516119728446
1,20,Staphylococcus_Haemolyticus,56,1236,0.9264971435209141
1,21,Staphylococcus_Hominis,149,3117,0.8716570219844623
1,22,Staphylococcus_Lugdunensis,89,1763,0.9318554556865764
1,23,Stenotrophomonas_Maltophilia,122,740,0.9747301784973018
1,24,Streptococcus_Pneumoniae,98,921,0.7863195540806135
2,0,Campylobacter_Jejuni,100,229,0.8912843191450156
2,1,Candida_Albicans,64,487,0.8452142571085303
2,2,Citrobacter_Freundii,115,1855,0.9010851492080162
2,3,Citrobacter_Koseri,171,2732,0.9353047815085453
2,4,Enterobacter_Cloacae,324,4816,0.9199594988385856
2,5,Enterococcus_Faecalis,981,14954,0.9871478968386364
2,6,Enterococcus_Faecium,462,4954,0.9725015599769731
2,7,Escherichia_Coli,1539,24279,0.8520204522990202
2,8,Haemophilus_Influenzae,152,452,0.8589625537139349
2,9,Klebsiella_Oxytoca,243,4043,0.9321720395390423
2,10,Klebsiella_Pneumoniae,3813,67329,0.8659751774570721
2,11,Klebsiella_Variicola,141,2205,0.9814359014429338
2,12,Morganella_Morganii,159,2628,0.9389789548539126
2,13,Proteus_Mirabilis,465,8526,0.9114864313414321
2,14,Proteus_Vulgaris,110,1667,0.9815409590737443
2,15,Pseudomonas_Aeruginosa,1018,12053,0.9507561978745304
2,16,Serratia_Marcescens,244,3890,0.9712465414444725
2,17,Staphylococcus_Aureus,1454,28377,0.9214836287831515
2,18,Staphylococcus_Capitis,78,1703,0.8445726356841078
2,19,Staphylococcus_Epidermidis,1169,23774,0.918038545037952
2,20,Staphylococcus_Haemolyticus,60,1334,0.8992627225319187
2,21,Staphylococcus_Hominis,172,3606,0.8794731927662768
2,22,Staphylococcus_Lugdunensis,90,1820,0.9668833642187975
2,23,Stenotrophomonas_Maltophilia,130,722,0.970990675990676
2,24,Streptococcus_Pneumoniae,112,1223,0.8211936695040875
3,0,Campylobacter_Jejuni,97,258,0.8774696048632219
3,1,Candida_Albicans,58,381,0.7644516019664349
3,2,Citrobacter_Freundii,136,2168,0.8704611216329967
3,3,Citrobacter_Koseri,181,2902,0.9637452248016456
3,4,Enterobacter_Cloacae,303,4464,0.9121573509084107
3,5,Enterococcus_Faecalis,896,13774,0.9886793798258778
3,6,Enterococcus_Faecium,444,4866,0.9725618191476723
3,7,Escherichia_Coli,1556,24761,0.863647147996237
3,8,Haemophilus_Influenzae,203,679,0.8278262348453558
3,9,Klebsiella_Oxytoca,256,4222,0.9363855326717594
3,10,Klebsiella_Pneumoniae,3850,68131,0.8714729381651687
3,11,Klebsiella_Variicola,135,2144,0.9463139957027487
3,12,Morganella_Morganii,156,2560,0.9342215705649232
3,13,Proteus_Mirabilis,457,8258,0.9206877177178225
3,14,Proteus_Vulgaris,83,1240,0.9655009674831281
3,15,Pseudomonas_Aeruginosa,1081,13062,0.953752205636149
3,16,Serratia_Marcescens,257,4001,0.9689802254008515
3,17,Staphylococcus_Aureus,1453,28324,0.9362750261448675
3,18,Staphylococcus_Capitis,82,1753,0.8991630048127224
3,19,Staphylococcus_Epidermidis,1142,23131,0.9284443570796643
3,20,Staphylococcus_Haemolyticus,66,1369,0.924653473399428
3,21,Staphylococcus_Hominis,160,3276,0.8622793063716563
3,22,Staphylococcus_Lugdunensis,96,1942,0.8526404159479641
3,23,Stenotrophomonas_Maltophilia,143,898,0.9841855900641103
3,24,Streptococcus_Pneumoniae,75,779,0.8400734858361978
4,0,Campylobacter_Jejuni,96,219,0.9161220043572985
4,1,Candida_Albicans,66,501,0.7830409356725146
4,2,Citrobacter_Freundii,132,2104,0.8901111859838275
4,3,Citrobacter_Koseri,174,2764,0.9780258250414036
4,4,Enterobacter_Cloacae,324,4832,0.8877658727663612
4,5,Enterococcus_Faecalis,935,14775,0.9848978523673053
4,6,Enterococcus_Faecium,439,4796,0.9718236190943349
4,7,Escherichia_Coli,1523,24120,0.8565430660068368
4,8,Haemophilus_Influenzae,151,470,0.8498232323232323
4,9,Klebsiella_Oxytoca,251,4109,0.9456830584375107
4,10,Klebsiella_Pneumoniae,3914,69309,0.870414399644683
4,11,Klebsiella_Variicola,130,2062,0.937050952475117
4,12,Morganella_Morganii,174,2803,0.9228548692943248
4,13,Proteus_Mirabilis,495,8843,0.9171052655018598
4,14,Proteus_Vulgaris,63,923,0.9812155165096341
4,15,Pseudomonas_Aeruginosa,1057,12536,0.9537209341332968
4,16,Serratia_Marcescens,263,4114,0.9668717435459656
4,17,Staphylococcus_Aureus,1433,27930,0.9282075618880736
4,18,Staphylococcus_Capitis,80,1590,0.85583548664944
4,19,Staphylococcus_Epidermidis,1155,23351,0.9155174782046112
4,20,Staphylococcus_Haemolyticus,64,1371,0.8942559802502766
4,21,Staphylococcus_Hominis,125,2611,0.8006062822247412
4,22,Staphylococcus_Lugdunensis,100,2090,0.8801969846496585
4,23,Stenotrophomonas_Maltophilia,130,839,0.9771125411782731
4,24,Streptococcus_Pneumoniae,92,979,0.8248867292665311
