,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.020447945,0.0,0.080716066,0.0,0.0,0.0,0.0,0.0,0.07939564,0.26985276,0.08407727,0.0,0.0,0.0,0.0,0.073356695,0.0,0.25271416,0.0,0.0,0.0,0.81543666
Amoxicillin-Clavulanic acid,0.020447945,0.0,0.0,0.012926112,0.0,0.0,0.050534774,0.049552944,0.0,0.01478281,0.006535948,0.02235509,0.0062111802,0.0,0.0,0.0057142857,0.0,0.0062111802,0.0,0.0,0.04929178,0.0,0.026557826
Aztreonam,0.0,0.0,0.0,0.068607554,0.9368349,1.0,0.9372685,0.0,0.0,0.045901753,0.0,0.0,0.068607554,0.31255937,0.31162065,0.068607554,0.13045762,0.068607554,0.0,0.9675589,0.0,0.9368349,0.23106061
Cefepime,0.080716066,0.012926112,0.068607554,0.0,0.16605279,0.17724873,0.22733383,0.24175474,0.0,0.37300572,0.0,0.23621926,0.5724156,0.30801687,0.33393216,0.57263714,0.41324264,0.57235146,0.40614778,0.17149858,0.18870743,0.16605279,0.27965683
Cefixime,0.0,0.0,0.9368349,0.16605279,0.0,0.9368349,0.9036961,0.0,0.0,0.045098763,0.0,0.0,0.16605279,0.2919371,0.2919371,0.16605279,0.13153805,0.16605279,0.0,0.9036961,0.0,0.87222224,0.20947126
Cefotaxime,0.0,0.0,1.0,0.17724873,0.9368349,0.0,0.9675589,0.0,0.0,0.07169712,0.0,0.0,0.17724873,0.31162065,0.31162065,0.17724873,0.16003823,0.17724873,0.0,0.9675589,0.0,0.9368349,0.22950916
Ceftazidime,0.0,0.050534774,0.9372685,0.22733383,0.9036961,0.9675589,0.0,0.97453415,0.83066237,0.13650411,0.0,0.026116872,0.13332179,0.20862429,0.31819373,0.13016202,0.17176549,0.13332179,0.10034033,0.9347826,0.80160254,0.9036961,0.0
Ceftriaxone,0.0,0.049552944,0.0,0.24175474,0.0,0.0,0.97453415,0.0,0.0,0.168728,0.14101635,0.023119146,0.11043153,0.0,0.0,0.110656664,0.18089187,0.11462563,0.13521703,0.0,0.81380075,0.0,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.83066237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3095696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.07939564,0.01478281,0.045901753,0.37300572,0.045098763,0.07169712,0.13650411,0.168728,0.0,0.0,0.0,0.47790226,0.33186996,0.2480971,0.27216554,0.33237547,0.93636876,0.33172363,0.95709485,0.05822225,0.12251278,0.045098763,0.2763381
Colistin,0.26985276,0.006535948,0.0,0.0,0.0,0.0,0.0,0.14101635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22004785
Cotrimoxazole,0.08407727,0.02235509,0.0,0.23621926,0.0,0.0,0.026116872,0.023119146,0.0,0.47790226,0.0,0.0,0.0,0.0,0.0,0.0,0.49440274,0.0,0.6859943,0.0,0.0,0.0,0.29457948
Ertapenem,0.0,0.0062111802,0.068607554,0.5724156,0.16605279,0.17724873,0.13332179,0.11043153,0.0,0.33186996,0.0,0.0,0.0,0.38981938,0.5699003,1.0,0.3312606,1.0,0.27647984,0.17149858,0.116105095,0.16605279,0.14163053
Fosfomycin,0.0,0.0,0.31255937,0.30801687,0.2919371,0.31162065,0.20862429,0.0,0.0,0.2480971,0.0,0.0,0.38981938,0.0,0.21428572,0.3902828,0.29783556,0.38981938,0.22331621,0.30151135,0.0,0.2919371,0.25286087
Gentamicin,0.0,0.0,0.31162065,0.33393216,0.2919371,0.31162065,0.31819373,0.0,0.3095696,0.27216554,0.0,0.0,0.5699003,0.21428572,0.0,0.49178025,0.31749582,0.5699003,0.3945665,0.30151135,0.0,0.2919371,0.859634
Imipenem,0.0,0.0057142857,0.068607554,0.57263714,0.16605279,0.17724873,0.13016202,0.110656664,0.0,0.33237547,0.0,0.0,1.0,0.3902828,0.49178025,0.0,0.3312606,1.0,0.27666444,0.17149858,0.11659402,0.16605279,0.14163053
Levofloxacin,0.073356695,0.0,0.13045762,0.41324264,0.13153805,0.16003823,0.17176549,0.18089187,0.0,0.93636876,0.0,0.49440274,0.3312606,0.29783556,0.31749582,0.3312606,0.0,0.3312606,1.0,0.14555563,0.11708364,0.13153805,0.27606025
Meropenem,0.0,0.0062111802,0.068607554,0.57235146,0.16605279,0.17724873,0.13332179,0.11462563,0.0,0.33172363,0.0,0.0,1.0,0.38981938,0.5699003,1.0,0.3312606,0.0,0.27647984,0.17149858,0.116105095,0.16605279,0.14163053
Norfloxacin,0.25271416,0.0,0.0,0.40614778,0.0,0.0,0.10034033,0.13521703,0.0,0.95709485,0.0,0.6859943,0.27647984,0.22331621,0.3945665,0.27666444,1.0,0.27647984,0.0,0.0,0.13043572,0.0,0.53990555
Piperacillin,0.0,0.0,0.9675589,0.17149858,0.9036961,0.9675589,0.9347826,0.0,0.0,0.05822225,0.0,0.0,0.17149858,0.30151135,0.30151135,0.17149858,0.14555563,0.17149858,0.0,0.0,0.0,0.96824586,0.2192645
Piperacillin-Tazobactam,0.0,0.04929178,0.0,0.18870743,0.0,0.0,0.80160254,0.81380075,0.0,0.12251278,0.0,0.0,0.116105095,0.0,0.0,0.11659402,0.11708364,0.116105095,0.13043572,0.0,0.0,0.0,0.0
Ticarcillin,0.0,0.0,0.9368349,0.16605279,0.87222224,0.9368349,0.9036961,0.0,0.0,0.045098763,0.0,0.0,0.16605279,0.2919371,0.2919371,0.16605279,0.13153805,0.16605279,0.0,0.96824586,0.0,0.0,0.20947126
Tobramycin,0.81543666,0.026557826,0.23106061,0.27965683,0.20947126,0.22950916,0.0,0.0,0.0,0.2763381,0.22004785,0.29457948,0.14163053,0.25286087,0.859634,0.14163053,0.27606025,0.14163053,0.53990555,0.2192645,0.0,0.20947126,0.0
