,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Amikacin,0.0,0.34817874,0.0,0.4050056,0.0,0.0,0.24120907,0.4443741,0.57490903,0.0,0.0,0.40499526,0.0,0.0,0.0,0.0,0.0,0.497235,0.0,0.0,0.4027237,0.0,0.44330773,0.0,1.0
Amoxicillin-Clavulanic acid,0.34817874,0.0,0.0,0.348202,0.0,0.0,0.28413987,0.34866694,0.34866694,0.07482096,0.0,0.2390609,0.0,0.0,0.0,0.0,0.0,0.30521628,0.0,0.0,0.3196347,0.0,0.6225209,0.0,0.44245586
Aztreonam,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8111773,0.0,0.0,0.0,0.4868421,0.0,0.0,0.5699003,0.8111773,0.0,0.0,0.0,0.0,0.38297358,0.0,0.0,0.0,0.0
Cefepime,0.4050056,0.348202,1.0,0.0,1.0,1.0,0.42163703,0.9114115,1.0,0.0,0.0,0.35401267,0.0,0.0,0.4047136,0.6560284,0.0,0.21069877,0.0,0.0,0.34614193,0.0,0.40380585,0.0,0.40449247
Cefixime,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.4868421,0.0,0.0,0.70250016,0.70250016,0.0,0.0,0.0,0.0,0.38297358,0.0,0.0,0.018486846,0.0
Cefotaxime,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.8111773,0.0,0.0,0.0,0.4868421,0.0,0.0,0.5699003,0.8111773,0.0,0.0,0.0,0.0,0.38297358,0.0,0.0,0.0,0.0
Cefpodoxime,0.24120907,0.28413987,0.0,0.42163703,0.0,0.0,0.0,0.42163703,0.42163703,0.0,0.0,0.34268236,0.0,0.14456911,0.0,0.0,0.0,0.34268236,0.0,0.0,0.34268236,0.0,0.32012674,0.0,0.24120907
Ceftazidime,0.4443741,0.34866694,0.8111773,0.9114115,1.0,0.8111773,0.42163703,0.0,1.0,0.0,0.0,0.35474724,0.0,0.0,0.44411865,0.39598697,0.0,0.21069877,0.0,0.0,0.34818652,0.0,0.40380585,0.025974026,0.4439252
Ceftriaxone,0.57490903,0.34866694,0.0,1.0,0.0,0.0,0.42163703,1.0,0.0,0.0,0.0,0.27914658,0.0,0.0,0.0,0.0,0.0,0.2758628,0.0,0.0,0.3198198,0.0,0.40380585,0.0,0.5743665
Cefuroxime,0.0,0.07482096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34767675,0.0,0.0,0.0,0.0,0.0,0.0,0.37796447,0.0,0.0
Chloramphenicol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.40499526,0.2390609,0.4868421,0.35401267,0.4868421,0.4868421,0.34268236,0.35474724,0.27914658,0.0,0.0,0.0,0.0,0.4022831,0.40470132,0.0,0.0,0.81345564,0.0,0.0,0.70196414,0.0,0.18704069,0.018486846,0.4044786
Colistin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.14456911,0.0,0.0,0.0,0.0,0.4022831,0.0,0.0,0.0,0.0,0.0,0.40074906,0.0,0.0,0.49242425,0.0,0.0,0.0,0.0
Ertapenem,0.0,0.0,0.5699003,0.4047136,0.70250016,0.5699003,0.0,0.44411865,0.0,0.0,0.0,0.40470132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4027237,0.0,0.0,0.018248297,0.0
Fosfomycin,0.0,0.0,0.8111773,0.6560284,0.70250016,0.8111773,0.0,0.39598697,0.0,0.34767675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
