,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.0,0.24808179,0.0,0.0,0.14753829,0.14954616,0.0,0.36705327,0.0,0.0,0.326122,0.11058905,0.0,0.0,0.0,0.40221563,0.0,0.0,0.0,0.0,0.16960315,0.0,0.0,0.5951397
Aztreonam,0.0,0.0,0.7824608,0.8050765,0.944155,0.944155,0.0,0.0,0.0,0.0,0.0,0.0,0.5669467,0.06794786,0.21524881,0.21524881,0.064293064,0.0,0.0,0.0,0.9457507,0.0,0.8050765,0.0,0.21524881
Cefepime,0.24808179,0.7824608,0.0,0.6299408,0.8287419,0.6389892,0.60726476,0.312008,0.25596184,0.03395094,0.0,0.28139773,0.5378187,0.0,0.21537454,0.14439109,0.28430936,0.15218134,0.0125294,0.17413165,0.7400129,0.62002945,0.6299408,0.0,0.35018575
Cefixime,0.0,0.8050765,0.6299408,0.0,0.76011693,0.76011693,0.0,0.0,0.0,0.0,0.0,0.0,0.45643547,0.0,0.17329174,0.17329174,0.0124226,0.0,0.0,0.0,0.7434307,0.0,0.68333334,0.0,0.17329174
Cefotaxime,0.0,0.944155,0.8287419,0.76011693,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.60048056,0.10677263,0.22798038,0.22798038,0.078446455,0.0,0.0,0.0,0.8929352,0.0,0.76011693,0.0,0.22798038
Ceftazidime,0.14753829,0.944155,0.6389892,0.76011693,1.0,0.0,0.9631103,0.57522374,0.17467165,0.0,0.0,0.18547171,0.52649784,0.029972568,0.14185375,0.08952495,0.20000176,0.09421412,0.18874936,0.13629968,0.8929352,0.8995354,0.76011693,0.0,0.2818713
Ceftriaxone,0.14954616,0.0,0.60726476,0.0,0.0,0.9631103,0.0,0.5897678,0.18917803,0.0,0.0,0.19064745,0.5060463,0.06460957,0.0,0.06428177,0.20183964,0.09594454,0.18013228,0.10417912,0.0,0.88450646,0.0,0.0,0.27805302
Cefuroxime,0.0,0.0,0.312008,0.0,0.0,0.57522374,0.5897678,0.0,0.14826797,0.0,0.0,0.23377177,0.0,0.0,0.0,0.0,0.0,0.0,0.6671856,0.17329174,0.0,0.623777,0.0,0.0,0.0
Ciprofloxacin,0.36705327,0.0,0.25596184,0.0,0.0,0.17467165,0.18917803,0.14826797,0.0,0.038636763,0.0,0.39886433,0.15452738,0.0,0.3436717,0.0,0.92736876,0.0,0.0,0.9385717,0.0,0.23791625,0.0,0.0,0.40024394
Colistin,0.0,0.0,0.03395094,0.0,0.0,0.0,0.0,0.0,0.038636763,0.0,0.0,0.0,0.0,0.044901326,0.0,0.14956439,0.0,0.0,0.0,0.0,0.0,0.0005664634,0.0,0.0,0.0
Cotrimoxazol,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.326122,0.0,0.28139773,0.0,0.0,0.18547171,0.19064745,0.23377177,0.39886433,0.0,0.0,0.0,0.14372383,0.18156826,0.0,0.0,0.43038043,0.0,0.0,0.1739618,0.0,0.08965006,0.0,0.0,0.6550894
Ertapenem,0.11058905,0.5669467,0.5378187,0.45643547,0.60048056,0.52649784,0.5060463,0.0,0.15452738,0.0,0.0,0.14372383,0.0,0.0,0.0,0.18149495,0.19038486,0.18713987,0.0,0.056551896,0.5361903,0.5690275,0.45643547,0.0,0.123146914
Fosfomycin,0.0,0.06794786,0.0,0.0,0.10677263,0.029972568,0.06460957,0.0,0.0,0.044901326,0.0,0.18156826,0.0,0.0,0.0,0.0,0.08219949,0.0,0.0,0.0,0.030479873,0.18146275,0.0,0.0,0.0
Gentamicin,0.0,0.21524881,0.21537454,0.17329174,0.22798038,0.14185375,0.0,0.0,0.3436717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6974858,0.0,0.0,0.3933979,0.2035717,0.0,0.17329174,0.0,1.0
Imipenem,0.0,0.21524881,0.14439109,0.17329174,0.22798038,0.08952495,0.06428177,0.0,0.0,0.14956439,0.0,0.0,0.18149495,0.0,0.0,0.0,0.0,0.49823323,0.0,0.0,0.2035717,0.07175433,0.17329174,0.0,0.0
Levofloxacin,0.40221563,0.064293064,0.28430936,0.0124226,0.078446455,0.20000176,0.20183964,0.0,0.92736876,0.0,0.0,0.43038043,0.19038486,0.08219949,0.6974858,0.0,0.0,0.0,0.0,0.9632293,0.050759133,0.25280786,0.0124226,0.0,0.43531272
Meropenem,0.0,0.0,0.15218134,0.0,0.0,0.09421412,0.09594454,0.0,0.0,0.0,0.0,0.0,0.18713987,0.0,0.0,0.49823323,0.0,0.0,0.0,0.0,0.0,0.108893104,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.0125294,0.0,0.0,0.18874936,0.18013228,0.6671856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.0,0.0,0.17413165,0.0,0.0,0.13629968,0.10417912,0.17329174,0.9385717,0.0,0.0,0.1739618,0.056551896,0.0,0.3933979,0.0,0.9632293,0.0,0.0,0.0,0.0,0.20090923,0.0,0.0,0.044267908
Piperacillin,0.0,0.9457507,0.7400129,0.7434307,0.8929352,0.8929352,0.0,0.0,0.0,0.0,0.0,0.0,0.5361903,0.030479873,0.2035717,0.2035717,0.050759133,0.0,0.0,0.0,0.0,0.0,0.85125655,0.0,0.2035717
Piperacillin-Tazobactam,0.16960315,0.0,0.62002945,0.0,0.0,0.8995354,0.88450646,0.623777,0.23791625,0.0005664634,0.0,0.08965006,0.5690275,0.18146275,0.0,0.07175433,0.25280786,0.108893104,0.0,0.20090923,0.0,0.0,0.0,0.0,0.13526854
Ticarcillin,0.0,0.8050765,0.6299408,0.68333334,0.76011693,0.76011693,0.0,0.0,0.0,0.0,0.0,0.0,0.45643547,0.0,0.17329174,0.17329174,0.0124226,0.0,0.0,0.0,0.85125655,0.0,0.0,0.0,0.17329174
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,0.5951397,0.21524881,0.35018575,0.17329174,0.22798038,0.2818713,0.27805302,0.0,0.40024394,0.0,0.0,0.6550894,0.123146914,0.0,1.0,0.0,0.43531272,0.0,0.0,0.044267908,0.2035717,0.13526854,0.17329174,0.0,0.0
