,Amoxicillin,Amoxicillin-Clavulanic acid,Ampicillin,Chloramphenicol,Ciprofloxacin,Clindamycin,Cotrimoxazole,Daptomycin,Fosfomycin,Gentamicin,Gentamicin_high_level,Imipenem,Levofloxacin,Linezolid,Minocycline,Mupirocin,Nitrofurantoin,Norfloxacin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Strepomycin_high_level,Teicoplanin,Tetracycline,Vancomycin
Amoxicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Ampicillin,0.0,1.0,0.0,0.0,0.0628384,0.002099798,0.0,0.0,0.03764086,0.0,0.0,0.0,0.07151373,0.0,0.010004511,0.0,0.26570874,0.0063843825,0.0,0.3403679,1.0,0.01661713,0.0,0.0,0.027129004,0.0
Chloramphenicol,0.0,0.0,0.0,0.0,0.0037499964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08482247,0.0,0.23927617,0.0,0.0,0.0,0.0,0.0,0.0,0.08637533,0.0,0.0,0.18509257,0.0
Ciprofloxacin,0.0,0.0,0.0628384,0.0037499964,0.0,0.0,0.0,0.0,0.13734782,0.0,0.50709254,0.06641088,0.8904443,0.03981452,0.063492164,0.0,0.02962632,0.07454544,0.0,0.15994442,0.0,0.020663451,0.0,0.035080846,0.08814299,0.020925166
Clindamycin,0.0,0.0,0.002099798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010487309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002099798
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daptomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015655588,0.0,0.0,0.0,0.0,0.019865187,0.0,0.0,0.0031907982,0.0,0.0,0.0,0.008305582,0.0,0.0,0.01356041,0.0
Fosfomycin,0.0,0.0,0.03764086,0.0,0.13734782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1523639,0.0,0.0,0.0,0.011603122,0.03019031,0.0,0.015107595,0.0,0.0,0.0,0.0,0.02647679,0.0
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015655588,0.0,0.0,0.0,0.355888,0.063624494,0.002655071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0048599574,0.0,0.005315991
Gentamicin_high_level,0.0,0.0,0.0,0.0,0.50709254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.70367455,0.0,0.0,0.0,0.3550358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem,0.0,1.0,0.0,0.0,0.06641088,0.0,0.0,0.0,0.0,0.355888,0.0,0.0,0.1621923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.046929162,0.0,0.02544542,0.013304221,0.007953758
Levofloxacin,0.0,0.0,0.07151373,0.08482247,0.8904443,0.0,0.0,0.0,0.1523639,0.063624494,0.70367455,0.1621923,0.0,0.115297146,0.14551339,0.0,0.06888861,0.068405315,0.0,0.19314991,0.0,0.029881764,0.0,0.07537154,0.19325094,0.07155601
Linezolid,0.0,0.0,0.0,0.0,0.03981452,0.0010487309,0.0,0.0,0.0,0.002655071,0.0,0.0,0.115297146,0.0,0.019845692,0.0,0.0,0.003187977,0.0,0.0,0.0,0.008298785,0.0,0.0,0.013548534,0.0
Minocycline,0.0,0.0,0.010004511,0.23927617,0.063492164,0.0,0.0,0.019865187,0.0,0.0,0.0,0.0,0.14551339,0.019845692,0.0,0.0,0.026106637,0.012471721,0.0,0.03222712,0.0,0.22324547,0.0,0.034400757,0.6832924,0.039738197
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.26570874,0.0,0.02962632,0.0,0.0,0.0,0.011603122,0.0,0.3550358,0.0,0.06888861,0.0,0.026106637,0.0,0.0,0.010157474,0.0,0.21443251,0.0,0.028192459,0.0,0.2873545,0.0,0.20124373
Norfloxacin,0.0,0.0,0.0063843825,0.0,0.07454544,0.0,0.0,0.0031907982,0.03019031,0.0,0.0,0.0,0.068405315,0.003187977,0.012471721,0.0,0.010157474,0.0,0.0,0.013627703,0.0,0.0,0.0,0.003187977,0.0,0.004510464
Oxacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Penicillin,0.0,0.0,0.3403679,0.0,0.15994442,0.0,0.0,0.0,0.015107595,0.0,0.0,0.0,0.19314991,0.0,0.03222712,0.0,0.21443251,0.013627703,0.0,0.0,0.0,0.012677542,0.0,0.12764311,0.05947803,0.10886335
Piperacillin-Tazobactam,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pristinamycin,0.0,0.0,0.01661713,0.08637533,0.020663451,0.0,0.0,0.008305582,0.0,0.0,0.0,0.046929162,0.029881764,0.008298785,0.22324547,0.0,0.028192459,0.0,0.0,0.012677542,0.0,0.0,0.0,0.014385204,0.15752754,0.01661713
Strepomycin_high_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teicoplanin,0.0,0.0,0.0,0.0,0.035080846,0.0,0.0,0.0,0.0,0.0048599574,0.0,0.02544542,0.07537154,0.0,0.034400757,0.0,0.2873545,0.003187977,0.0,0.12764311,0.0,0.014385204,0.0,0.0,0.023485176,0.77411866
Tetracycline,0.0,0.0,0.027129004,0.18509257,0.08814299,0.0,0.0,0.01356041,0.02647679,0.0,0.0,0.013304221,0.19325094,0.013548534,0.6832924,0.0,0.0,0.0,0.0,0.05947803,0.0,0.15752754,0.0,0.023485176,0.0,0.027129004
Vancomycin,0.0,0.0,0.0,0.0,0.020925166,0.002099798,0.0,0.0,0.0,0.005315991,0.0,0.007953758,0.07155601,0.0,0.039738197,0.0,0.20124373,0.004510464,0.0,0.10886335,0.0,0.01661713,0.0,0.77411866,0.027129004,0.0
