,Amoxicillin,Amoxicillin-Clavulanic acid,Ampicillin,Chloramphenicol,Ciprofloxacin,Clindamycin,Daptomycin,Fosfomycin,Gentamicin,Gentamicin_high_level,Imipenem,Levofloxacin,Linezolid,Minocycline,Mupirocin,Nitrofurantoin,Norfloxacin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Teicoplanin,Tetracycline,Tigecycline,Vancomycin
Amoxicillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.072835706,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.18584104
Ampicillin,0.0,1.0,0.0,0.042424284,0.5841269,0.0,0.07936508,0.16358265,0.0,0.0,0.6105139,0.6514602,0.054784693,0.00012843356,0.0,0.0,0.2258649,1.0,1.0,0.08807732,0.10548813,0.028834041,0.0,0.11450978
Chloramphenicol,0.0,0.0,0.042424284,0.0,0.03182651,0.0,0.0,0.0,0.0,0.0,0.0,0.034144413,0.41980684,0.04673925,0.0,0.0,0.0,0.042424284,0.0,0.0,0.21657892,0.02098542,0.0,0.21657892
Ciprofloxacin,0.0,0.0,0.5841269,0.03182651,0.0,0.0,0.005666746,0.045375977,0.0,0.0,0.32857144,0.9146098,0.041669954,0.0,0.0,0.09534298,0.2941742,0.6223371,0.0,0.05186125,0.08797933,0.03366531,0.0,0.09155586
Clindamycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Daptomycin,0.0,0.0,0.07936508,0.0,0.005666746,0.0,0.0,0.11220299,0.0,0.0,0.0,0.045306187,0.0,0.077757925,0.0,0.0,0.025374664,0.07936508,0.0,0.0,0.0,0.019972125,0.0,0.0
Fosfomycin,0.0,0.0,0.16358265,0.0,0.045375977,0.0,0.11220299,0.0,0.0,0.0,0.0,0.08422749,0.0,0.0,0.0,0.24967039,0.0,0.16358265,0.0,0.0,0.18598416,0.0,0.0,0.18598416
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08571429,0.17558742,0.017321374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.035149615,0.0,0.0,0.037037037
Gentamicin_high_level,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21354038,0.3527254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033935428,0.0,0.0,0.058886457
Imipenem,0.0,0.0,0.6105139,0.0,0.32857144,0.0,0.0,0.0,0.08571429,0.21354038,0.0,0.44790947,0.01026262,0.18856181,0.0,0.051240608,0.0,0.47434166,0.0,0.0,0.046814322,0.0070938044,0.0,0.08326855
Levofloxacin,0.0,0.0,0.6514602,0.034144413,0.9146098,0.0,0.045306187,0.08422749,0.17558742,0.3527254,0.44790947,0.0,0.0,0.022966513,0.0,0.0,0.25877458,0.7201053,0.0,0.06533188,0.10230193,0.07715731,0.0,0.13166699
Linezolid,0.0,0.072835706,0.054784693,0.41980684,0.041669954,0.0,0.0,0.0,0.017321374,0.0,0.01026262,0.0,0.0,0.0,0.0,0.07867714,0.008367493,0.051571976,0.07418865,0.03413887,0.3771771,0.0,0.0,0.28528804
Minocycline,0.0,0.0,0.00012843356,0.04673925,0.0,0.0,0.077757925,0.0,0.0,0.0,0.18856181,0.022966513,0.0,0.0,0.0,0.0,0.046336535,0.00012843356,0.0,0.0,0.0,0.830361,0.0,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nitrofurantoin,0.0,0.0,0.0,0.0,0.09534298,0.0,0.0,0.24967039,0.0,0.0,0.051240608,0.0,0.07867714,0.0,0.0,0.0,0.0,0.0,0.0,0.09526877,0.16408624,0.0,0.0,0.035619512
Norfloxacin,0.0,0.0,0.2258649,0.0,0.2941742,0.0,0.025374664,0.0,0.0,0.0,0.0,0.25877458,0.008367493,0.046336535,0.0,0.0,0.0,0.2258649,0.0,0.030562492,0.02063204,0.056839857,0.0,0.02063204
