,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.27977476,0.17083398,0.27986178,0.3028401,0.2717538,0.28108323,0.13109471,0.2718301,0.26017118,0.31623358,0.14345531,0.0,0.25891656,0.017006472,0.40378642,0.1338507,0.0892988,0.09570406,0.17351475,0.06913313,0.2788142,0.08310392,0.107645005,0.25370666,0.18503508,0.16770874,0.18702073,0.0,0.6438552
Amoxicillin-Clavulanic acid,0.27977476,0.0,0.5116983,0.0,0.31124356,0.0,0.0,0.45628873,0.40862155,0.34822744,0.325484,0.43737397,0.0,0.27115196,0.02755449,0.0,0.23562826,0.1436734,0.0,0.2571694,0.017256169,0.2600418,0.039718345,0.11485368,0.2746878,0.0,0.5123675,0.0,0.0,0.35312772
Ampicillin,0.17083398,0.5116983,0.0,0.3921716,0.3786523,0.38372156,0.39264044,0.24827418,0.0,0.39221203,0.40139392,0.24970837,0.22625075,0.36531952,0.0,0.25,0.56380266,0.103701495,0.035866532,0.24902384,0.03348655,0.4041124,0.038783606,0.0666145,0.33167556,0.98644483,0.2842161,0.9863476,0.01634593,0.30550173
Aztreonam,0.27986178,0.0,0.3921716,0.0,0.93084663,0.9902495,1.0,0.0,0.0,1.0,0.0,0.23005588,0.1653052,0.5023331,0.0,0.0,0.0,0.22094563,0.16454718,0.11019673,0.10673664,0.5273068,0.10673664,0.0,0.5090199,0.39893404,0.0,0.38992384,0.0,0.2695626
Cefepime,0.3028401,0.31124356,0.3786523,0.93084663,0.0,0.9208264,0.9350472,0.2481015,0.70991296,0.8658718,0.85324,0.37133986,0.12594925,0.47709703,0.0,0.16983673,0.3019325,0.13402444,0.114841655,0.21527754,0.055522446,0.49329692,0.0731819,0.119542606,0.4246466,0.38043016,0.24230468,0.37112173,0.0,0.36666527
Cefixime,0.2717538,0.0,0.38372156,0.9902495,0.9208264,0.0,0.99025327,0.0,0.0,0.99025327,0.0,0.22364424,0.17251547,0.4834064,0.0,0.0,0.0,0.21917571,0.1664672,0.1253234,0.112085596,0.50497526,0.11206432,0.0,0.50487816,0.38992384,0.0,0.39036596,0.019518185,0.27637535
Cefotaxime,0.28108323,0.0,0.39264044,1.0,0.9350472,0.99025327,0.0,0.0,0.0,1.0,0.0,0.23092116,0.1653052,0.50082076,0.0,0.0,0.0,0.20864716,0.16585976,0.11044916,0.10713995,0.52560943,0.10711841,0.0,0.5105228,0.39893404,0.0,0.39036596,0.0,0.2709955
Cefoxitin,0.13109471,0.45628873,0.24827418,0.0,0.2481015,0.0,0.0,0.0,0.0,0.35274568,0.5659165,0.45463094,0.0,0.16979055,0.0,0.0,0.0,0.35216308,0.0,0.075045206,0.0,0.0,0.0,0.1575909,0.32784268,0.0,0.40422603,0.0,0.0,0.0
Cefpodoxime,0.2718301,0.40862155,0.0,0.0,0.70991296,0.0,0.0,0.0,0.0,0.76465076,0.8512389,0.0,0.0,0.52187645,0.0,0.0,0.32528755,0.11317369,0.0,0.0,0.006742468,0.5258373,0.039904818,0.16208519,0.41318977,0.0,0.23925583,0.0,0.0,0.37738943
Ceftazidime,0.26017118,0.34822744,0.39221203,1.0,0.8658718,0.99025327,1.0,0.35274568,0.76465076,0.0,0.8891138,0.41145214,0.16559874,0.48996747,0.012649018,0.12598816,0.28434125,0.16037211,0.10530037,0.18419024,0.028363638,0.5151811,0.04045106,0.107782714,0.43178073,0.39893404,0.2647745,0.39036596,0.0,0.3162298
