,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Tigecycline,Tobramycin
Amikacin,0.0,0.14430603,0.19227925,0.18836842,0.0,0.29107526,0.34334558,0.36006305,0.1884703,0.07692308,0.0,0.1967206,0.0,0.3742649,0.0,0.14536238,0.0,0.0,0.2161807,0.0,0.22193219,0.0070921984,0.167996,0.0,0.63022465
Amoxicillin-Clavulanic acid,0.14430603,0.0,0.0,0.25419557,0.0,0.0,0.48644623,0.105149284,0.666258,0.81764007,0.0,0.08846197,0.07153399,0.015482443,0.0,0.0,0.29387692,0.0,0.0,0.26733983,0.14781953,0.0,0.95122427,0.0,0.16666667
Aztreonam,0.19227925,0.0,0.0,0.62755466,0.55325216,0.6605826,0.0,0.62755466,0.0,0.38483447,0.53387654,0.6273164,0.0,0.0,0.27285358,0.008883012,0.33532637,0.0,0.5929644,0.0,0.59980965,0.031057028,0.0,0.0,0.38854367
Cefepime,0.18836842,0.25419557,0.62755466,0.0,0.8927536,0.9500017,0.3685531,0.78133154,0.33448008,0.24958095,0.2530447,0.4663627,0.0,0.20669934,0.38732082,0.05195854,0.45858744,0.0,0.4231912,0.0,0.3713842,0.014337746,0.2970744,0.0,0.48755598
Cefixime,0.0,0.0,0.55325216,0.8927536,0.0,0.8473738,0.0,0.8927536,0.0,0.18734907,0.28091988,0.5708029,0.0,0.0,0.43478855,0.068602785,0.5343381,0.0,0.4944685,0.0,0.49062794,0.014337746,0.0,0.0,0.4531381
Cefotaxime,0.29107526,0.0,0.6605826,0.9500017,0.8473738,0.0,0.0,0.9500017,0.0,0.25421497,0.2530447,0.6419326,0.0,0.0,0.41304988,0.12804961,0.5076222,0.0,0.5744274,0.0,0.76360893,0.016088486,0.0,0.0,0.5881833
Cefpodoxime,0.34334558,0.48644623,0.0,0.3685531,0.0,0.0,0.0,0.1528066,0.841703,0.0,0.0,0.0,0.0,0.32363772,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6843042,0.0,0.34334558
Ceftazidime,0.36006305,0.105149284,0.62755466,0.78133154,0.8927536,0.9500017,0.1528066,0.0,0.15305091,0.25698704,0.28091988,0.50837755,0.0,0.15371318,0.3597261,0.09190936,0.4598071,0.0,0.47506127,0.28896496,0.35651138,0.014337746,0.12890391,0.0,0.57045215
Ceftriaxone,0.1884703,0.666258,0.0,0.33448008,0.0,0.0,0.841703,0.15305091,0.0,0.934785,0.0,0.12293011,0.0,0.12896882,0.0,0.0,0.0,0.0,0.0,0.1613743,0.19739552,0.0,0.77789897,0.0,0.22840852
Cefuroxime,0.07692308,0.81764007,0.38483447,0.24958095,0.18734907,0.25421497,0.0,0.25698704,0.934785,0.0,0.0,0.273236,0.0,0.0,0.10488391,0.0,0.091054946,0.0,0.23052135,0.20014417,0.5602111,0.09037021,0.9312404,0.0,0.14952499
Chloramphenicol,0.0,0.0,0.53387654,0.2530447,0.28091988,0.2530447,0.0,0.28091988,0.0,0.0,0.0,0.6484443,0.0,0.0,0.6191392,0.10244278,0.0,0.0,0.6484443,0.0,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.1967206,0.08846197,0.6273164,0.4663627,0.5708029,0.6419326,0.0,0.50837755,0.12293011,0.273236,0.6484443,0.0,0.0,0.3744701,0.40360367,0.046596173,0.12425488,0.0,0.95231867,0.06941248,0.7389304,0.017817415,0.105865814,0.0,0.2571358
Colistin,0.0,0.07153399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.3742649,0.015482443,0.0,0.20669934,0.0,0.0,0.32363772,0.15371318,0.12896882,0.0,0.0,0.3744701,0.0,0.0,0.0,0.0,0.0,0.0,0.37386346,0.0,0.49483636,0.0,0.02663125,0.0,0.37386346
Ertapenem,0.0,0.0,0.27285358,0.38732082,0.43478855,0.41304988,0.0,0.3597261,0.0,0.10488391,0.6191392,0.40360367,0.0,0.0,0.0,0.0,0.0,0.0,0.44298452,0.0,0.0,0.0,0.0,0.0,0.0
Fosfomycin,0.14536238,0.0,0.008883012,0.05195854,0.068602785,0.12804961,0.0,0.09190936,0.0,0.0,0.10244278,0.046596173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23088951,0.0,0.0,0.0,0.08836725
Gentamicin,0.0,0.29387692,0.33532637,0.45858744,0.5343381,0.5076222,0.0,0.4598071,0.0,0.091054946,0.0,0.12425488,0.0,0.0,0.0,0.0,0.0,0.0,0.1638244,0.22454436,0.0,0.0070921984,0.0,0.0,0.86303395
Imipenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levofloxacin,0.2161807,0.0,0.5929644,0.4231912,0.4944685,0.5744274,0.0,0.47506127,0.0,0.23052135,0.6484443,0.95231867,0.0,0.37386346,0.44298452,0.0,0.1638244,0.0,0.0,0.0,0.70161813,0.017817415,0.0,0.0,0.27104837
Nitrofurantoin,0.0,0.26733983,0.0,0.0,0.0,0.0,0.0,0.28896496,0.1613743,0.20014417,0.0,0.06941248,0.0,0.0,0.0,0.0,0.22454436,0.0,0.0,0.0,0.09949367,0.0,0.0,0.0,0.0
Norfloxacin,0.22193219,0.14781953,0.59980965,0.3713842,0.49062794,0.76360893,0.0,0.35651138,0.19739552,0.5602111,0.0,0.7389304,0.0,0.49483636,0.0,0.23088951,0.0,0.0,0.70161813,0.09949367,0.0,0.024746109,0.19843489,0.0,0.2767242
Piperacillin,0.0070921984,0.0,0.031057028,0.014337746,0.014337746,0.016088486,0.0,0.014337746,0.0,0.09037021,0.0,0.017817415,0.0,0.0,0.0,0.0,0.0070921984,0.0,0.017817415,0.0,0.024746109,0.0,0.0,0.00729927,0.01006564
Piperacillin-Tazobactam,0.167996,0.95122427,0.0,0.2970744,0.0,0.0,0.6843042,0.12890391,0.77789897,0.9312404,0.0,0.105865814,0.0,0.02663125,0.0,0.0,0.0,0.0,0.0,0.0,0.19843489,0.0,0.0,0.0,0.1953033
Tigecycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00729927,0.0,0.0,0.0
Tobramycin,0.63022465,0.16666667,0.38854367,0.48755598,0.4531381,0.5881833,0.34334558,0.57045215,0.22840852,0.14952499,0.0,0.2571358,0.0,0.37386346,0.0,0.08836725,0.86303395,0.0,0.27104837,0.0,0.2767242,0.01006564,0.1953033,0.0,0.0
