,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefazolin,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Colistin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.37611827,0.015084674,0.36770567,0.0,0.36725977,0.37635052,0.3897617,0.07939903,0.35380614,0.36146685,0.3548803,0.2586291,0.4286456,0.36489022,0.07278476,0.0,0.32075787,0.18781096,0.120071046,0.062139165,0.21110818,0.3703416,0.24474356,0.08679269,0.1073288,0.303241,0.017520241,0.38908398,0.008841253,0.30862275,0.54232764
Amoxicillin-Clavulanic acid,0.37611827,0.0,0.0,0.0,0.0,0.65193313,0.0,0.0,0.16721193,0.67780745,0.69503784,0.6659535,0.70349294,0.0,0.5740982,0.15131812,0.74090225,0.5050851,0.3798705,0.0,0.49367175,0.2727031,0.56196404,0.30470574,0.0,0.19403255,0.58896786,0.0,0.85730773,0.0,0.0,0.5831594
Ampicillin,0.015084674,0.0,0.0,0.030372275,0.0,0.002589725,0.03351481,0.033340707,0.0,0.0,0.02816258,0.030360643,0.046246152,0.033792328,0.030621998,0.00839293,0.0,0.0,0.017057814,0.0,0.017630735,0.011218929,0.008099447,0.0,0.0,0.035433836,0.0,0.1284582,0.0,0.49935582,0.013982557,0.024447298
Aztreonam,0.36770567,0.0,0.030372275,0.0,0.0,0.9548368,0.96236986,0.9746289,0.24972309,0.0,0.9190749,0.0,0.60664546,0.37067455,0.72326446,0.093232214,0.0,0.0,0.29528087,0.1700653,0.59986997,0.22190285,0.71890885,0.23560436,0.08755577,0.21057664,0.64467335,0.04583346,0.0,0.016624616,0.391752,0.69395757
Cefazolin,0.0,0.0,0.0,0.0,0.0,0.2773501,0.0,0.293151,0.514205,0.0,0.51587695,0.0,1.0,0.0,0.29277003,0.0,0.0,0.0,0.2773501,0.3786917,0.2773501,0.0,0.0,0.0,0.0,0.0,0.23343214,0.0,0.0,0.0,0.0,0.15811388
Cefepime,0.36725977,0.65193313,0.002589725,0.9548368,0.2773501,0.0,0.9203069,0.9232009,0.3515847,0.8330729,0.8839056,0.90043575,0.5655876,0.37474978,0.6957409,0.11504481,0.79000854,0.5562562,0.48109797,0.20637277,0.6134782,0.30708924,0.7136749,0.31529507,0.08405901,0.2531113,0.6164165,0.04013806,0.61952037,0.016308935,0.40634874,0.70194817
Cefixime,0.37635052,0.0,0.03351481,0.96236986,0.0,0.9203069,0.0,0.96918815,0.0,0.0,0.9098366,0.0,0.45623863,0.35826406,0.64493424,0.13919233,0.0,0.0,0.5175316,0.14049332,0.55547726,0.4028766,0.6513584,0.40145355,0.0,0.24827398,0.5137015,0.03352614,0.0,0.016735777,0.39512277,0.6255247
Cefotaxime,0.3897617,0.0,0.033340707,0.9746289,0.293151,0.9232009,0.96918815,0.0,0.6296249,0.0,0.9201417,0.0,0.46832713,0.37433928,0.63560706,0.120510735,0.0,0.0,0.54536396,0.15636931,0.55962616,0.43842387,0.6390793,0.42071235,0.015845563,0.1754863,0.5066668,0.030985996,0.0,0.016852139,0.3846797,0.63186395
Cefoxitin,0.07939903,0.16721193,0.0,0.24972309,0.514205,0.3515847,0.0,0.6296249,0.0,0.0,0.51908326,0.1969697,0.38580436,0.0,0.35265636,0.14894474,0.0,0.0,0.65620756,0.27747586,0.26837918,0.47353017,0.2502486,0.447235,0.12846434,0.17116143,0.3842161,0.024632042,0.52452433,0.0,0.0,0.2837163
Cefpodoxime,0.35380614,0.67780745,0.0,0.0,0.0,0.8330729,0.0,0.0,0.0,0.0,0.8947652,0.9048207,0.0,0.0,0.62233734,0.09924577,0.0,0.46204776,0.31355122,0.0,0.0,0.20811021,0.62233734,0.21051978,0.0,0.0,0.6162149,0.0,0.6948943,0.0,0.0,0.6843902
Ceftazidime,0.36146685,0.69503784,0.02816258,0.9190749,0.51587695,0.8839056,0.9098366,0.9201417,0.51908326,0.8947652,0.0,0.9345652,0.50258046,0.32251394,0.59090626,0.124629065,0.79000854,0.5410235,0.46968147,0.1388987,0.5162547,0.3708776,0.6023736,0.3802061,0.06814693,0.16413276,0.50129384,0.03317288,0.68825704,0.017487084,0.4068561,0.5967313
Ceftriaxone,0.3548803,0.6659535,0.030360643,0.0,0.0,0.90043575,0.0,0.0,0.1969697,0.9048207,0.9345652,0.0,0.81761783,0.0,0.62987006,0.17430453,0.79000854,0.5520252,0.38781002,0.016035853,0.56815505,0.29388782,0.62406176,0.30785117,0.0,0.13911082,0.6524644,0.0,0.64070016,0.0,0.0,0.6491636
Cefuroxime,0.2586291,0.70349294,0.046246152,0.60664546,1.0,0.5655876,0.45623863,0.46832713,0.38580436,0.0,0.50258046,0.81761783,0.0,0.048113573,0.540276,0.09429022,0.54333484,0.69461614,0.33112735,0.0826001,0.40770093,0.19447231,0.502388,0.18182264,0.26411343,0.23222415,0.5709172,0.032127008,0.7040409,0.026243754,0.23914345,0.4844609
Chloramphenicol,0.4286456,0.0,0.033792328,0.37067455,0.0,0.37474978,0.35826406,0.37433928,0.0,0.0,0.32251394,0.0,0.048113573,0.0,0.42221394,0.18032488,0.0,0.0,0.5034079,0.26956868,0.3237812,0.44499835,0.4310004,0.4498225,0.0,0.0,0.0,0.049969416,0.0,0.0,0.3858037,0.3591884
Ciprofloxacin,0.36489022,0.5740982,0.030621998,0.72326446,0.29277003,0.6957409,0.64493424,0.63560706,0.35265636,0.62233734,0.59090626,0.62987006,0.540276,0.42221394,0.0,0.13630034,0.68105775,0.5650986,0.4424543,0.21956894,0.5579426,0.22585058,0.91766334,0.22244513,0.18434103,0.30680963,0.84236217,0.02079978,0.57671857,0.019542681,0.39225122,0.6791074
Colistin,0.07278476,0.15131812,0.00839293,0.093232214,0.0,0.11504481,0.13919233,0.120510735,0.14894474,0.09924577,0.124629065,0.17430453,0.09429022,0.18032488,0.13630034,0.0,0.0,0.09454566,0.17879112,0.073139325,0.11423677,0.12639618,0.14068724,0.124115795,0.054195184,0.070952125,0.09892501,0.0,0.17856069,0.0042472673,0.21171285,0.11164884
Cotrimoxazol,0.0,0.74090225,0.0,0.0,0.0,0.79000854,0.0,0.0,0.0,0.0,0.79000854,0.79000854,0.54333484,0.0,0.68105775,0.0,0.0,0.0,0.17017582,0.0,0.0,0.388125,0.0,0.42857143,0.0,0.070754915,0.5887014,0.0,0.5950103,0.0,0.0,0.0
Cotrimoxazole,0.32075787,0.5050851,0.0,0.0,0.0,0.5562562,0.0,0.0,0.0,0.46204776,0.5410235,0.5520252,0.69461614,0.0,0.5650986,0.09454566,0.0,0.0,0.14723046,0.0,0.52227426,0.09694246,0.5673658,0.13818653,0.0,0.38101336,0.55635303,0.0,0.43977502,0.0,0.0,0.5423332
Ertapenem,0.18781096,0.3798705,0.017057814,0.29528087,0.2773501,0.48109797,0.5175316,0.54536396,0.65620756,0.31355122,0.46968147,0.38781002,0.33112735,0.5034079,0.4424543,0.17879112,0.17017582,0.14723046,0.0,0.18891913,0.4049562,0.5501436,0.4503252,0.5337949,0.040891863,0.28574,0.36817595,0.027562754,0.42778337,0.009691358,0.3693204,0.40683463
Fosfomycin,0.120071046,0.0,0.0,0.1700653,0.3786917,0.20637277,0.14049332,0.15636931,0.27747586,0.0,0.1388987,0.016035853,0.0826001,0.26956868,0.21956894,0.073139325,0.0,0.0,0.18891913,0.0,0.13504541,0.13022178,0.24602595,0.13200547,0.066698715,0.13344082,0.21623084,0.0,0.1053128,0.020249676,0.122422405,0.17654516
Gentamicin,0.062139165,0.49367175,0.017630735,0.59986997,0.2773501,0.6134782,0.55547726,0.55962616,0.26837918,0.0,0.5162547,0.56815505,0.40770093,0.3237812,0.5579426,0.11423677,0.0,0.52227426,0.4049562,0.13504541,0.0,0.21558666,0.57585585,0.19218764,0.11220038,0.21277799,0.46780136,0.026819127,0.28181073,0.010832422,0.31866482,0.8080615
Imipenem,0.21110818,0.2727031,0.011218929,0.22190285,0.0,0.30708924,0.4028766,0.43842387,0.47353017,0.20811021,0.3708776,0.29388782,0.19447231,0.44499835,0.22585058,0.12639618,0.388125,0.09694246,0.5501436,0.13022178,0.21558666,0.0,0.2329228,0.7956156,0.0071950243,0.1674715,0.16897511,0.016716562,0.3225781,0.006490492,0.38154,0.24341163
Levofloxacin,0.3703416,0.56196404,0.008099447,0.71890885,0.0,0.7136749,0.6513584,0.6390793,0.2502486,0.62233734,0.6023736,0.62406176,0.502388,0.4310004,0.91766334,0.14068724,0.0,0.5673658,0.4503252,0.24602595,0.57585585,0.2329228,0.0,0.24364035,0.15745491,0.41298872,0.8090483,0.021280523,0.5715289,0.017744659,0.42162123,0.693992
Meropenem,0.24474356,0.30470574,0.0,0.23560436,0.0,0.31529507,0.40145355,0.42071235,0.447235,0.21051978,0.3802061,0.30785117,0.18182264,0.4498225,0.22244513,0.124115795,0.42857143,0.13818653,0.5337949,0.13200547,0.19218764,0.7956156,0.24364035,0.0,0.039326537,0.15968081,0.16064014,0.0153363915,0.3593453,0.0061135357,0.35092226,0.2305777
