,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Levofloxacin,Norfloxacin,Piperacillin-Tazobactam,Tobramycin
Amikacin,0.0,0.0,0.0,0.3256705,0.0,0.0,0.0,0.2792563,0.0,0.28959572,0.1767975,0.0,0.0,0.0,0.3959252,0.20373741,0.30432343,0.0,1.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.52878094,0.0,0.0,0.8628119,0.4260604,0.5575299,0.0,0.5575299,0.0,0.7468519,0.0,0.0,0.5566364,0.4951999,0.648911,0.0
Aztreonam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefepime,0.3256705,0.52878094,0.0,0.0,0.0,0.0,0.57312053,0.27932808,0.70409137,0.28504387,0.37382218,0.0,0.463667,0.0,0.26111647,0.4264903,0.6270421,0.40205023,0.3251029
Cefixime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefotaxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefpodoxime,0.0,0.8628119,0.0,0.57312053,0.0,0.0,0.0,0.0,0.57312053,0.0,0.57312053,0.0,0.6992059,0.0,0.0,0.57312053,0.57312053,0.8133979,0.0
Ceftazidime,0.2792563,0.4260604,0.0,0.27932808,0.0,0.0,0.0,0.0,0.86417294,0.28504387,0.6602747,0.0,0.3712564,0.0,0.0,0.7512288,0.0,0.32463768,0.2785572
Ceftriaxone,0.0,0.5575299,0.0,0.70409137,0.0,0.0,0.57312053,0.86417294,0.0,0.0,1.0,0.0,0.48697022,0.0,0.0,1.0,1.0,0.2779841,0.0
Cefuroxime,0.28959572,0.0,0.0,0.28504387,0.0,0.0,0.0,0.28504387,0.0,0.0,0.16386929,0.0,0.0,0.0,0.3739788,0.0,0.48038447,0.0,0.0
Ciprofloxacin,0.1767975,0.5575299,0.0,0.37382218,0.0,0.0,0.57312053,0.6602747,1.0,0.16386929,0.0,0.0,0.48697022,0.0,0.0,0.8782193,0.8918533,0.2779841,0.17562443
Colistin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.0,0.7468519,0.0,0.463667,0.0,0.0,0.6992059,0.3712564,0.48697022,0.0,0.48697022,0.0,0.0,0.0,0.0,0.48697022,0.40072927,0.5690426,0.0
Ertapenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fosfomycin,0.3959252,0.0,0.0,0.26111647,0.0,0.0,0.0,0.0,0.0,0.3739788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Levofloxacin,0.20373741,0.5566364,0.0,0.4264903,0.0,0.0,0.57312053,0.7512288,1.0,0.0,0.8782193,0.0,0.48697022,0.0,0.0,0.0,0.6263447,0.27696356,0.20373741
Norfloxacin,0.30432343,0.4951999,0.0,0.6270421,0.0,0.0,0.57312053,0.0,1.0,0.48038447,0.8918533,0.0,0.40072927,0.0,0.0,0.6263447,0.0,0.0,0.30293795
Piperacillin-Tazobactam,0.0,0.648911,0.0,0.40205023,0.0,0.0,0.8133979,0.32463768,0.2779841,0.0,0.2779841,0.0,0.5690426,0.0,0.0,0.27696356,0.0,0.0,0.0
Tobramycin,1.0,0.0,0.0,0.3251029,0.0,0.0,0.0,0.2785572,0.0,0.0,0.17562443,0.0,0.0,0.0,0.0,0.20373741,0.30293795,0.0,0.0
