,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.09131411,0.0,0.0,0.1652578,0.032512803,0.0915159,0.05457474,0.0,0.0,0.120848835,0.2923828,0.0,0.049286406,0.17095849,0.0,0.12953575,0.0,0.14217778,0.0,0.0,0.034200218,0.7326951
Aztreonam,0.09131411,0.0,0.17505471,0.75696176,0.8451417,0.0,0.80531114,0.0,0.0,0.3106849,0.31740746,0.0,0.0,0.1539448,0.18767706,0.0,0.3103838,0.0,0.3941443,0.6454821,0.0,0.6297106,0.13847134
Cefepime,0.0,0.17505471,0.0,0.15286496,0.1652578,0.0,0.16266249,0.23078835,0.0,0.0,0.0,0.25397637,0.0,0.049286406,0.17095849,0.0,0.0,0.0,0.0,0.13188492,0.40033364,0.1174129,0.08906627
Cefixime,0.0,0.75696176,0.15286496,0.0,0.85338837,0.0,0.733516,0.0,0.0,0.14338483,0.2207817,0.0,0.0,0.11710118,0.095439576,0.0,0.22633049,0.0,0.31785426,0.67377925,0.0,0.62448776,0.07368761
Cefotaxime,0.1652578,0.8451417,0.1652578,0.85338837,0.0,0.0,0.8798326,0.0,0.0,0.14940357,0.25573108,0.0,0.0,0.21527204,0.17268844,0.0,0.25637928,0.0,0.28311688,0.7249655,0.0,0.6682331,0.15276913
Cefpodoxime,0.032512803,0.0,0.0,0.0,0.0,0.0,0.04708816,0.04708816,0.0,0.0,0.05330018,0.04708816,0.0,0.0,0.0,0.0,0.05330018,0.0,0.05330018,0.0,0.022727273,0.0,0.04708816
Ceftazidime,0.0915159,0.80531114,0.16266249,0.733516,0.8798326,0.04708816,0.0,0.84525424,0.020408163,0.22941573,0.3736309,0.14386818,0.0,0.17050333,0.16789322,0.019275833,0.3933619,0.06600401,0.41749257,0.63179773,0.27725014,0.61219656,0.17991072
Ceftriaxone,0.05457474,0.0,0.23078835,0.0,0.0,0.04708816,0.84525424,0.0,0.03407991,0.0,0.36107588,0.22912617,0.0,0.0,0.47560975,0.0,0.41557232,0.0,0.34188172,0.0,0.13652588,0.0,0.16505904
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.020408163,0.03407991,0.0,0.0,0.04761905,0.088636,0.0,0.0,0.029160593,0.0,0.0,0.69631064,0.08627959,0.0,0.0,0.0,0.0
Chloramphenicol,0.0,0.3106849,0.0,0.14338483,0.14940357,0.0,0.22941573,0.0,0.0,0.0,0.11764706,0.0,0.0,0.12909944,0.2668725,0.0,0.18257418,0.0,0.0,0.2786391,0.0,0.36055514,0.12909944
