,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Cefoxitin,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Cotrimoxazol,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Nitrofurantoin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tigecycline,Tobramycin
Amikacin,0.0,0.0,0.07705202,0.10652441,0.1118049,0.10920675,0.10641273,0.0,0.5888889,0.14691426,0.34890264,0.1162269,0.1362539,0.09184027,0.0,0.024402484,0.13529257,0.062090874,0.1330761,0.0,0.099040106,0.0,0.0,0.09996771,0.08869315,0.0,0.09144188,0.009114139,0.4227728
Amoxicillin-Clavulanic acid,0.0,0.0,0.29770342,0.0,0.3390054,0.0,0.0,1.0,0.44344062,0.5145712,0.3449395,0.594673,0.0,0.29635483,0.2663977,0.28308445,0.17265019,0.0,0.447633,0.051914144,0.31515974,0.29464287,0.0,0.38216358,0.0,0.27325815,0.0,0.0,0.35159045
Ampicillin,0.07705202,0.29770342,0.0,0.34100574,0.32507378,0.320415,0.34100574,0.5330018,0.0,0.30850056,0.37149078,0.19920069,0.66922265,0.36434537,0.8563488,0.5696138,0.051713135,0.18652353,0.4726373,0.0,0.3561087,0.07285312,0.0,0.4317137,0.96551067,0.21098213,0.9527948,0.03924592,0.41620773
Aztreonam,0.10652441,0.0,0.34100574,0.0,0.8984664,0.9576268,1.0,0.0,0.0,0.9430862,0.0,0.3692839,0.10234055,0.38473696,0.0,0.0,0.1534605,0.3066159,0.4408862,0.0,0.36921027,0.0,0.0,0.38665444,0.35446683,0.0,0.34345213,0.007380285,0.48320967
Cefepime,0.1118049,0.3390054,0.32507378,0.8984664,0.0,0.88119435,0.8984664,0.0,0.51094013,0.7200079,0.6060155,0.3952449,0.10234055,0.280355,0.0,0.09293712,0.21306443,0.3004866,0.4349295,0.0,0.33675128,0.25788265,0.0,0.2917101,0.32904017,0.40346208,0.33343148,0.0052123363,0.44040087
Cefixime,0.10920675,0.0,0.320415,0.9576268,0.88119435,0.0,0.9576268,0.0,0.0,0.8985947,0.0,0.34746778,0.10234055,0.3805164,0.0,0.0,0.15563369,0.2999627,0.4301017,0.0,0.36442187,0.0,0.0,0.36374158,0.3335849,0.0,0.32228205,0.0073975506,0.47208878
Cefotaxime,0.10641273,0.0,0.34100574,1.0,0.8984664,0.9576268,0.0,0.0,0.0,0.9430862,0.0,0.3692839,0.10234055,0.38636652,0.0,0.0,0.15344585,0.30634043,0.4408862,0.0,0.37090817,0.0,0.0,0.38665444,0.35446683,0.0,0.34345213,0.0073975506,0.48306656
Cefoxitin,0.0,1.0,0.5330018,0.0,0.0,0.0,0.0,0.0,0.0,0.47743186,1.0,1.0,0.0,0.5533986,0.2663977,0.0,0.0,0.4488328,0.4375,0.6105406,0.0,0.0,0.0,0.5533986,0.0,0.0,0.0,0.0,0.0
Cefpodoxime,0.5888889,0.44344062,0.0,0.0,0.51094013,0.0,0.0,0.0,0.0,0.8995503,0.9508251,0.0,0.0,0.4134108,0.0,0.26804802,0.0,0.0,0.0,0.0,0.4134108,0.0,0.0,0.4214349,0.0,0.0,0.0,0.0,0.5936129
Ceftazidime,0.14691426,0.5145712,0.30850056,0.9430862,0.7200079,0.8985947,0.9430862,0.47743186,0.8995503,0.0,0.6695149,0.37114233,0.10234055,0.36409393,0.26457512,0.13476062,0.19641247,0.27787092,0.3693391,0.012239231,0.38042983,0.2381213,0.0,0.3928371,0.3444507,0.38715908,0.3167927,0.0073975506,0.4574714
