,Amikacin,Amoxicillin-Clavulanic acid,Cefepime,Cefpodoxime,Ceftazidime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Cotrimoxazole,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Norfloxacin,Polymyxin B,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.14394031,0.1277754,0.29779062,0.0,0.20991069,0.0,0.4061812,0.0,0.039497215,0.0,0.28152102,0.0,0.0
Cefepime,0.0,0.0,0.0,0.4281744,0.49328858,0.0,0.0,0.0,0.0,0.0,0.0,0.06970715,0.0,0.0,0.0,0.0
Cefpodoxime,0.0,0.14394031,0.4281744,0.0,0.48377946,0.48377946,0.0,0.0,0.0,0.0,0.0,0.16909988,0.0,0.0,0.0,0.0
Ceftazidime,0.0,0.1277754,0.49328858,0.48377946,0.0,0.4937107,0.0,0.0,0.0,0.0,0.0,0.070345245,0.0,0.0,0.0,0.0
Ceftriaxone,0.0,0.29779062,0.0,0.48377946,0.4937107,0.0,0.0,0.0,0.0,0.0,0.0,0.07903636,0.0,0.0,0.0,0.0
Cefuroxime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018867925,0.0,0.0,0.026938623,0.19120444,0.0,0.0,1.0,0.0
Ciprofloxacin,0.0,0.20991069,0.0,0.0,0.0,0.0,0.018867925,0.0,0.0,0.24800794,0.0,0.0,0.0,1.0,0.030303031,0.0
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16329932,0.0,0.0,0.0,0.0
Fosfomycin,0.0,0.4061812,0.0,0.0,0.0,0.0,0.0,0.24800794,0.0,0.0,0.0,0.0,0.0,0.27116308,0.0,0.0
Gentamicin,0.0,0.0,0.0,0.0,0.0,0.0,0.026938623,0.0,0.0,0.0,0.0,0.24253562,0.0,0.0,0.0,0.0
Imipenem,0.0,0.039497215,0.06970715,0.16909988,0.070345245,0.07903636,0.19120444,0.0,0.16329932,0.0,0.24253562,0.0,0.0,0.0,0.0,0.0
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Norfloxacin,0.0,0.28152102,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.27116308,0.0,0.0,0.0,0.0,0.0,0.0
Polymyxin B,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.030303031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tobramycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
