,Amikacin,Amoxicillin-Clavulanic acid,Aztreonam,Cefepime,Ceftazidime,Ceftolozane-Tazobactam,Ceftriaxone,Cefuroxime,Ciprofloxacin,Colistin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Meropenem,Norfloxacin,Piperacillin-Tazobactam,Tobramycin
Amikacin,0.0,0.0,0.0,0.07768129,0.099460825,0.0,0.0,0.012611584,0.20477362,0.1378427,0.0,0.0,0.044546906,0.5611743,0.09465423,0.17917907,0.2900001,0.015604694,0.1989854,0.5125245
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Aztreonam,0.0,0.0,0.0,0.42655787,0.53160006,0.0,0.0,0.0,0.18960457,0.037244473,0.0,0.0,0.0,0.0,0.51868635,0.0075485134,0.12165512,0.0,0.4143317,0.019995075
Cefepime,0.07768129,0.0,0.42655787,0.0,0.92176044,0.0,0.0,0.10903059,0.5522906,0.16250175,0.0,0.0,0.0,0.2053622,0.846569,0.60546476,0.2410503,0.81281036,0.6070556,0.21030608
Ceftazidime,0.099460825,0.0,0.53160006,0.92176044,0.0,0.0,0.0,0.0,0.55799043,0.16272472,0.0,0.0,0.016281784,0.19917245,0.82810616,0.5888191,0.21141662,0.81281036,0.723661,0.19106518
Ceftolozane-Tazobactam,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ceftriaxone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefuroxime,0.012611584,0.0,0.0,0.10903059,0.0,0.0,0.0,0.0,0.061051443,0.0,0.0,0.0,0.0,0.034157135,0.11067312,0.0,0.0,0.0,0.035559364,0.0
Ciprofloxacin,0.20477362,0.0,0.18960457,0.5522906,0.55799043,0.0,0.0,0.061051443,0.0,0.07230856,0.0,0.0,0.013628657,0.5465336,0.6139759,0.972932,0.29124007,0.04494666,0.30722305,0.25966418
Colistin,0.1378427,0.0,0.037244473,0.16250175,0.16272472,0.0,0.0,0.0,0.07230856,0.0,0.0,0.0,0.13153717,0.26237077,0.16674517,0.102676794,0.0028142382,0.0,0.123446986,0.121607065
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ertapenem,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fosfomycin,0.044546906,0.0,0.0,0.0,0.016281784,0.0,0.0,0.0,0.013628657,0.13153717,0.0,0.0,0.0,0.0,0.0,0.014658582,0.14228152,0.0,0.0,0.08041143
Gentamicin,0.5611743,0.0,0.0,0.2053622,0.19917245,0.0,0.0,0.034157135,0.5465336,0.26237077,0.0,0.0,0.0,0.0,0.17564084,0.3519478,0.45274776,0.06382979,0.30253622,0.7544285
Imipenem,0.09465423,0.0,0.51868635,0.846569,0.82810616,0.0,0.0,0.11067312,0.6139759,0.16674517,0.0,0.0,0.0,0.17564084,0.0,0.636101,0.4209234,0.81281036,0.3924758,0.22844827
Levofloxacin,0.17917907,0.0,0.0075485134,0.60546476,0.5888191,0.0,0.0,0.0,0.972932,0.102676794,0.0,0.0,0.014658582,0.3519478,0.636101,0.0,0.2816193,0.042220034,0.29696548,0.30384886
Meropenem,0.2900001,0.0,0.12165512,0.2410503,0.21141662,0.0,0.0,0.0,0.29124007,0.0028142382,0.0,0.0,0.14228152,0.45274776,0.4209234,0.2816193,0.0,0.025949964,0.4143943,0.3477661
Norfloxacin,0.015604694,0.0,0.0,0.81281036,0.81281036,0.0,0.0,0.0,0.04494666,0.0,0.0,0.0,0.0,0.06382979,0.81281036,0.042220034,0.025949964,0.0,0.0,0.0
Piperacillin-Tazobactam,0.1989854,0.0,0.4143317,0.6070556,0.723661,0.0,0.0,0.035559364,0.30722305,0.123446986,0.0,0.0,0.0,0.30253622,0.3924758,0.29696548,0.4143943,0.0,0.0,0.28381696
Tobramycin,0.5125245,0.0,0.019995075,0.21030608,0.19106518,0.0,0.0,0.0,0.25966418,0.121607065,0.0,0.0,0.08041143,0.7544285,0.22844827,0.30384886,0.3477661,0.0,0.28381696,0.0
