,Amikacin,Aztreonam,Cefepime,Cefixime,Cefotaxime,Ceftazidime,Ceftriaxone,Chloramphenicol,Ciprofloxacin,Cotrimoxazole,Ertapenem,Fosfomycin,Gentamicin,Imipenem,Levofloxacin,Norfloxacin,Piperacillin,Piperacillin-Tazobactam,Ticarcillin,Tobramycin
Amikacin,0.0,0.019791313,0.06734512,0.0,0.027379284,0.09957171,0.14545238,0.0,0.054537307,0.0,0.097017005,0.0,0.0,0.08068663,0.03545887,0.1568734,0.026490647,0.15829979,0.04441156,0.99550104
Aztreonam,0.019791313,0.0,0.0,0.6950871,0.80727035,0.83750564,0.0,0.03116786,0.30207735,0.0,0.43936715,0.31227282,0.29798332,0.0,0.3331804,0.0,0.6956083,0.0,0.43336007,0.019791313
Cefepime,0.06734512,0.0,0.0,0.0,0.0,0.45168042,0.52724975,0.0,0.18075928,0.4979353,0.6645115,0.0,0.4409145,0.0,0.09963651,0.0,0.0,0.42354745,0.0,0.09833799
Cefixime,0.0,0.6950871,0.0,0.0,0.7134232,0.5912952,0.0,0.04466185,0.0,0.0,0.39687422,0.061206628,0.26249975,0.0,0.0,0.0,0.4651163,0.0,0.37833992,0.0
Cefotaxime,0.027379284,0.80727035,0.0,0.7134232,0.0,0.7136159,0.0,0.0,0.10784314,0.0,0.39699963,0.19142394,0.26279318,0.0,0.13025983,0.0,0.519237,0.0,0.29888994,0.027379284
Ceftazidime,0.09957171,0.83750564,0.45168042,0.5912952,0.7136159,0.0,0.9233077,0.10587669,0.32991952,0.35020208,0.40158075,0.1810255,0.28669944,0.16271925,0.29772168,0.0,0.59222007,0.4834254,0.3548461,0.107865036
Ceftriaxone,0.14545238,0.0,0.52724975,0.0,0.0,0.9233077,0.0,0.0,0.33972266,0.35021114,0.38600147,0.0,1.0,0.19460924,0.31779277,0.0,0.0,0.60353786,0.0,0.111438856
Chloramphenicol,0.0,0.03116786,0.0,0.04466185,0.0,0.10587669,0.0,0.0,0.27758744,0.0,0.13722292,0.32133526,0.03116786,0.0,0.23876795,0.0,0.0,0.0,0.0,0.0
Ciprofloxacin,0.054537307,0.30207735,0.18075928,0.0,0.10784314,0.32991952,0.33972266,0.27758744,0.0,0.25328037,0.0,0.27447405,0.1212089,0.0,0.9786664,0.805234,0.0,0.08894042,0.0,0.05718684
Cotrimoxazole,0.0,0.0,0.4979353,0.0,0.0,0.35020208,0.35021114,0.0,0.25328037,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.29735237,0.0,0.0
Ertapenem,0.097017005,0.43936715,0.6645115,0.39687422,0.39699963,0.40158075,0.38600147,0.13722292,0.0,0.0,0.0,0.2338536,0.49371043,0.0,0.0,0.0,0.3973597,0.44204333,0.24743582,0.09833799
Fosfomycin,0.0,0.31227282,0.0,0.061206628,0.19142394,0.1810255,0.0,0.32133526,0.27447405,0.0,0.2338536,0.0,0.29405266,0.0,0.27087453,0.0,0.052827053,0.0,0.0,0.03454737
Gentamicin,0.0,0.29798332,0.4409145,0.26249975,0.26279318,0.28669944,1.0,0.03116786,0.1212089,1.0,0.49371043,0.29405266,0.0,0.0,0.0,0.0,0.5649327,0.0,0.35186577,0.012351328
Imipenem,0.08068663,0.0,0.0,0.0,0.0,0.16271925,0.19460924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20417485,0.0,0.08075728
Levofloxacin,0.03545887,0.3331804,0.09963651,0.0,0.13025983,0.29772168,0.31779277,0.23876795,0.9786664,0.0,0.0,0.27087453,0.0,0.0,0.0,0.802773,0.0,0.047229327,0.0,0.037953354
Norfloxacin,0.1568734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.805234,0.0,0.0,0.0,0.0,0.0,0.802773,0.0,0.0,0.29411766,0.0,0.17054221
Piperacillin,0.026490647,0.6956083,0.0,0.4651163,0.519237,0.59222007,0.0,0.0,0.0,0.0,0.3973597,0.052827053,0.5649327,0.0,0.0,0.0,0.0,0.0,0.62346154,0.026490647
Piperacillin-Tazobactam,0.15829979,0.0,0.42354745,0.0,0.0,0.4834254,0.60353786,0.0,0.08894042,0.29735237,0.44204333,0.0,0.0,0.20417485,0.047229327,0.29411766,0.0,0.0,0.0,0.15959796
Ticarcillin,0.04441156,0.43336007,0.0,0.37833992,0.29888994,0.3548461,0.0,0.0,0.0,0.0,0.24743582,0.0,0.35186577,0.0,0.0,0.0,0.62346154,0.0,0.0,0.04441156
Tobramycin,0.99550104,0.019791313,0.09833799,0.0,0.027379284,0.107865036,0.111438856,0.0,0.05718684,0.0,0.09833799,0.03454737,0.012351328,0.08075728,0.037953354,0.17054221,0.026490647,0.15959796,0.04441156,0.0
