,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Nitrofurantoin,Norfloxacin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin
Amikacin,0.0,0.0,0.17654902,0.0,0.0,0.0,0.0,0.0,0.007459578,0.0,0.0,0.106481776,0.0,0.0,0.0,0.0,0.21255507,0.2686821,0.1796053,0.60969186,0.0,0.0,0.0,0.048721697,0.08760758,0.3825688,0.0,0.1,0.3434792,0.17654902,0.0,0.086258195,0.0,0.0,0.25818163,0.0,0.98431313
Amoxicillin-Clavulanic acid,0.0,0.0,0.1740123,0.19536616,1.0,1.0,1.0,1.0,0.0,0.3883703,0.48363012,0.23585562,0.3420168,0.17447151,0.019647172,0.23823024,0.28617215,0.0,0.15154174,0.26747742,1.0,0.41080406,1.0,0.0,0.0,0.09845767,0.0,0.0,0.9944675,0.28067833,1.0,0.0,0.1090532,0.028358812,0.35956615,0.0,0.0
Ampicillin,0.17654902,0.1740123,0.0,0.0,0.0,0.0,0.0,0.0,0.037964538,0.14372508,0.028840221,0.018925326,0.0,0.050734628,0.0,0.10643888,0.07375173,0.08606509,0.09806856,0.09863748,0.0,0.0,0.0,0.023956416,0.57177186,0.074530624,0.07812091,0.1421151,0.22330125,1.0,0.0,0.016926965,0.06470493,0.0,0.1103503,0.0,0.17994438
Benzylpenicillin,0.0,0.19536616,0.0,0.0,0.0,0.19536616,0.0,0.0,0.0,0.0,0.0,0.0,0.10519808,0.0,0.0,0.0,0.0,0.0,0.0,0.030206105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19536616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cefazolin,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.3878066,0.0,0.23397055,0.0,0.173028,0.017246274,0.0,0.28450364,0.0,0.13848838,0.27802598,1.0,0.0,1.0,0.0,0.0,0.08823179,0.0,0.0,0.99363565,0.2995398,1.0,0.0,0.12853341,0.027918005,0.36004338,0.0,0.0
Cefepime,0.0,1.0,0.0,0.19536616,1.0,0.0,1.0,1.0,0.0,0.39113542,0.0,0.24084109,0.3420168,0.173028,0.01953696,0.0,0.28617215,0.0,0.150263,0.28530073,1.0,0.41080406,1.0,0.0,0.0,0.08774245,0.0,0.0,0.99392974,0.2995398,1.0,0.0,0.12832332,0.028358812,0.35956615,0.0,0.0
Ceftriaxone,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.3878066,0.0,0.23397055,0.0,0.173028,0.017246274,0.0,0.28450364,0.0,0.13848838,0.27802598,1.0,0.0,1.0,0.0,0.0,0.08823179,0.0,0.0,0.99363565,0.2995398,1.0,0.0,0.12853341,0.027918005,0.36004338,0.0,0.0
Cefuroxime,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.3878066,0.0,0.23397055,0.0,0.173028,0.017246274,0.0,0.28450364,0.0,0.13848838,0.27802598,1.0,0.0,1.0,0.0,0.0,0.08823179,0.0,0.0,0.99363565,0.2995398,1.0,0.0,0.12853341,0.027918005,0.36004338,0.0,0.0
Chloramphenicol,0.007459578,0.0,0.037964538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14048766,0.0,0.0,0.0,0.0,0.11410781,0.0,0.07647191,0.0,0.0,0.0,0.0,0.31314918,0.0134050185,0.0,0.0,0.0,0.040687386,0.037964538,0.0,0.0,0.0,0.0,0.05137527,0.0,0.0063468083
Ciprofloxacin,0.0,0.3883703,0.14372508,0.0,0.3878066,0.39113542,0.3878066,0.3878066,0.0,0.0,0.19418131,0.22886206,0.13089313,0.17157818,0.0,0.01894803,0.28134957,0.07767057,0.2181361,0.17098749,0.72953767,1.0,0.386197,0.0021155034,0.70373154,0.19127344,0.2035717,0.90468,0.22504729,0.15847316,0.3878066,0.0,0.13141292,0.006309274,0.0,0.0,0.0
