,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Daptomycin,Erythromycin,Fusidic acid,Gentamicin,Imipenem,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Tetracycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.32276687,0.26564276,0.0,0.3897237,0.2952389,0.0,0.52227426,1.0,1.0,0.0,1.0,0.06582275,1.0,0.0,0.0
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.31701094,0.3013857,0.0,0.3860966,0.33821362,0.0,0.51888394,1.0,1.0,0.0,1.0,0.06638177,1.0,0.0,0.0
Cefepime,1.0,1.0,0.0,1.0,1.0,0.3221684,0.26446182,0.0,0.3897237,0.2952389,0.0,0.5219209,1.0,1.0,0.0,1.0,0.06638177,1.0,0.0,0.0
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.31701094,0.3013857,0.0,0.3860966,0.33821362,0.0,0.51888394,1.0,1.0,0.0,1.0,0.06638177,1.0,0.0,0.0
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.31701094,0.3013857,0.0,0.3860966,0.33821362,0.0,0.51888394,1.0,1.0,0.0,1.0,0.06638177,1.0,0.0,0.0
Ciprofloxacin,0.32276687,0.31701094,0.3221684,0.31701094,0.31701094,0.0,0.24781017,0.37495914,0.010561424,0.2693238,0.1533363,0.0,0.42436698,0.31701094,0.0,0.18990241,0.033895385,0.31701094,0.2916875,0.024909398
Clindamycin,0.26564276,0.3013857,0.26446182,0.3013857,0.3013857,0.24781017,0.0,0.28623903,0.30193365,0.79619306,0.2021858,0.2973971,0.2511133,0.3013857,0.0,0.27337816,0.051376235,0.3013857,0.0,0.2199372
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.37495914,0.28623903,0.0,0.0,0.3034885,0.0,0.0,0.0,0.0,0.0,0.0,0.014705882,0.0,0.44112876,0.0
Daptomycin,0.3897237,0.3860966,0.3897237,0.3860966,0.3860966,0.010561424,0.30193365,0.0,0.0,0.23845723,0.0,0.6166072,0.34306213,0.3860966,0.0,0.35824907,0.03031086,0.3860966,0.0,0.0
Erythromycin,0.2952389,0.33821362,0.2952389,0.33821362,0.33821362,0.2693238,0.79619306,0.3034885,0.23845723,0.0,0.22545241,0.24649845,0.2873104,0.33821362,0.0,0.30225858,0.04884093,0.33821362,0.0,0.08719507
Fusidic acid,0.0,0.0,0.0,0.0,0.0,0.1533363,0.2021858,0.0,0.0,0.22545241,0.0,0.0,0.0,0.0,0.0,0.0,0.051376235,0.0,0.0,0.16219552
Gentamicin,0.52227426,0.51888394,0.5219209,0.51888394,0.51888394,0.0,0.2973971,0.0,0.6166072,0.24649845,0.0,0.0,0.4292254,0.51888394,0.0,0.48919338,0.033895385,0.51888394,0.0,0.0
Imipenem,1.0,1.0,1.0,1.0,1.0,0.42436698,0.2511133,0.0,0.34306213,0.2873104,0.0,0.4292254,0.0,1.0,0.0,0.8907025,0.06638177,1.0,0.0,0.0
Meropenem,1.0,1.0,1.0,1.0,1.0,0.31701094,0.3013857,0.0,0.3860966,0.33821362,0.0,0.51888394,1.0,0.0,0.0,1.0,0.06638177,1.0,0.0,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,1.0,1.0,1.0,1.0,1.0,0.18990241,0.27337816,0.0,0.35824907,0.30225858,0.0,0.48919338,0.8907025,1.0,0.0,0.0,0.06582275,1.0,0.14664711,0.0
Penicillin,0.06582275,0.06638177,0.06638177,0.06638177,0.06638177,0.033895385,0.051376235,0.014705882,0.03031086,0.04884093,0.051376235,0.033895385,0.06638177,0.06638177,0.0,0.06582275,0.0,0.06638177,0.0,0.054671325
Piperacillin-Tazobactam,1.0,1.0,1.0,1.0,1.0,0.31701094,0.3013857,0.0,0.3860966,0.33821362,0.0,0.51888394,1.0,1.0,0.0,1.0,0.06638177,0.0,0.0,0.0
Rifampicin,0.0,0.0,0.0,0.0,0.0,0.2916875,0.0,0.44112876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14664711,0.0,0.0,0.0,0.0
Tetracycline,0.0,0.0,0.0,0.0,0.0,0.024909398,0.2199372,0.0,0.0,0.08719507,0.16219552,0.0,0.0,0.0,0.0,0.0,0.054671325,0.0,0.0,0.0
