,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Benzylpenicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Chloramphenicol,Ciprofloxacin,Clindamycin,Cotrimoxazol,Cotrimoxazole,Daptomycin,Doxycycline,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Linezolid,Meropenem,Minocycline,Moxifloxacin,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Pristinamycin,Rifampicin,Teicoplanin,Tetracycline,Tigecycline,Tobramycin,Vancomycin
Amikacin,0.0,0.0,0.3102212,0.0,0.0,0.0,0.0,0.0,0.20701315,0.0,0.5921038,0.0,0.0,0.0,0.0,0.4129933,0.12864773,0.0,0.83439314,0.0,0.0,0.17759839,0.0,0.044702955,0.0,0.3361286,0.658309,0.15407288,0.0,0.088167146,0.0,0.09071178,0.11737382,0.0,0.96198565,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.0,0.124273956,1.0,1.0,1.0,1.0,0.0,0.59770197,0.45933592,0.5613414,0.35971,0.01525093,0.0,0.27643535,0.034914915,0.23585571,0.51200235,1.0,0.6690574,0.015240646,1.0,0.0,0.0,0.20249763,1.0,0.11530758,1.0,0.0,0.17440175,0.3613334,0.3784694,0.0,0.0,0.015314056
Ampicillin,0.3102212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06791665,0.0,0.2853822,0.0,0.0,0.0,0.0,0.15228516,0.0625,0.0,0.26292202,0.0,0.0,0.058280386,0.0,0.014678923,0.0,0.18754019,0.3677369,0.0,0.0,0.060301464,0.0,0.029724231,0.0,0.0,0.32351807,0.0
Benzylpenicillin,0.0,0.124273956,0.0,0.0,0.0,0.124273956,0.0,0.0,0.0,0.1028689,0.09051393,0.07761505,0.0,0.0121951215,0.0,0.086106166,0.021124141,0.102184966,0.07647191,0.0,0.1028689,0.0,0.0,0.0,0.0,0.012048192,0.124273956,0.0,0.0,0.0,0.016936993,0.0,0.061683968,0.0,0.0,0.0
Cefazolin,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.5877058,0.4541959,0.0,0.3667427,0.0,0.0,0.2604407,0.0,0.21878956,0.5136958,1.0,0.0,0.015355879,1.0,0.0,0.0,0.6695341,1.0,0.11669221,1.0,0.0,0.17265984,0.36128142,0.37078366,0.0,0.0,0.015344313
Cefepime,0.0,1.0,0.0,0.124273956,1.0,0.0,1.0,1.0,0.0,0.59407717,0.45498997,0.5613414,0.3667427,0.01525093,0.0,0.27643535,0.034914915,0.23830415,0.5179413,1.0,0.6690574,0.015240646,1.0,0.0,0.0,0.20249763,1.0,0.11669221,1.0,0.0,0.17322989,0.3613334,0.3784694,0.0,0.0,0.015230077
Ceftriaxone,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.5877058,0.4541959,0.0,0.3667427,0.0,0.0,0.2604407,0.0,0.21878956,0.5136958,1.0,0.0,0.015355879,1.0,0.0,0.0,0.6695341,1.0,0.11669221,1.0,0.0,0.17265984,0.36128142,0.37078366,0.0,0.0,0.015344313
Cefuroxime,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5877058,0.4541959,0.0,0.3667427,0.0,0.0,0.2604407,0.0,0.21878956,0.5136958,1.0,0.0,0.015355879,1.0,0.0,0.0,0.6695341,1.0,0.11669221,1.0,0.0,0.17265984,0.36128142,0.37078366,0.0,0.0,0.015344313
Chloramphenicol,0.20701315,0.0,0.06791665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20535463,0.0,0.0,0.0,0.0,0.07121423,0.0,0.039516896,0.23471312,0.0,0.0,0.7968797,0.0,0.21623524,0.0,0.0,0.15375133,0.021493543,0.0,0.11383181,0.0,0.08478214,0.035076324,0.0,0.19914368,0.0
Ciprofloxacin,0.0,0.59770197,0.0,0.1028689,0.5877058,0.59407717,0.5877058,0.5877058,0.0,0.0,0.42165092,0.5899249,0.5335214,0.015889121,0.0,0.21057875,0.05201748,0.2838491,0.65616965,0.6074309,1.0,0.066514604,0.5877058,0.0,1.0,0.32774776,0.5125971,0.07874797,0.5877058,0.0,0.25670215,0.066689424,0.17900191,0.0,0.0,0.015861442
Clindamycin,0.5921038,0.45933592,0.2853822,0.09051393,0.4541959,0.45498997,0.4541959,0.4541959,0.20535463,0.42165092,0.0,0.31062293,0.30767295,0.0,0.0,0.6201157,0.0506105,0.14541271,0.5399108,0.41254753,0.2772003,0.07477196,0.4541959,0.049092878,0.0,0.3418877,0.47581398,0.064701624,0.4541959,0.20798524,0.063389726,0.07764115,0.2181593,0.0,0.6152814,0.02139391
Cotrimoxazol,0.0,0.5613414,0.0,0.07761505,0.0,0.5613414,0.0,0.0,0.0,0.5899249,0.31062293,0.0,0.0,0.0,0.0,0.24254315,0.0,0.35445878,0.4107143,0.0,0.5899249,0.0,0.0,0.0,0.0,0.0,0.5613414,0.0,0.0,0.0,0.22086306,0.0,0.2735802,0.0,0.0,0.0
Cotrimoxazole,0.0,0.35971,0.0,0.0,0.3667427,0.3667427,0.3667427,0.3667427,0.0,0.5335214,0.30767295,0.0,0.0,0.0,0.0,0.07432464,0.0,0.17197545,0.6196267,0.3667427,0.0,0.033342287,0.3667427,0.0,0.0,0.5584156,0.34092304,0.054386646,0.3667427,0.0,0.20710887,0.27407557,0.2857357,0.0057716216,0.0,0.031751115
Daptomycin,0.0,0.01525093,0.0,0.0121951215,0.0,0.01525093,0.0,0.0,0.0,0.015889121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0187993,0.0,0.0,0.0,0.0,0.0,0.013536701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Erythromycin,0.4129933,0.27643535,0.15228516,0.086106166,0.2604407,0.27643535,0.2604407,0.2604407,0.07121423,0.21057875,0.6201157,0.24254315,0.07432464,0.0,0.0,0.0,0.03106067,0.06730538,0.25203207,0.25223503,0.38072768,0.033438366,0.2604407,0.03565851,0.0,0.35654232,0.29575863,0.084748656,0.2604407,0.1120017,0.0,0.0753851,0.18576698,0.0,0.40681586,0.016950492
