,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Teicoplanin,Tetracycline,Tigecycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.7650985,0.0,0.7219206,0.3799803,0.0,0.029136332,0.85548514,1.0,0.0,1.0,0.0,1.0,0.21430334,1.0,0.22975187,0.37369618,0.3989107,0.18463723
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.76593024,0.0,0.7219206,0.3824515,0.0,0.021751212,0.86436474,1.0,0.0,1.0,0.0,1.0,0.21430334,1.0,0.22123127,0.38748378,0.40902293,0.18942694
Cefepime,1.0,1.0,0.0,1.0,1.0,0.7650985,0.0,0.7219206,0.3799803,0.0,0.029136332,0.85548514,1.0,0.0,1.0,0.0,1.0,0.21430334,1.0,0.22975187,0.37369618,0.3989107,0.18463723
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.76593024,0.0,0.7219206,0.3824515,0.0,0.021751212,0.86436474,1.0,0.0,1.0,0.0,1.0,0.21430334,1.0,0.22123127,0.38748378,0.40902293,0.18942694
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.76593024,0.0,0.7219206,0.3824515,0.0,0.021751212,0.86436474,1.0,0.0,1.0,0.0,1.0,0.21430334,1.0,0.22123127,0.38748378,0.40902293,0.18942694
Ciprofloxacin,0.7650985,0.76593024,0.7650985,0.76593024,0.76593024,0.0,0.13531673,0.7988027,0.4619681,0.0,0.026228072,0.8439874,0.7795844,0.0,0.76593024,0.0,0.70989394,0.1898316,0.76593024,0.26004413,0.32824412,0.33806217,0.21477814
Clindamycin,0.0,0.0,0.0,0.0,0.0,0.13531673,0.0,0.0,0.1909304,0.0,0.11645132,0.015160645,0.0,0.0,0.0,0.0,0.0,0.15015379,0.0,0.0,0.0,0.0,0.0
Cotrimoxazole,0.7219206,0.7219206,0.7219206,0.7219206,0.7219206,0.7988027,0.0,0.0,0.3874545,0.0,0.0,0.7928501,0.7219206,0.0,0.7219206,0.0,0.72374684,0.145865,0.7219206,0.23597252,0.36267558,0.35610393,0.2581989
Erythromycin,0.3799803,0.3824515,0.3799803,0.3824515,0.3824515,0.4619681,0.1909304,0.3874545,0.0,0.0,0.15101887,0.58448577,0.4048038,0.0,0.3824515,0.0,0.4019919,0.28784916,0.3824515,0.15189144,0.18183793,0.25942636,0.12487811
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusidic acid,0.029136332,0.021751212,0.029136332,0.021751212,0.021751212,0.026228072,0.11645132,0.0,0.15101887,0.0,0.0,0.0,0.06827887,0.0,0.021751212,0.0,0.071634725,0.09128709,0.021751212,0.2077636,0.022766553,0.013218176,0.03748218
Gentamicin,0.85548514,0.86436474,0.85548514,0.86436474,0.86436474,0.8439874,0.015160645,0.7928501,0.58448577,0.0,0.0,0.0,0.8535541,0.0,0.86436474,0.0,0.78462493,0.18794268,0.86436474,0.2640841,0.35011038,0.37013596,0.2182179
Imipenem,1.0,1.0,1.0,1.0,1.0,0.7795844,0.0,0.7219206,0.4048038,0.0,0.06827887,0.8535541,0.0,0.0,1.0,0.0,1.0,0.2195104,1.0,0.22123127,0.33087975,0.33543155,0.18942694
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meropenem,1.0,1.0,1.0,1.0,1.0,0.76593024,0.0,0.7219206,0.3824515,0.0,0.021751212,0.86436474,1.0,0.0,0.0,0.0,1.0,0.21430334,1.0,0.22123127,0.38748378,0.40902293,0.18942694
