,Amoxicillin-Clavulanic acid,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clindamycin,Cotrimoxazole,Erythromycin,Fosfomycin,Fusidic acid,Gentamicin,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Rifampicin,Teicoplanin,Tetracycline
Amoxicillin-Clavulanic acid,0.0,1.0,1.0,1.0,1.0,0.5462006,0.5623708,0.24319102,0.4085883,0.0,0.21945621,0.3893253,1.0,0.0,1.0,0.0,1.0,0.040788427,1.0,0.1786474,0.0,0.07547029
Cefazolin,1.0,0.0,1.0,1.0,1.0,0.5503409,0.5574513,0.24279699,0.39665055,0.0,0.22702934,0.39863572,1.0,0.0,1.0,0.0,1.0,0.040973876,1.0,0.1824761,0.0,0.068786725
Cefepime,1.0,1.0,0.0,1.0,1.0,0.5458499,0.56175154,0.24279699,0.4085883,0.0,0.22255835,0.38902202,1.0,0.0,1.0,0.0,1.0,0.040973876,1.0,0.1785125,0.0,0.07547029
Ceftriaxone,1.0,1.0,1.0,0.0,1.0,0.5503409,0.5574513,0.24279699,0.39665055,0.0,0.22702934,0.39863572,1.0,0.0,1.0,0.0,1.0,0.040973876,1.0,0.1824761,0.0,0.068786725
Cefuroxime,1.0,1.0,1.0,1.0,0.0,0.5503409,0.5574513,0.24279699,0.39665055,0.0,0.22702934,0.39863572,1.0,0.0,1.0,0.0,1.0,0.040973876,1.0,0.1824761,0.0,0.068786725
Ciprofloxacin,0.5462006,0.5503409,0.5458499,0.5503409,0.5503409,0.0,0.5229626,0.04652421,0.26127186,0.0,0.03755996,0.4359661,0.5788015,0.0,0.5503409,0.0,0.48851457,0.024177104,0.5503409,0.21759,0.0,0.010332526
Clindamycin,0.5623708,0.5574513,0.56175154,0.5574513,0.5574513,0.5229626,0.0,0.0,0.48894522,0.0,0.15950531,0.30372795,0.5427368,0.0,0.5574513,0.0,0.56198883,0.036161553,0.5574513,0.13089533,0.0,0.03774468
Cotrimoxazole,0.24319102,0.24279699,0.24279699,0.24279699,0.24279699,0.04652421,0.0,0.0,0.06571118,0.0,0.0,0.10870117,0.24279699,0.0,0.24279699,0.0,0.24101174,0.01463073,0.24279699,0.100655384,0.0,0.03411164
Erythromycin,0.4085883,0.39665055,0.4085883,0.39665055,0.39665055,0.26127186,0.48894522,0.06571118,0.0,0.0,0.15368214,0.21866447,0.39024204,0.0,0.39665055,0.0,0.40611202,0.06865939,0.39665055,0.105920166,0.35675302,0.17647804
Fosfomycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fusidic acid,0.21945621,0.22702934,0.22255835,0.22702934,0.22702934,0.03755996,0.15950531,0.0,0.15368214,0.0,0.0,0.007927525,0.23546748,0.0,0.22702934,0.0,0.23050138,0.05815559,0.22702934,0.0067675696,0.0,0.13517517
Gentamicin,0.3893253,0.39863572,0.38902202,0.39863572,0.39863572,0.4359661,0.30372795,0.10870117,0.21866447,0.0,0.007927525,0.0,0.37928376,0.0,0.39863572,0.0,0.3888262,0.016983094,0.39863572,0.3176561,0.0,0.030667808
Imipenem,1.0,1.0,1.0,1.0,1.0,0.5788015,0.5427368,0.24279699,0.39024204,0.0,0.23546748,0.37928376,0.0,0.0,1.0,0.0,0.95902073,0.04130552,1.0,0.1824761,0.0,0.056396257
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Meropenem,1.0,1.0,1.0,1.0,1.0,0.5503409,0.5574513,0.24279699,0.39665055,0.0,0.22702934,0.39863572,1.0,0.0,0.0,0.0,1.0,0.040973876,1.0,0.1824761,0.0,0.068786725
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,1.0,1.0,1.0,1.0,1.0,0.48851457,0.56198883,0.24101174,0.40611202,0.0,0.23050138,0.3888262,0.95902073,0.0,1.0,0.0,0.0,0.040050164,1.0,0.17694536,0.0,0.07407336
Penicillin,0.040788427,0.040973876,0.040973876,0.040973876,0.040973876,0.024177104,0.036161553,0.01463073,0.06865939,0.0,0.05815559,0.016983094,0.04130552,0.0,0.040973876,0.0,0.040050164,0.0,0.040973876,0.0071048965,0.0,0.042096622
Piperacillin-Tazobactam,1.0,1.0,1.0,1.0,1.0,0.5503409,0.5574513,0.24279699,0.39665055,0.0,0.22702934,0.39863572,1.0,0.0,1.0,0.0,1.0,0.040973876,0.0,0.1824761,0.0,0.068786725
Rifampicin,0.1786474,0.1824761,0.1785125,0.1824761,0.1824761,0.21759,0.13089533,0.100655384,0.105920166,0.0,0.0067675696,0.3176561,0.1824761,0.0,0.1824761,0.0,0.17694536,0.0071048965,0.1824761,0.0,0.0,0.0
Teicoplanin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35675302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5388159
Tetracycline,0.07547029,0.068786725,0.07547029,0.068786725,0.068786725,0.010332526,0.03774468,0.03411164,0.17647804,0.0,0.13517517,0.030667808,0.056396257,0.0,0.068786725,0.0,0.07407336,0.042096622,0.068786725,0.0,0.5388159,0.0
