,Amikacin,Amoxicillin-Clavulanic acid,Ampicillin,Cefazolin,Cefepime,Ceftriaxone,Cefuroxime,Ciprofloxacin,Clarithromycin,Clindamycin,Cotrimoxazole,Doxycycline,Erythromycin,Fusidic acid,Imipenem,Levofloxacin,Meropenem,Mupirocin,Oxacillin,Penicillin,Piperacillin-Tazobactam,Tetracycline,Tobramycin
Amikacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Amoxicillin-Clavulanic acid,0.0,0.0,0.29942474,1.0,1.0,1.0,1.0,0.5257159,0.0,0.0,0.0,0.7856742,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.22155789,1.0,0.0,0.0
Ampicillin,0.0,0.29942474,0.0,0.0,0.0,0.0,0.0,0.02804841,0.20870355,0.10043764,0.0,0.3893314,0.0,0.0,0.0,0.0,0.0,0.0,0.20425718,1.0,0.0,0.14129296,0.0
Cefazolin,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15648693,1.0,0.0,0.0
Cefepime,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8130874,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15648693,1.0,0.0,0.0
Ceftriaxone,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15648693,1.0,0.0,0.0
Cefuroxime,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15648693,1.0,0.0,0.0
Ciprofloxacin,0.0,0.5257159,0.02804841,1.0,0.8130874,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6846149,1.0,1.0,1.0,0.0,0.060439102,0.15162909,1.0,0.0,0.0
Clarithromycin,0.0,0.0,0.20870355,0.0,0.0,0.0,0.0,0.0,0.0,0.6952218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20870355,0.0,0.0,0.0
Clindamycin,0.0,0.0,0.10043764,0.0,0.0,0.0,0.0,0.0,0.6952218,0.0,0.0,0.0,0.82480717,0.060169365,0.0,0.0,0.0,0.0,0.0,0.040117316,0.0,0.0,0.0
Cotrimoxazole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Doxycycline,0.0,0.7856742,0.3893314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7856742,0.3893314,0.0,0.0,0.0
Erythromycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.82480717,0.0,0.0,0.0,0.10676332,0.0,0.0,0.0,0.0,0.0,0.11639665,0.0,0.0,0.0
Fusidic acid,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6846149,0.0,0.060169365,0.0,0.0,0.10676332,0.0,0.7146133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Imipenem,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.7146133,0.0,0.0,1.0,0.0,0.22093861,0.19577463,1.0,0.0,0.0
Levofloxacin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015749,0.0
Meropenem,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15648693,1.0,0.0,0.0
Mupirocin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Oxacillin,0.0,1.0,0.20425718,1.0,1.0,1.0,1.0,0.060439102,0.0,0.0,0.0,0.7856742,0.0,0.0,0.22093861,0.0,1.0,0.0,0.0,0.19064604,1.0,0.0,0.0
Penicillin,0.0,0.22155789,1.0,0.15648693,0.15648693,0.15648693,0.15648693,0.15162909,0.20870355,0.040117316,0.0,0.3893314,0.11639665,0.0,0.19577463,0.0,0.15648693,0.0,0.19064604,0.0,0.15648693,0.13494797,0.0
Piperacillin-Tazobactam,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.15648693,0.0,0.0,0.0
Tetracycline,0.0,0.0,0.14129296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1015749,0.0,0.0,0.0,0.13494797,0.0,0.0,0.0
Tobramycin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
