,Ampicillin,Azithromycin,Cefepime,Cefotaxime,Ceftriaxone,Cefuroxime,Chloramphenicol,Clarithromycin,Clindamycin,Erythromycin,Levofloxacin,Meropenem,Meropenem_with_meningitis,Minocycline,Moxifloxacin,Oxacillin,Penicillin,Penicillin_with_meningitis,Penicillin_with_other_infections,Penicillin_with_pneumonia,Pristinamycin,Tetracycline
Ampicillin,0.0,0.019117977,0.5211684,0.36324158,0.4353854,0.9450727,0.0,0.14753124,0.08654566,0.09746442,0.095093295,0.5211684,0.0,0.11622966,0.15075567,0.0,0.7344887,0.0,0.0,0.0,0.52474976,0.123430535
Azithromycin,0.019117977,0.0,0.089087084,0.041666668,0.041666668,0.05913124,0.17496355,1.0,0.7637626,1.0,0.0,0.20044594,0.0,0.35954624,0.0,0.0,0.033643156,0.0,0.0,0.0,0.0,0.31126636
Cefepime,0.5211684,0.089087084,0.0,0.47026998,0.4677072,0.46700114,0.0,0.089087084,0.0,0.089087084,0.10327955,0.70652175,0.0,0.45749572,0.0,0.0,0.5574737,0.0,0.0,0.0,0.67566395,0.36340648
Cefotaxime,0.36324158,0.041666668,0.47026998,0.0,1.0,0.33149678,0.0,0.041666668,0.0,0.041666668,0.048507124,0.0,0.0,0.21428572,0.0,0.0,0.26073447,0.0,0.0,0.0,0.31601286,0.22116293
Ceftriaxone,0.4353854,0.041666668,0.4677072,1.0,0.0,0.38435307,0.0,0.25666797,0.0,0.14282116,0.0,0.033492874,0.0,0.21245915,0.0,0.0,0.3545621,0.0,0.0,0.0,0.31601286,0.26992062
Cefuroxime,0.9450727,0.05913124,0.46700114,0.33149678,0.38435307,0.0,0.0,0.05913124,0.0,0.05913124,0.0,0.46700114,0.0,0.1741683,0.14484136,0.0,0.67837226,0.0,0.0,0.0,0.555248,0.09105911
Chloramphenicol,0.0,0.17496355,0.0,0.0,0.0,0.0,0.0,0.17496355,0.22908106,0.17496355,0.0,0.0,0.0,0.14869043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15478182
Clarithromycin,0.14753124,1.0,0.089087084,0.041666668,0.25666797,0.05913124,0.17496355,0.0,0.8030816,1.0,0.25545365,0.18688299,0.0,0.35954624,0.042640142,0.665176,0.12667365,0.6169805,0.65915304,0.5886719,0.0,0.40273848
Clindamycin,0.08654566,0.7637626,0.0,0.0,0.0,0.0,0.22908106,0.8030816,0.0,0.7910707,0.023145502,0.0,0.0,0.29243967,0.118812114,0.0,0.0,0.0,0.0,0.0,0.0,0.40276065
Erythromycin,0.09746442,1.0,0.089087084,0.041666668,0.14282116,0.05913124,0.17496355,1.0,0.7910707,0.0,0.13218176,0.20044594,0.0,0.35954624,0.0,0.0,0.033643156,0.0,0.0,0.0,0.0,0.40273848
Levofloxacin,0.095093295,0.0,0.10327955,0.048507124,0.0,0.0,0.0,0.25545365,0.023145502,0.13218176,0.0,0.11795356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14622523
Meropenem,0.5211684,0.20044594,0.70652175,0.0,0.033492874,0.46700114,0.0,0.18688299,0.0,0.20044594,0.11795356,0.0,0.0,0.24145608,0.2182179,0.0,0.5606119,0.0,0.0,0.0,0.47457346,0.1444869
Meropenem_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Minocycline,0.11622966,0.35954624,0.45749572,0.21428572,0.21245915,0.1741683,0.14869043,0.35954624,0.29243967,0.35954624,0.0,0.24145608,0.0,0.0,0.0,0.0,0.15505219,0.0,0.0,0.0,0.3069249,0.80000234
Moxifloxacin,0.15075567,0.0,0.0,0.0,0.0,0.14484136,0.0,0.042640142,0.118812114,0.0,0.0,0.2182179,0.0,0.0,0.0,0.0,0.44291335,0.0,0.0,0.0,0.0,0.0
Oxacillin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.665176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9415584,0.94131607,0.47519097,0.0,0.0
Penicillin,0.7344887,0.033643156,0.5574737,0.26073447,0.3545621,0.67837226,0.0,0.12667365,0.0,0.033643156,0.0,0.5606119,0.0,0.15505219,0.44291335,0.0,0.0,0.0,0.0,0.0,0.37666488,0.1868422
Penicillin_with_meningitis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6169805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9415584,0.0,0.0,0.9446123,0.5065639,0.0,0.0
Penicillin_with_other_infections,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.65915304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.94131607,0.0,0.9446123,0.0,0.53626645,0.0,0.0
Penicillin_with_pneumonia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5886719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47519097,0.0,0.5065639,0.53626645,0.0,0.0,0.0
Pristinamycin,0.52474976,0.0,0.67566395,0.31601286,0.31601286,0.555248,0.0,0.0,0.0,0.0,0.0,0.47457346,0.0,0.3069249,0.0,0.0,0.37666488,0.0,0.0,0.0,0.0,0.31949866
Tetracycline,0.123430535,0.31126636,0.36340648,0.22116293,0.26992062,0.09105911,0.15478182,0.40273848,0.40276065,0.40273848,0.14622523,0.1444869,0.0,0.80000234,0.0,0.0,0.1868422,0.0,0.0,0.0,0.31949866,0.0
