acc_tr,acc_tst,acc_val,auc_tr,auc_tst,auc_val,epoch,loss_tr,loss_tst,loss_val,step
,,,,,,0,0.6788873672485352,,,49
,,0.8412162065505981,,,0.8795592188835144,0,,,0.47123420238494873,53
0.7243589758872986,,,0.8362075686454773,,,0,,,,53
,,,,,,1,0.4991414248943329,,,99
,,0.8631756901741028,,,0.9014017581939697,1,,,0.3832448422908783,107
0.8403263688087463,,,0.8759939670562744,,,1,,,,107
,,,,,,2,0.20256921648979187,,,149
,,0.8699324131011963,,,0.9118195176124573,2,,,0.37089622020721436,161
0.866550087928772,,,0.9007860422134399,,,2,,,,161
,,,,,,3,0.1975567489862442,,,199
,,0.8733108043670654,,,0.9167506098747253,3,,,0.36457139253616333,215
0.8776223659515381,,,0.9117366075515747,,,3,,,,215
,,,,,,4,0.2891606390476227,,,249
,,0.875,,,0.9196385741233826,4,,,0.36463093757629395,269
0.881118893623352,,,0.915996253490448,,,4,,,,269
,,,,,,5,0.2862423360347748,,,299
,,0.875,,,0.9200900197029114,5,,,0.3675934672355652,323
0.88228440284729,,,0.9183269739151001,,,5,,,,323
,,,,,,6,0.22268734872341156,,,349
,,0.875,,,0.9212938547134399,6,,,0.3712960183620453,377
0.88228440284729,,,0.9203838109970093,,,6,,,,377
,,,,,,7,0.8055393695831299,,,399
,,0.875,,,0.9221041798591614,7,,,0.3749900460243225,431
0.882867157459259,,,0.9218655824661255,,,7,,,,431
,,,,,,8,0.9622580409049988,,,449
,,0.875,,,0.9224109649658203,8,,,0.3785499036312103,485
0.882867157459259,,,0.9231589436531067,,,8,,,,485
,,,,,,9,0.2314353734254837,,,499
,,0.875,,,0.9225382208824158,9,,,0.3819679915904999,539
0.882867157459259,,,0.9243729710578918,,,9,,,,539
,,,,,,10,0.20009657740592957,,,549
,,0.875,,,0.921999990940094,10,,,0.38526201248168945,593
0.882867157459259,,,0.9253603219985962,,,10,,,,593
,,,,,,11,0.2287425696849823,,,599
,,0.875,,,0.9223414063453674,11,,,0.38843828439712524,647
0.882867157459259,,,0.9260909557342529,,,11,,,,647
,,,,,,12,0.8339951038360596,,,649
,,,,,,12,0.2048802673816681,,,699
,,0.875,,,0.9226019382476807,12,,,0.3915163576602936,701
0.883449912071228,,,0.9268680810928345,,,12,,,,701
,,,,,,13,0.23872192203998566,,,749
,,0.875,,,0.9225382208824158,13,,,0.3944988548755646,755
0.8846153616905212,,,0.9277588725090027,,,13,,,,755
,,,,,,14,0.5085169076919556,,,799
,,0.875,,,0.922451376914978,14,,,0.3973941504955292,809
0.8851981163024902,,,0.9286044836044312,,,14,,,,809
,,,,,,15,0.18624041974544525,,,849
,,0.875,,,0.9220751523971558,15,,,0.40019655227661133,863
0.8851981163024902,,,0.9294795393943787,,,15,,,,863
,,,,,,16,0.3029463291168213,,,899
,,0.875,,,0.9216817021369934,16,,,0.4029020071029663,917
0.8851981163024902,,,0.9301067590713501,,,16,,,,917
,,,,,,17,0.2878662347793579,,,949
,,0.875,,,0.921959400177002,17,,,0.40550026297569275,971
0.8851981163024902,,,0.9307696223258972,,,17,,,,971
,,,,,,18,0.20747366547584534,,,999
,,0.875,,,0.9217453002929688,18,,,0.407982736825943,1025
0.8851981163024902,,,0.9313748478889465,,,18,,,,1025
,0.8548672795295715,,,0.8924596905708313,,19,,0.41120731830596924,,1026
