model_mode,fold,n_train_samples,n_val_samples,n_antibiotics,n_train_pairs,n_val_pairs,model_input_dim,species_specific_final_recommender,final_recommender_architecture_per_species,trainable_parameters,maldi_emb_dim,hypernet_species_emb_dim,drug_emb_dim,final_alpha,global_micro_auc,macro_antibiotic_auc,mean_species_micro_auc,mean_species_macro_antibiotic_auc,antibiotics
species_multihead_no_enrichment,0,53465,13367,69,879791,219314,48,True,48 -> 32 -> 1,3437705,32,16,16,,0.9277378367891339,0.8599154642433883,0.9193755313495073,0.7250921627027929,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,1,53465,13367,68,878352,220681,48,True,48 -> 32 -> 1,3437689,32,16,16,,0.9278014411150038,0.8451847664415497,0.9188340493460732,0.7135126637641346,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,2,53466,13366,68,879375,219658,48,True,48 -> 32 -> 1,3437689,32,16,16,,0.928134113839292,0.8505823533114418,0.9227502922958531,0.7384911171639608,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,3,53466,13366,68,879464,219343,48,True,48 -> 32 -> 1,3437689,32,16,16,,0.9260298476880459,0.8604684764044853,0.9158533182235273,0.713820185823512,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
species_multihead_no_enrichment,4,53466,13366,71,879178,220041,48,True,48 -> 32 -> 1,3437737,32,16,16,,0.9274298850296272,0.8349233773895571,0.9140841713706718,0.7134217225401983,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_hypernetwork_no_enrichment,0,53465,13367,69,879791,219314,48,True,48 -> 32 -> 1,3197370,32,16,16,0.02717897668480873,0.9257112137521821,0.8676974431670885,0.9213736400758737,0.7337784244540317,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_hypernetwork_no_enrichment,1,53465,13367,68,878352,220681,48,True,48 -> 32 -> 1,3197354,32,16,16,0.07763022184371948,0.929262501953968,0.8496947873205037,0.9199545171857502,0.7165900285889916,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_hypernetwork_no_enrichment,2,53466,13366,68,879375,219658,48,True,48 -> 32 -> 1,3197354,32,16,16,0.02520439215004444,0.9294398896434595,0.8521598007889863,0.9221230276034629,0.7497294975826325,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_hypernetwork_no_enrichment,3,53466,13366,68,879464,219343,48,True,48 -> 32 -> 1,3197354,32,16,16,0.020678574219346046,0.9278256036322591,0.87886307514176,0.9213389993207717,0.7183370066114523,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
implicit_species_hypernetwork_no_enrichment,4,53466,13366,71,879178,220041,48,True,48 -> 32 -> 1,3197402,32,16,16,0.0669824555516243,0.9274285614599459,0.8465814194814513,0.9193993832188109,0.7402471034236016,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
