model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,antibiotic_auc
species_multihead_no_enrichment,0,0,5-Fluorocytosine,49,0.39583333333333337
species_multihead_no_enrichment,0,1,Amikacin,8846,0.8772501257001761
species_multihead_no_enrichment,0,2,Amoxicillin,34,0.8842105263157893
species_multihead_no_enrichment,0,3,Amoxicillin-Clavulanic acid,5778,0.9183068431813157
species_multihead_no_enrichment,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9272727272727272
species_multihead_no_enrichment,0,5,Ampicillin,4228,0.9583782046417819
species_multihead_no_enrichment,0,6,Anidulafungin,51,0.6901709401709402
species_multihead_no_enrichment,0,7,Azithromycin,44,0.8411458333333333
species_multihead_no_enrichment,0,8,Aztreonam,4270,0.8560952546041651
species_multihead_no_enrichment,0,9,Benzylpenicillin,140,0.8700084961767204
species_multihead_no_enrichment,0,10,Caspofungin,53,1.0
species_multihead_no_enrichment,0,11,Cefazolin,1901,0.9336420029861855
species_multihead_no_enrichment,0,12,Cefepime,10025,0.8882528273195804
species_multihead_no_enrichment,0,13,Cefixime,2956,0.7794898495253106
species_multihead_no_enrichment,0,14,Cefotaxime,3816,0.8898311239883241
species_multihead_no_enrichment,0,15,Cefoxitin,1210,0.9482829159952242
species_multihead_no_enrichment,0,16,Cefpodoxime,1291,0.9196110375725486
species_multihead_no_enrichment,0,17,Ceftazidime,7669,0.8422688262389533
species_multihead_no_enrichment,0,18,Ceftolozane-Tazobactam,17,0.43333333333333335
species_multihead_no_enrichment,0,19,Ceftriaxone,5372,0.9025871240154645
species_multihead_no_enrichment,0,20,Cefuroxime,6700,0.8796914573426573
species_multihead_no_enrichment,0,21,Chloramphenicol,1562,0.9601108902178696
species_multihead_no_enrichment,0,22,Ciprofloxacin,12143,0.8692704347242699
species_multihead_no_enrichment,0,23,Clarithromycin,268,0.7880681818181817
species_multihead_no_enrichment,0,24,Clindamycin,3313,0.9035134657706659
species_multihead_no_enrichment,0,25,Colistin,7703,0.9767833399580693
species_multihead_no_enrichment,0,26,Cotrimoxazol,299,0.7543013802231046
species_multihead_no_enrichment,0,27,Cotrimoxazole,5566,0.8614256681707194
species_multihead_no_enrichment,0,28,Daptomycin,3529,0.8832578446974334
