model_mode,antibiotic,mean_antibiotic_auc,std_antibiotic_auc,mean_n_val_pairs,n_folds
implicit_species_hypernetwork_no_enrichment,5-Fluorocytosine,0.6208115214110546,0.1260829779047205,60.75,4
implicit_species_hypernetwork_no_enrichment,Amikacin,0.885732960301295,0.00958333980280615,8866.4,5
implicit_species_hypernetwork_no_enrichment,Amoxicillin,0.8662645119069747,0.04807480796227865,40.2,5
implicit_species_hypernetwork_no_enrichment,Amoxicillin-Clavulanic acid,0.9145656790324711,0.0028155631710493232,5747.4,5
implicit_species_hypernetwork_no_enrichment,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.9332900432900434,0.08451548090732479,16.0,5
implicit_species_hypernetwork_no_enrichment,Ampicillin,0.9571137253224963,0.0035540340496967976,4253.2,5
implicit_species_hypernetwork_no_enrichment,Anidulafungin,0.6026595967093218,0.1064488529569609,60.8,5
implicit_species_hypernetwork_no_enrichment,Azithromycin,0.7956016865079365,0.06917471952393074,40.8,5
implicit_species_hypernetwork_no_enrichment,Aztreonam,0.8497559861273682,0.007381803064266982,4294.4,5
implicit_species_hypernetwork_no_enrichment,Benzylpenicillin,0.8594959620545705,0.044437856702980005,136.8,5
implicit_species_hypernetwork_no_enrichment,Caspofungin,0.9570489522650204,0.030603208957824615,63.0,5
implicit_species_hypernetwork_no_enrichment,Cefazolin,0.9287169784971148,0.005646029390954363,1919.6,5
implicit_species_hypernetwork_no_enrichment,Cefepime,0.8860638883881489,0.005455401293092605,10042.6,5
implicit_species_hypernetwork_no_enrichment,Cefixime,0.7805975566337351,0.015428242594636404,2974.6,5
implicit_species_hypernetwork_no_enrichment,Cefotaxime,0.8860175542339659,0.006385766626427181,3863.2,5
implicit_species_hypernetwork_no_enrichment,Cefoxitin,0.9548737011561954,0.005568666367547745,1242.0,5
implicit_species_hypernetwork_no_enrichment,Cefpodoxime,0.9087720177443079,0.01129266401478677,1274.6,5
implicit_species_hypernetwork_no_enrichment,Ceftazidime,0.8432290494940393,0.008329748222195763,7696.0,5
implicit_species_hypernetwork_no_enrichment,Ceftazidime-Avibactam,0.0,,7.0,1
implicit_species_hypernetwork_no_enrichment,Ceftobiprole,1.0,,5.0,1
implicit_species_hypernetwork_no_enrichment,Ceftolozane-Tazobactam,0.696026936026936,0.11353578289736724,18.6,5
implicit_species_hypernetwork_no_enrichment,Ceftriaxone,0.8994849470918549,0.005140935413525596,5354.6,5
implicit_species_hypernetwork_no_enrichment,Cefuroxime,0.8796234296099186,0.004875391912499239,6751.6,5
implicit_species_hypernetwork_no_enrichment,Chloramphenicol,0.9519852466098886,0.0047258342494101435,1565.6,5
implicit_species_hypernetwork_no_enrichment,Ciprofloxacin,0.8682971547803632,0.003803357956664962,12192.2,5
implicit_species_hypernetwork_no_enrichment,Clarithromycin,0.7707158200368658,0.041576591331620755,263.2,5
implicit_species_hypernetwork_no_enrichment,Clindamycin,0.8955700812781784,0.005511557478924095,3330.6,5
implicit_species_hypernetwork_no_enrichment,Colistin,0.9765723490951081,0.003671676101816735,7695.2,5
implicit_species_hypernetwork_no_enrichment,Cotrimoxazol,0.8226667524252271,0.03920567715211223,286.6,5
implicit_species_hypernetwork_no_enrichment,Cotrimoxazole,0.8602157326877118,0.004639932120498205,5562.6,5
implicit_species_hypernetwork_no_enrichment,Daptomycin,0.8752450449868231,0.04365984481693051,3539.6,5
implicit_species_hypernetwork_no_enrichment,Doxycycline,0.6220466422640373,0.11737662385067843,164.4,5
implicit_species_hypernetwork_no_enrichment,Ertapenem,0.9277787663865646,0.007879550795330457,7267.6,5
implicit_species_hypernetwork_no_enrichment,Erythromycin,0.8916144452568252,0.005468994185942937,3441.2,5
implicit_species_hypernetwork_no_enrichment,Fluconazole,0.7916416337285903,0.1323122664446845,61.2,5
implicit_species_hypernetwork_no_enrichment,Fosfomycin,0.7446701798762723,0.007016631197042733,5994.2,5
implicit_species_hypernetwork_no_enrichment,Fusidic acid,0.854925677650259,0.014572711635105744,2490.6,5
implicit_species_hypernetwork_no_enrichment,Gentamicin,0.9117443760173651,0.005797307216398965,8326.8,5
implicit_species_hypernetwork_no_enrichment,Gentamicin_high_level,0.7934630568087929,0.029100713317307264,129.2,5
implicit_species_hypernetwork_no_enrichment,Imipenem,0.9706588820709537,0.0006321939598429128,11475.0,5
implicit_species_hypernetwork_no_enrichment,Itraconazole,0.687770367243733,0.08595631275819542,56.6,5
implicit_species_hypernetwork_no_enrichment,Levofloxacin,0.8827158009693428,0.0019126692723728887,9128.4,5
implicit_species_hypernetwork_no_enrichment,Linezolid,0.8846668507675457,0.03339946316499728,3871.6,5
implicit_species_hypernetwork_no_enrichment,Meropenem,0.9458136060956163,0.002520256298689053,9726.8,5
implicit_species_hypernetwork_no_enrichment,Meropenem_with_meningitis,0.6207194616977226,0.15595673744446806,25.2,5
implicit_species_hypernetwork_no_enrichment,Meropenem_without_meningitis,0.8134502923976609,0.30061153088372455,15.666666666666666,3
implicit_species_hypernetwork_no_enrichment,Micafungin,0.9155536508388666,0.04280439804297026,61.4,5
implicit_species_hypernetwork_no_enrichment,Minocycline,0.8787823983450384,0.007109438000465004,1954.2,5
implicit_species_hypernetwork_no_enrichment,Moxifloxacin,0.9857389918348345,0.009802496600953729,179.6,5
implicit_species_hypernetwork_no_enrichment,Mupirocin,0.9572389190914741,0.0056074605620310795,1645.6,5
implicit_species_hypernetwork_no_enrichment,Nitrofurantoin,0.8873162309414493,0.00407779764081236,4254.0,5
implicit_species_hypernetwork_no_enrichment,Norfloxacin,0.8620558462319755,0.006827817210581508,4989.2,5
implicit_species_hypernetwork_no_enrichment,Oxacillin,0.9194100881630216,0.004559290621501829,3112.0,5
implicit_species_hypernetwork_no_enrichment,Penicillin,0.9464879343028981,0.005098882853340427,3450.8,5
implicit_species_hypernetwork_no_enrichment,Penicillin_with_meningitis,0.7661883329999235,0.09430671570813663,51.0,5
implicit_species_hypernetwork_no_enrichment,Penicillin_with_other_infections,0.7462160062160061,0.09493531009049269,51.2,5
implicit_species_hypernetwork_no_enrichment,Penicillin_with_pneumonia,0.8275641025641025,0.16807589625925862,51.2,5
implicit_species_hypernetwork_no_enrichment,Piperacillin,0.915477612829118,0.0052601965153111704,3778.2,5
implicit_species_hypernetwork_no_enrichment,Piperacillin-Tazobactam,0.8773969625450185,0.005465684332416351,5855.8,5
implicit_species_hypernetwork_no_enrichment,Polymyxin B,0.9999036144578313,0.00021552462433730598,519.4,5
implicit_species_hypernetwork_no_enrichment,Posaconazole,0.633505386344261,0.3502184848693898,58.4,5
implicit_species_hypernetwork_no_enrichment,Pristinamycin,0.9663197351921108,0.004983660388155341,1338.2,5
implicit_species_hypernetwork_no_enrichment,Rifampicin,0.8876861521523611,0.013996339933555786,2316.6,5
implicit_species_hypernetwork_no_enrichment,Strepomycin_high_level,0.6613675213675213,0.24304343446812085,16.2,5
implicit_species_hypernetwork_no_enrichment,Teicoplanin,0.937617012021788,0.01564062574759429,2826.6,5
implicit_species_hypernetwork_no_enrichment,Tetracycline,0.9065079155562096,0.002999770165794643,3326.6,5
implicit_species_hypernetwork_no_enrichment,Ticarcillin,0.9228707579736479,0.003419581213588307,1736.0,5
implicit_species_hypernetwork_no_enrichment,Tigecycline,0.9938061854299122,0.0019130670797937834,3664.8,5
implicit_species_hypernetwork_no_enrichment,Tobramycin,0.8850109845942884,0.008991710633143885,9029.2,5
implicit_species_hypernetwork_no_enrichment,Vancomycin,0.9699162006861242,0.007234964185652488,4168.2,5
implicit_species_hypernetwork_no_enrichment,Voriconazole,0.8223500661847062,0.17930756842600662,61.8,5
species_multihead_no_enrichment,5-Fluorocytosine,0.4248166619505754,0.1197331077607586,60.75,4
species_multihead_no_enrichment,Amikacin,0.884852445300807,0.007857662386161085,8866.4,5
species_multihead_no_enrichment,Amoxicillin,0.8745367628363322,0.06078335028039353,40.2,5
species_multihead_no_enrichment,Amoxicillin-Clavulanic acid,0.9124301758598552,0.005253714616587879,5747.4,5
species_multihead_no_enrichment,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.9506926406926407,0.06727710070636986,16.0,5
species_multihead_no_enrichment,Ampicillin,0.9570489945109106,0.003906848565940607,4253.2,5
species_multihead_no_enrichment,Anidulafungin,0.608592521643321,0.11456576924497613,60.8,5
species_multihead_no_enrichment,Azithromycin,0.8479746260683761,0.05206491125138705,40.8,5
species_multihead_no_enrichment,Aztreonam,0.8521939349104883,0.006964021971463022,4294.4,5
species_multihead_no_enrichment,Benzylpenicillin,0.8663111775756069,0.022866871767518494,136.8,5
species_multihead_no_enrichment,Caspofungin,0.9689800886879402,0.04838861949469152,63.0,5
species_multihead_no_enrichment,Cefazolin,0.9279118533907017,0.007739925770561607,1919.6,5
species_multihead_no_enrichment,Cefepime,0.8836737332195529,0.005389970544559188,10042.6,5
