model_mode,fold,species_id,species,n_val_samples,n_val_pairs,species_micro_auc,species_macro_antibiotic_auc,n_antibiotics_with_auc,mean_pairs_per_antibiotic_with_auc
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,81,190,0.8843005952380952,0.6660958581648236,3,57.333333333333336
species_multihead_no_enrichment,0,1,Candida_Albicans,53,403,0.8389523809523809,0.707700891672165,8,50.375
species_multihead_no_enrichment,0,2,Citrobacter_Freundii,131,2099,0.8846859116677372,0.6367826426320571,23,79.0
species_multihead_no_enrichment,0,3,Citrobacter_Koseri,160,2567,0.9419742805128404,0.6569037155119001,17,101.70588235294117
species_multihead_no_enrichment,0,4,Enterobacter_Cloacae,345,5131,0.8893380491914681,0.6167541313317155,24,189.125
species_multihead_no_enrichment,0,5,Enterococcus_Faecalis,925,14081,0.9885879041973643,0.6924118664406643,21,534.8095238095239
species_multihead_no_enrichment,0,6,Enterococcus_Faecium,465,5028,0.9747590793448072,0.8100947617240312,21,198.47619047619048
species_multihead_no_enrichment,0,7,Escherichia_Coli,1533,24374,0.865684426508512,0.6961089182591896,30,805.5666666666667
species_multihead_no_enrichment,0,8,Haemophilus_Influenzae,170,579,0.8541604197901049,0.7200230020610893,12,37.916666666666664
species_multihead_no_enrichment,0,9,Klebsiella_Oxytoca,238,3941,0.910318283398253,0.6269551401821322,22,129.04545454545453
species_multihead_no_enrichment,0,10,Klebsiella_Pneumoniae,3850,68001,0.8767973005260689,0.7441959131741351,30,2220.1666666666665
species_multihead_no_enrichment,0,11,Klebsiella_Variicola,147,2349,0.9486465690893844,0.8041163489659356,15,107.4
species_multihead_no_enrichment,0,12,Morganella_Morganii,158,2619,0.9203103098451937,0.5741799890841085,21,89.57142857142857
species_multihead_no_enrichment,0,13,Proteus_Mirabilis,473,8711,0.9157460150402162,0.6987877464227626,30,275.2
species_multihead_no_enrichment,0,14,Proteus_Vulgaris,86,1274,0.9904218668005202,0.8153545067756378,8,62.25
species_multihead_no_enrichment,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9501765374934397,0.7763427643403289,16,655.875
species_multihead_no_enrichment,0,16,Serratia_Marcescens,245,3807,0.9731174273640651,0.7380862208582233,19,137.47368421052633
species_multihead_no_enrichment,0,17,Staphylococcus_Aureus,1413,27955,0.9369603789061562,0.7623358199827882,32,750.53125
species_multihead_no_enrichment,0,18,Staphylococcus_Capitis,89,1827,0.9396765009081538,0.8607271461753686,21,66.28571428571429
species_multihead_no_enrichment,0,19,Staphylococcus_Epidermidis,1128,22712,0.9282964667494927,0.7860732844959957,31,687.483870967742
species_multihead_no_enrichment,0,20,Staphylococcus_Haemolyticus,55,1205,0.9430507043652436,0.8572894531169157,25,40.6
species_multihead_no_enrichment,0,21,Staphylococcus_Hominis,174,3715,0.8873272168344958,0.7403357695297669,24,123.91666666666667
species_multihead_no_enrichment,0,22,Staphylococcus_Lugdunensis,104,2135,0.8891372228916443,0.7084980592982297,18,71.55555555555556
species_multihead_no_enrichment,0,23,Stenotrophomonas_Maltophilia,131,609,0.9834202079100038,0.7276333354055391,7,38.714285714285715
species_multihead_no_enrichment,0,24,Streptococcus_Pneumoniae,123,1304,0.8685422282120396,0.7035167819643126,23,46.391304347826086
species_multihead_no_enrichment,1,0,Campylobacter_Jejuni,93,222,0.9219453893536821,0.6767195767195767,3,65.66666666666667
species_multihead_no_enrichment,1,1,Candida_Albicans,74,587,0.8037935748462063,0.6990978289694555,8,73.375
species_multihead_no_enrichment,1,2,Citrobacter_Freundii,133,2208,0.8443981734572467,0.556614605225185,21,77.52380952380952
species_multihead_no_enrichment,1,3,Citrobacter_Koseri,165,2677,0.9737758451208743,0.6922325198416683,16,94.875
species_multihead_no_enrichment,1,4,Enterobacter_Cloacae,311,4634,0.907229719806848,0.6877826557736043,23,154.0
species_multihead_no_enrichment,1,5,Enterococcus_Faecalis,895,14085,0.9861784291630054,0.6705059744795332,22,515.7727272727273
species_multihead_no_enrichment,1,6,Enterococcus_Faecium,428,4553,0.980305449139636,0.8131801611327978,23,166.1304347826087
species_multihead_no_enrichment,1,7,Escherichia_Coli,1578,25297,0.8659960741094173,0.6946612595290069,29,817.7241379310345
species_multihead_no_enrichment,1,8,Haemophilus_Influenzae,166,532,0.8258525211308657,0.6307457634043843,7,42.42857142857143
species_multihead_no_enrichment,1,9,Klebsiella_Oxytoca,251,4169,0.9325050393083703,0.6729000579321313,24,136.54166666666666
species_multihead_no_enrichment,1,10,Klebsiella_Pneumoniae,3838,67924,0.8775093355199087,0.728076892504159,37,1818.2702702702702
species_multihead_no_enrichment,1,11,Klebsiella_Variicola,112,1766,0.9129598836000832,0.670176524248625,12,83.66666666666667
species_multihead_no_enrichment,1,12,Morganella_Morganii,166,2727,0.948107577054123,0.6827886407193139,21,100.28571428571429
species_multihead_no_enrichment,1,13,Proteus_Mirabilis,482,8700,0.9190229621617474,0.7135239555742782,24,277.2916666666667
species_multihead_no_enrichment,1,14,Proteus_Vulgaris,93,1370,0.9792494367651762,0.6596016603582932,12,46.583333333333336
species_multihead_no_enrichment,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9420522974411546,0.7840602367015234,15,693.4666666666667
species_multihead_no_enrichment,1,16,Serratia_Marcescens,244,3880,0.9691351905545765,0.647474559798629,19,140.94736842105263
species_multihead_no_enrichment,1,17,Staphylococcus_Aureus,1488,29631,0.9234283561289997,0.7367268608737034,36,750.8611111111111
species_multihead_no_enrichment,1,18,Staphylococcus_Capitis,90,1799,0.9586316594303814,0.8610470761474254,20,67.2
species_multihead_no_enrichment,1,19,Staphylococcus_Epidermidis,1137,23116,0.9326393392296417,0.8088910541013369,33,661.969696969697
species_multihead_no_enrichment,1,20,Staphylococcus_Haemolyticus,56,1236,0.9308003421438905,0.8551392247732296,24,41.125
