model_mode,fold,species_id,species,antibiotic_id,antibiotic,n_val_pairs,n_susceptible,n_resistant,species_antibiotic_auc
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,0,5-Fluorocytosine,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,1,Amikacin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,2,Amoxicillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,3,Amoxicillin-Clavulanic acid,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,5,Ampicillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,6,Anidulafungin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,7,Azithromycin,7,7.0,0.0,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,8,Aztreonam,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,9,Benzylpenicillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,10,Caspofungin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,11,Cefazolin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,12,Cefepime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,13,Cefixime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,14,Cefotaxime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,15,Cefoxitin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,16,Cefpodoxime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,17,Ceftazidime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,18,Ceftolozane-Tazobactam,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,19,Ceftriaxone,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,20,Cefuroxime,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,21,Chloramphenicol,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,22,Ciprofloxacin,81,29.0,52.0,0.6863395225464191
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,23,Clarithromycin,7,7.0,0.0,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,24,Clindamycin,3,0.0,3.0,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,25,Colistin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,26,Cotrimoxazol,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,27,Cotrimoxazole,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,28,Daptomycin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,29,Doxycycline,1,1.0,0.0,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,30,Ertapenem,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,31,Erythromycin,81,77.0,4.0,0.551948051948052
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,32,Fluconazole,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,33,Fosfomycin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,34,Fusidic acid,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,35,Gentamicin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,36,Gentamicin_high_level,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,37,Imipenem,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,38,Itraconazole,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,39,Levofloxacin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,40,Linezolid,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,41,Meropenem,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,42,Meropenem_with_meningitis,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,43,Meropenem_without_meningitis,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,44,Micafungin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,45,Minocycline,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,46,Moxifloxacin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,47,Mupirocin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,48,Nitrofurantoin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,49,Norfloxacin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,50,Oxacillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,51,Penicillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,52,Penicillin_with_meningitis,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,53,Penicillin_with_other_infections,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,54,Penicillin_with_pneumonia,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,55,Piperacillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,56,Piperacillin-Tazobactam,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,57,Polymyxin B,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,58,Posaconazole,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,59,Pristinamycin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,60,Rifampicin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,61,Strepomycin_high_level,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,62,Teicoplanin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,63,Tetracycline,10,5.0,5.0,0.76
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,64,Ticarcillin,0,,,
species_multihead_no_enrichment,0,0,Campylobacter_Jejuni,65,Tigecycline,0,,,
