model_mode,species,antibiotic,mean_species_antibiotic_auc,std_species_antibiotic_auc,mean_n_val_pairs,mean_n_susceptible,mean_n_resistant,n_folds,n_folds_with_valid_auc
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,5-Fluorocytosine,,,0.0,,,4,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Amikacin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Amoxicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Amoxicillin-Clavulanic acid,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Amoxicillin-Clavulanic acid_uncomplicated_HWI,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ampicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Anidulafungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Azithromycin,0.5,,10.4,10.2,0.2,5,1
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Aztreonam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Benzylpenicillin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Caspofungin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefazolin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefepime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefixime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefotaxime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefoxitin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefpodoxime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ceftazidime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ceftazidime-Avibactam,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ceftobiprole,,,0.0,,,1,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ceftolozane-Tazobactam,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ceftriaxone,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cefuroxime,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Chloramphenicol,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ciprofloxacin,0.7626601287503921,0.04463747391123409,93.4,36.0,57.4,5,5
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Clarithromycin,0.5,,10.4,10.2,0.2,5,1
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Clindamycin,,,1.6,0.0,2.0,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Colistin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cotrimoxazol,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Cotrimoxazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Daptomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Doxycycline,,,1.0,1.25,0.0,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Ertapenem,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Erythromycin,0.7172291302078536,0.21156319057164505,93.4,90.8,2.6,5,5
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Fluconazole,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Fosfomycin,,,0.0,,,5,0
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,Fusidic acid,,,0.0,,,5,0
