model_mode,species,mean_species_micro_auc,std_species_micro_auc,mean_species_macro_antibiotic_auc,std_species_macro_antibiotic_auc,mean_n_val_pairs,mean_n_antibiotics_with_auc,n_folds
implicit_species_hypernetwork_no_enrichment,Campylobacter_Jejuni,0.9158579232889045,0.03126162221095331,0.7628745777897185,0.14281272426635128,223.6,3.4,5
implicit_species_hypernetwork_no_enrichment,Candida_Albicans,0.8399766718410993,0.039827027470588215,0.7592874896576444,0.05924430200581887,471.8,7.8,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Freundii,0.8876547069662616,0.01894862128281587,0.6136346716635438,0.04417223640106755,2086.8,21.8,5
implicit_species_hypernetwork_no_enrichment,Citrobacter_Koseri,0.96035704273227,0.015372280834855926,0.6929184793366783,0.07767596729186181,2728.4,18.6,5
implicit_species_hypernetwork_no_enrichment,Enterobacter_Cloacae,0.9065794852547684,0.013205567867174315,0.6820969967564114,0.053908916270409876,4775.4,23.4,5
implicit_species_hypernetwork_no_enrichment,Enterococcus_Faecalis,0.9873467191518154,0.0013653694393245752,0.6956273139842906,0.03588642372338039,14333.8,20.6,5
implicit_species_hypernetwork_no_enrichment,Enterococcus_Faecium,0.9761461688941686,0.0030033925335244643,0.8137720815076653,0.017147861779666797,4839.4,22.2,5
implicit_species_hypernetwork_no_enrichment,Escherichia_Coli,0.859825400099961,0.004384881471460658,0.6913874275199821,0.032027874685411045,24566.2,30.0,5
implicit_species_hypernetwork_no_enrichment,Haemophilus_Influenzae,0.8480126168324664,0.020325075164346878,0.6909201043368074,0.0706603943317998,542.4,10.0,5
implicit_species_hypernetwork_no_enrichment,Klebsiella_Oxytoca,0.9395902488205262,0.011050230866516159,0.7322987585365826,0.039853879768880794,4096.8,22.0,5
implicit_species_hypernetwork_no_enrichment,Klebsiella_Pneumoniae,0.8745086817656851,0.005784731061987347,0.7326382729528744,0.0223341608708281,68138.8,32.8,5
implicit_species_hypernetwork_no_enrichment,Klebsiella_Variicola,0.9330082154913496,0.029444433262418874,0.7519552154507748,0.12166473236330037,2105.2,14.6,5
implicit_species_hypernetwork_no_enrichment,Morganella_Morganii,0.9320427877173756,0.00940607734091358,0.6385384709041799,0.060465027948439554,2667.4,21.6,5
implicit_species_hypernetwork_no_enrichment,Proteus_Mirabilis,0.9183198834932476,0.0050191711274681075,0.7226898987476584,0.03633407381469543,8607.6,27.2,5
implicit_species_hypernetwork_no_enrichment,Proteus_Vulgaris,0.978701737526829,0.011777470689337911,0.667663608475477,0.15720461537690467,1294.8,11.8,5
implicit_species_hypernetwork_no_enrichment,Pseudomonas_Aeruginosa,0.948627884634103,0.004932275638911645,0.774112551345229,0.043765004846212104,12675.2,16.6,5
implicit_species_hypernetwork_no_enrichment,Serratia_Marcescens,0.9723708373456346,0.004254454422336851,0.6923052551467114,0.06210901711292523,3938.4,19.2,5
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Aureus,0.9285288822159735,0.0035481949252605576,0.7605688712802896,0.016823273979765945,28443.4,33.6,5
implicit_species_hypernetwork_no_enrichment,Staphylococcus_Capitis,0.9317134380053231,0.021984782639518436,0.8281686416927743,0.05707000887124383,1734.4,21.4,5
