species,auc_micro,auc_macro,auc_micro_std,auc_macro_std
Staphylococcus_Haemolyticus,0.9227184346960247,0.8525855571206497,0.006969877822313786,0.007985004997566714
Staphylococcus_Capitis,0.9018876238820366,0.8279821272424623,0.006266590696050012,0.016062933259520462
Staphylococcus_Epidermidis,0.9184746970678213,0.7961754597046711,0.004899866002189723,0.0005325640500288831
Enterococcus_Faecium,0.9654965285460031,0.7865432895241069,0.0003147972301593138,0.020677520538887773
Staphylococcus_Hominis,0.830096062154411,0.7636190118752676,0.02013200639050272,0.019466679269820375
Pseudomonas_Aeruginosa,0.9084941529787659,0.7432393553381169,0.00020641743812821467,0.032968589780447866
Staphylococcus_Aureus,0.8980485610316802,0.7353448954633566,0.0035556158922789294,0.010016058909087244
Klebsiella_Oxytoca,0.8727290739943776,0.7331006626548635,0.02073303842448787,0.0148140246493067
Proteus_Mirabilis,0.8772360338213528,0.7124806821227558,0.006994368163040332,0.001098054615391475
Candida_Albicans,0.7533585901310529,0.7073752152083408,0.009617748598710507,0.009769687111660319
Stenotrophomonas_Maltophilia,0.9263997321507285,0.7069298114177576,0.01528033455167166,0.02882699908237818
Klebsiella_Variicola,0.7826885545767146,0.6971787171790895,0.004836850885679478,0.010520431846341438
Escherichia_Coli,0.8339986801539796,0.6927042752683201,9.995436235565869e-05,0.013973203358209174
Klebsiella_Pneumoniae,0.836151992082732,0.6917648950673345,0.003892695901099197,0.006873621003944341
Staphylococcus_Lugdunensis,0.8492887343194235,0.6827938832137225,0.018678444944826733,0.0017062617397257673
Serratia_Marcescens,0.8466437683525103,0.6731012782253019,0.0043488656010085,0.0020117112129495185
Enterococcus_Faecalis,0.9753402557011774,0.6697501522806364,0.0010483455945319853,0.004725974243518005
Citrobacter_Koseri,0.8622711800426641,0.6612133402459381,0.0067958280080282485,0.054094593757768705
Streptococcus_Pneumoniae,0.7729994715319631,0.6506767986269689,0.03917407311857668,0.020296558821241373
Haemophilus_Influenzae,0.7831666875481046,0.6506221534686303,0.012861971265244021,0.005747863352713323
Enterobacter_Cloacae,0.7940413710106988,0.6340526665542412,0.006444891025318256,0.021410978556743232
Morganella_Morganii,0.8730160842757086,0.6314413794624785,0.005006160476311083,0.01623376829714618
Campylobacter_Jejuni,0.8985624427692986,0.6266690053082724,0.01460324702713417,0.0665325460726034
Proteus_Vulgaris,0.9209830092385394,0.6122967154191286,0.0019624811812770093,0.07328524941755005
Citrobacter_Freundii,0.8284631007480974,0.608157923684224,0.03586016609786108,0.02963990847458603
