species,n_driams_samples,n_marisma_samples,n_antibiotics,n_train_pairs,n_val_pairs,auc_micro_ood_marisma,auc_macro_ood_marisma,antibiotics
Proteus_Vulgaris,407,28,5,1174,300,0.6911999999999999,0.707452391662918,Amikacin;Ciprofloxacin;Fosfomycin;Levofloxacin;Tobramycin
Citrobacter_Koseri,628,223,8,2798,706,0.6134618031658637,0.6806821003194876,Amikacin;Cefepime;Ceftazidime;Cefuroxime;Ciprofloxacin;Fosfomycin;Norfloxacin;Tobramycin
Staphylococcus_Lugdunensis,408,71,6,1493,383,0.7889186162269786,0.6748100303951369,Ampicillin;Clindamycin;Erythromycin;Oxacillin;Penicillin;Tetracycline
Staphylococcus_Capitis,399,20,3,855,211,0.6263736263736264,0.6666666666666666,Gentamicin;Imipenem;Oxacillin
Enterococcus_Faecalis,1496,3136,8,5273,1275,0.63068820500257,0.6658324045210303,Ampicillin;Ciprofloxacin;Imipenem;Levofloxacin;Linezolid;Nitrofurantoin;Teicoplanin;Vancomycin
Klebsiella_Variicola,603,62,5,2207,557,0.6711961722488038,0.6265294470547026,Cefepime;Ceftazidime;Ciprofloxacin;Levofloxacin;Norfloxacin
Staphylococcus_Epidermidis,5063,668,11,29413,7465,0.8070036748253535,0.6193544780541006,Clindamycin;Erythromycin;Fosfomycin;Gentamicin;Imipenem;Linezolid;Mupirocin;Oxacillin;Penicillin;Teicoplanin;Tetracycline
Staphylococcus_Hominis,762,18,4,2302,570,0.7134615384615384,0.6156565656565656,Clindamycin;Erythromycin;Oxacillin;Tetracycline
Campylobacter_Jejuni,372,95,2,594,150,0.9175659138947603,0.5857628356364453,Ciprofloxacin;Erythromycin
Enterococcus_Faecium,1335,903,8,5704,1421,0.9127452666169924,0.5837064789573856,Ampicillin;Daptomycin;Imipenem;Levofloxacin;Linezolid;Nitrofurantoin;Teicoplanin;Vancomycin
Morganella_Morganii,473,340,11,2922,720,0.8104740084022306,0.5815169721779346,Amikacin;Cefepime;Ceftazidime;Ciprofloxacin;Ertapenem;Fosfomycin;Gentamicin;Imipenem;Levofloxacin;Norfloxacin;Tobramycin
Klebsiella_Pneumoniae,3393,15872,16,27906,7038,0.6472261830577364,0.5659894876351272,Amikacin;Cefepime;Cefoxitin;Ceftazidime;Cefuroxime;Ciprofloxacin;Colistin;Ertapenem;Fosfomycin;Gentamicin;Imipenem;Levofloxacin;Meropenem;Nitrofurantoin;Norfloxacin;Tobramycin
Escherichia_Coli,6143,1586,17,50122,12587,0.7359490178798263,0.5521967703890249,Amikacin;Ampicillin;Cefepime;Cefoxitin;Ceftazidime;Cefuroxime;Ciprofloxacin;Colistin;Ertapenem;Fosfomycin;Gentamicin;Imipenem;Levofloxacin;Meropenem;Nitrofurantoin;Norfloxacin;Tobramycin
Stenotrophomonas_Maltophilia,456,200,1,69,18,0.5516754850088184,0.5516754850088184,Levofloxacin
Serratia_Marcescens,967,286,9,5330,1326,0.7684465164184364,0.5388245387182498,Amikacin;Cefepime;Ceftazidime;Ciprofloxacin;Ertapenem;Gentamicin;Levofloxacin;Norfloxacin;Tobramycin
Klebsiella_Oxytoca,895,344,11,4708,1171,0.7447897579156265,0.5270350923948665,Amikacin;Cefepime;Ceftazidime;Cefuroxime;Ciprofloxacin;Fosfomycin;Gentamicin;Levofloxacin;Nitrofurantoin;Norfloxacin;Tobramycin
Staphylococcus_Haemolyticus,268,33,4,795,206,0.7391304347826086,0.526976803438497,Clindamycin;Erythromycin;Gentamicin;Tetracycline
Proteus_Mirabilis,1221,1151,15,9035,2271,0.7296561564627336,0.5205579979980145,Amikacin;Ampicillin;Cefepime;Cefoxitin;Ceftazidime;Cefuroxime;Ciprofloxacin;Ertapenem;Fosfomycin;Gentamicin;Imipenem;Levofloxacin;Meropenem;Norfloxacin;Tobramycin
Staphylococcus_Aureus,4894,2347,13,35255,8803,0.772383961833641,0.5095126424322846,Ampicillin;Clindamycin;Daptomycin;Erythromycin;Fosfomycin;Fusidic acid;Gentamicin;Imipenem;Mupirocin;Norfloxacin;Oxacillin;Penicillin;Tetracycline
Streptococcus_Pneumoniae,338,162,4,394,104,0.5405754550792718,0.4907366491454007,Ceftriaxone;Clarithromycin;Clindamycin;Penicillin
Citrobacter_Freundii,481,166,13,3745,955,0.6768129002569314,0.4758868138139285,Amikacin;Cefepime;Ceftazidime;Cefuroxime;Ciprofloxacin;Colistin;Ertapenem;Gentamicin;Imipenem;Levofloxacin;Meropenem;Norfloxacin;Tobramycin
Pseudomonas_Aeruginosa,3795,1560,8,17505,4396,0.5630474957944117,0.47469542314668706,Amikacin;Ciprofloxacin;Colistin;Gentamicin;Imipenem;Levofloxacin;Meropenem;Tobramycin
Enterobacter_Cloacae,1510,97,12,10702,2646,0.6306047819971872,0.43741083183512025,Amikacin;Cefepime;Ceftazidime;Ciprofloxacin;Colistin;Ertapenem;Fosfomycin;Gentamicin;Imipenem;Levofloxacin;Norfloxacin;Tobramycin
Haemophilus_Influenzae,505,337,3,146,53,0.44797934536764383,0.38493759273415895,Ampicillin;Ciprofloxacin;Levofloxacin
Candida_Albicans,298,17,1,231,58,0.23333333333333334,0.23333333333333334,Fluconazole
