antibiotic,ATC2,ATC3,ATC4,mechanism,beta_lactamase_inhibitor,metadata_found,model_mode,fold
5-Fluorocytosine,J02,J02A,J02AX,antifungal,0.0,1,bio_prior_gated_species_head,0
Amikacin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Amoxicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Amoxicillin-Clavulanic acid,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,0
Amoxicillin-Clavulanic acid_uncomplicated_HWI,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,0
Ampicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Anidulafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,0
Azithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Aztreonam,J01,J01D,J01DF,cell_wall,0.0,1,bio_prior_gated_species_head,0
Benzylpenicillin,J01,J01C,J01CE,cell_wall,0.0,1,bio_prior_gated_species_head,0
Caspofungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefazolin,J01,J01D,J01DB,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefepime,J01,J01D,J01DE,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefixime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefotaxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefoxitin,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefpodoxime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,0
Ceftazidime,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,0
Ceftolozane-Tazobactam,J01,J01D,J01DI,cell_wall,1.0,1,bio_prior_gated_species_head,0
Ceftriaxone,J01,J01D,J01DD,cell_wall,0.0,1,bio_prior_gated_species_head,0
Cefuroxime,J01,J01D,J01DC,cell_wall,0.0,1,bio_prior_gated_species_head,0
Chloramphenicol,J01,J01B,J01BA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Ciprofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Clarithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Clindamycin,J01,J01F,J01FF,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Colistin,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,0
Cotrimoxazol,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,0
Cotrimoxazole,J01,J01E,J01EE,metabolic,0.0,1,bio_prior_gated_species_head,0
Daptomycin,J01,J01X,J01XX,membrane,0.0,1,bio_prior_gated_species_head,0
Doxycycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Ertapenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,0
Erythromycin,J01,J01F,J01FA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Fluconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,0
Fosfomycin,J01,J01X,J01XX,cell_wall,0.0,1,bio_prior_gated_species_head,0
Fusidic acid,J01,J01X,J01XC,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Gentamicin,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Gentamicin_high_level,J01,J01G,J01GB,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Imipenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,0
Itraconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,0
Levofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Linezolid,J01,J01X,J01XX,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Meropenem,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,0
Meropenem_with_meningitis,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,0
Meropenem_without_meningitis,J01,J01D,J01DH,cell_wall,0.0,1,bio_prior_gated_species_head,0
Micafungin,J02,J02A,J02AX,cell_wall,0.0,1,bio_prior_gated_species_head,0
Minocycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Moxifloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Mupirocin,D06,D06A,D06AX,antifungal,0.0,1,bio_prior_gated_species_head,0
Nitrofurantoin,J01,J01X,J01XE,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Norfloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Oxacillin,J01,J01C,J01CF,cell_wall,0.0,1,bio_prior_gated_species_head,0
Penicillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Penicillin_with_meningitis,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Penicillin_with_other_infections,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Penicillin_with_pneumonia,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Piperacillin,J01,J01C,J01CA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Piperacillin-Tazobactam,J01,J01C,J01CR,cell_wall,1.0,1,bio_prior_gated_species_head,0
Polymyxin B,J01,J01X,J01XB,membrane,0.0,1,bio_prior_gated_species_head,0
Posaconazole,J02,J02A,J02AC,membrane,0.0,1,bio_prior_gated_species_head,0
Pristinamycin,J01,J01F,J01FG,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Rifampicin,J04,J04A,J04AB,DNA_RNA,0.0,1,bio_prior_gated_species_head,0
Strepomycin_high_level,J01,J01G,J01GA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
Teicoplanin,J01,J01X,J01XA,cell_wall,0.0,1,bio_prior_gated_species_head,0
Tetracycline,J01,J01A,J01AA,protein_synthesis,0.0,1,bio_prior_gated_species_head,0
