model_mode,fold,n_train_samples,n_val_samples,n_antibiotics,n_train_pairs,n_val_pairs,fusion_input_dim,context_dim,bio_dim,maldi_emb_dim,species_emb_dim,drug_emb_dim,lambda_delta,prevalence_smoothing_alpha,final_gamma,final_gamma_std,final_gamma_min,final_gamma_max,global_auc,macro_antibiotic_auc,antibiotics
bio_prior_gated_species_head,0,53465,13367,69,879791,219314,89,57,25,32,16,16,0.0001,30.0,0.13457176089286804,0.0916920006275177,0.02407155930995941,0.9573769569396973,0.9275966374177107,0.8593570998454834,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_species_head,1,53465,13367,68,878352,220681,89,57,25,32,16,16,0.0001,30.0,0.1341468244791031,0.08400005102157593,0.02612674981355667,0.7188726663589478,0.9276986936530155,0.8428922036896375,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_species_head,2,53466,13366,68,879375,219658,89,57,25,32,16,16,0.0001,30.0,0.13708095252513885,0.09510855376720428,0.027207622304558754,0.8319054841995239,0.9282176202597793,0.8573613110624178,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_species_head,3,53466,13366,68,879464,219343,89,57,25,32,16,16,0.0001,30.0,0.13471642136573792,0.0890735313296318,0.03122217394411564,0.8170996904373169,0.9267131755333222,0.8562256640852766,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_species_head,4,53466,13366,71,879178,220041,89,57,25,32,16,16,0.0001,30.0,0.1381426602602005,0.10060574859380722,0.020371979102492332,0.9102879762649536,0.9245143477325586,0.8508144816041359,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_implicit_hypernetwork,0,53465,13367,69,879791,219314,89,57,25,32,16,16,0.0001,30.0,0.13515514135360718,0.08817747235298157,0.024872640147805214,0.7584260106086731,0.923106483515881,0.8344787747639845,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_implicit_hypernetwork,1,53465,13367,68,878352,220681,89,57,25,32,16,16,0.0001,30.0,0.13698428869247437,0.09393435716629028,0.012635200284421444,0.8587200045585632,0.9264188437152269,0.8525944507476099,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_implicit_hypernetwork,2,53466,13366,68,879375,219658,89,57,25,32,16,16,0.0001,30.0,0.13907977938652039,0.09693934768438339,0.031243646517395973,0.806308925151825,0.9243863085109448,0.8450221867749103,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_implicit_hypernetwork,3,53466,13366,68,879464,219343,89,57,25,32,16,16,0.0001,30.0,0.13740278780460358,0.09410014748573303,0.02308659628033638,0.8377776145935059,0.9262699605182825,0.863262337865828,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
bio_prior_gated_implicit_hypernetwork,4,53466,13366,71,879178,220041,89,57,25,32,16,16,0.0001,30.0,0.13499006628990173,0.09247761219739914,0.021595235913991928,0.8809249401092529,0.9242701547543613,0.8350408211842182,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
