model_mode,fold,species_id,species,antibiotic_id,antibiotic,gamma
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,0,5-Fluorocytosine,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,1,Amikacin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,2,Amoxicillin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,3,Amoxicillin-Clavulanic acid,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,5,Ampicillin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,6,Anidulafungin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,7,Azithromycin,0.3062145411968231
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,8,Aztreonam,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,9,Benzylpenicillin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,10,Caspofungin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,11,Cefazolin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,12,Cefepime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,13,Cefixime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,14,Cefotaxime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,15,Cefoxitin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,16,Cefpodoxime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,17,Ceftazidime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,18,Ceftolozane-Tazobactam,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,19,Ceftriaxone,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,20,Cefuroxime,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,21,Chloramphenicol,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,22,Ciprofloxacin,0.13463367521762848
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,23,Clarithromycin,0.266588032245636
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,24,Clindamycin,0.18892934918403625
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,25,Colistin,0.10000000149011612
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,26,Cotrimoxazol,0.10000000149011612
