model_mode,fold,antibiotic_id,antibiotic,n_val_pairs,auc
bio_prior_gated_species_head,0,0,5-Fluorocytosine,49,0.45833333333333337
bio_prior_gated_species_head,0,1,Amikacin,8846,0.8749220116840677
bio_prior_gated_species_head,0,2,Amoxicillin,34,0.9333333333333333
bio_prior_gated_species_head,0,3,Amoxicillin-Clavulanic acid,5778,0.9168229401934407
bio_prior_gated_species_head,0,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,16,0.9454545454545454
bio_prior_gated_species_head,0,5,Ampicillin,4228,0.9579718398526715
bio_prior_gated_species_head,0,6,Anidulafungin,51,0.6944444444444444
bio_prior_gated_species_head,0,7,Azithromycin,44,0.8333333333333333
bio_prior_gated_species_head,0,8,Aztreonam,4270,0.8600168787905053
bio_prior_gated_species_head,0,9,Benzylpenicillin,140,0.8875672613990372
bio_prior_gated_species_head,0,10,Caspofungin,53,1.0
bio_prior_gated_species_head,0,11,Cefazolin,1901,0.9360985441224604
bio_prior_gated_species_head,0,12,Cefepime,10025,0.8868388448880996
bio_prior_gated_species_head,0,13,Cefixime,2956,0.7893788228451349
bio_prior_gated_species_head,0,14,Cefotaxime,3816,0.8998629833126238
bio_prior_gated_species_head,0,15,Cefoxitin,1210,0.953751868210776
bio_prior_gated_species_head,0,16,Cefpodoxime,1291,0.9120118542971827
bio_prior_gated_species_head,0,17,Ceftazidime,7669,0.8390524739055849
bio_prior_gated_species_head,0,18,Ceftolozane-Tazobactam,17,0.6166666666666668
bio_prior_gated_species_head,0,19,Ceftriaxone,5372,0.8945179924476637
bio_prior_gated_species_head,0,20,Cefuroxime,6700,0.8859971132867133
bio_prior_gated_species_head,0,21,Chloramphenicol,1562,0.9552528231785814
bio_prior_gated_species_head,0,22,Ciprofloxacin,12143,0.8759916611845087
bio_prior_gated_species_head,0,23,Clarithromycin,268,0.821496212121212
bio_prior_gated_species_head,0,24,Clindamycin,3313,0.9019096442740113
bio_prior_gated_species_head,0,25,Colistin,7703,0.9784381210689985
bio_prior_gated_species_head,0,26,Cotrimoxazol,299,0.7494800529400643
bio_prior_gated_species_head,0,27,Cotrimoxazole,5566,0.8650816688063234
bio_prior_gated_species_head,0,28,Daptomycin,3529,0.8939384665605744
bio_prior_gated_species_head,0,29,Doxycycline,156,0.6299342105263158
bio_prior_gated_species_head,0,30,Ertapenem,7256,0.925704811466218
bio_prior_gated_species_head,0,31,Erythromycin,3402,0.8953612183695724
bio_prior_gated_species_head,0,32,Fluconazole,51,0.5800000000000001
bio_prior_gated_species_head,0,33,Fosfomycin,5947,0.7351552132855064
bio_prior_gated_species_head,0,34,Fusidic acid,2472,0.8620340379971577
bio_prior_gated_species_head,0,35,Gentamicin,8248,0.9115461210232925
bio_prior_gated_species_head,0,36,Gentamicin_high_level,141,0.7518394648829432
bio_prior_gated_species_head,0,37,Imipenem,11454,0.9710550069422732
bio_prior_gated_species_head,0,38,Itraconazole,46,0.8833333333333333
bio_prior_gated_species_head,0,39,Levofloxacin,9155,0.8915126390290983
bio_prior_gated_species_head,0,40,Linezolid,3888,0.9247187495748934
bio_prior_gated_species_head,0,41,Meropenem,9736,0.9415859193868978
bio_prior_gated_species_head,0,42,Meropenem_with_meningitis,26,0.5694444444444444
bio_prior_gated_species_head,0,43,Meropenem_without_meningitis,17,0.9666666666666667
bio_prior_gated_species_head,0,44,Micafungin,52,0.9659863945578231
bio_prior_gated_species_head,0,45,Minocycline,1925,0.892094383564117
bio_prior_gated_species_head,0,46,Moxifloxacin,196,0.9949840401276789
bio_prior_gated_species_head,0,47,Mupirocin,1644,0.9572867674581346
bio_prior_gated_species_head,0,48,Nitrofurantoin,4290,0.8971056223503165
bio_prior_gated_species_head,0,49,Norfloxacin,4999,0.8676941394226045
bio_prior_gated_species_head,0,50,Oxacillin,3116,0.9241321564238231
bio_prior_gated_species_head,0,51,Penicillin,3416,0.9505576621669446
bio_prior_gated_species_head,0,52,Penicillin_with_meningitis,59,0.7622549019607843
bio_prior_gated_species_head,0,53,Penicillin_with_other_infections,59,0.7252747252747251
bio_prior_gated_species_head,0,54,Penicillin_with_pneumonia,59,1.0
bio_prior_gated_species_head,0,55,Piperacillin,3757,0.8795155416600801
bio_prior_gated_species_head,0,56,Piperacillin-Tazobactam,5912,0.863260283918425
bio_prior_gated_species_head,0,57,Polymyxin B,501,0.9999708946970137
bio_prior_gated_species_head,0,58,Posaconazole,48,0.33695652173913043
bio_prior_gated_species_head,0,59,Pristinamycin,1333,0.9660526604899842
bio_prior_gated_species_head,0,60,Rifampicin,2294,0.8952643573381951
bio_prior_gated_species_head,0,61,Strepomycin_high_level,12,0.44999999999999996
bio_prior_gated_species_head,0,62,Teicoplanin,2830,0.9399415774099319
bio_prior_gated_species_head,0,63,Tetracycline,3321,0.9109796403140391
bio_prior_gated_species_head,0,64,Ticarcillin,1720,0.9206670157005049
bio_prior_gated_species_head,0,65,Tigecycline,3683,0.992564601578549
bio_prior_gated_species_head,0,66,Tobramycin,9022,0.8862885248997568
bio_prior_gated_species_head,0,67,Vancomycin,4169,0.9743345188059058
bio_prior_gated_species_head,0,68,Voriconazole,53,0.8846153846153846
bio_prior_gated_species_head,1,0,5-Fluorocytosine,73,0.3194444444444444
bio_prior_gated_species_head,1,1,Amikacin,8917,0.8922997209561339
bio_prior_gated_species_head,1,2,Amoxicillin,41,0.8602941176470589
bio_prior_gated_species_head,1,3,Amoxicillin-Clavulanic acid,5737,0.9123705367022684
bio_prior_gated_species_head,1,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,17,1.0
bio_prior_gated_species_head,1,5,Ampicillin,4266,0.9527421233942973
bio_prior_gated_species_head,1,6,Anidulafungin,74,0.5964912280701754
bio_prior_gated_species_head,1,7,Azithromycin,35,0.7692307692307692
bio_prior_gated_species_head,1,8,Aztreonam,4334,0.8570810633524609
bio_prior_gated_species_head,1,9,Benzylpenicillin,140,0.8616734143049932
bio_prior_gated_species_head,1,10,Caspofungin,74,0.9785714285714285
bio_prior_gated_species_head,1,11,Cefazolin,1972,0.9358368362086393
bio_prior_gated_species_head,1,12,Cefepime,10149,0.892911380054076
bio_prior_gated_species_head,1,13,Cefixime,2987,0.782944636556415
bio_prior_gated_species_head,1,14,Cefotaxime,3914,0.8856449043144498
bio_prior_gated_species_head,1,15,Cefoxitin,1301,0.9609769601367628
bio_prior_gated_species_head,1,16,Cefpodoxime,1283,0.9112996666120129
bio_prior_gated_species_head,1,17,Ceftazidime,7734,0.8443618315785776
bio_prior_gated_species_head,1,18,Ceftolozane-Tazobactam,21,0.6666666666666667
bio_prior_gated_species_head,1,19,Ceftriaxone,5337,0.9017296371404382
bio_prior_gated_species_head,1,20,Cefuroxime,6803,0.8860565277568582
bio_prior_gated_species_head,1,21,Chloramphenicol,1574,0.9474277686378173
bio_prior_gated_species_head,1,22,Ciprofloxacin,12253,0.8725490002490499
bio_prior_gated_species_head,1,23,Clarithromycin,269,0.7086942310835105
bio_prior_gated_species_head,1,24,Clindamycin,3353,0.8963425272748814
bio_prior_gated_species_head,1,25,Colistin,7730,0.9773531690341297
bio_prior_gated_species_head,1,26,Cotrimoxazol,290,0.8276906628652887
bio_prior_gated_species_head,1,27,Cotrimoxazole,5544,0.8543177589706955
bio_prior_gated_species_head,1,28,Daptomycin,3547,0.8659996215346769
bio_prior_gated_species_head,1,29,Doxycycline,171,0.5432098765432098
bio_prior_gated_species_head,1,30,Ertapenem,7258,0.9312243068311029
bio_prior_gated_species_head,1,31,Erythromycin,3453,0.890436219351476
bio_prior_gated_species_head,1,32,Fluconazole,74,0.6202898550724638
bio_prior_gated_species_head,1,33,Fosfomycin,6008,0.7485587557143211
bio_prior_gated_species_head,1,34,Fusidic acid,2522,0.8818783635029354
bio_prior_gated_species_head,1,35,Gentamicin,8376,0.9149575301280878
bio_prior_gated_species_head,1,36,Gentamicin_high_level,119,0.7850187265917603
bio_prior_gated_species_head,1,37,Imipenem,11492,0.9711600392105938
bio_prior_gated_species_head,1,38,Itraconazole,72,0.6805736636245111
bio_prior_gated_species_head,1,39,Levofloxacin,9073,0.8858780938336515
bio_prior_gated_species_head,1,40,Linezolid,3827,0.8905472636815921
bio_prior_gated_species_head,1,41,Meropenem,9788,0.9495919398158116
bio_prior_gated_species_head,1,42,Meropenem_with_meningitis,27,0.5277777777777777
bio_prior_gated_species_head,1,43,Micafungin,74,0.8529411764705882
bio_prior_gated_species_head,1,44,Minocycline,1955,0.8780869643567776
bio_prior_gated_species_head,1,45,Moxifloxacin,159,0.9914314516129032
bio_prior_gated_species_head,1,46,Mupirocin,1683,0.962555297736819
bio_prior_gated_species_head,1,47,Nitrofurantoin,4222,0.9001044789872484
bio_prior_gated_species_head,1,48,Norfloxacin,4927,0.8619477924265084
bio_prior_gated_species_head,1,49,Oxacillin,3152,0.9191432301036759
bio_prior_gated_species_head,1,50,Penicillin,3445,0.9505615723224097
bio_prior_gated_species_head,1,51,Penicillin_with_meningitis,62,0.7817896389324962
bio_prior_gated_species_head,1,52,Penicillin_with_other_infections,62,0.7557932263814616
bio_prior_gated_species_head,1,53,Penicillin_with_pneumonia,62,0.8583333333333334
bio_prior_gated_species_head,1,54,Piperacillin,3835,0.9181926774222889
bio_prior_gated_species_head,1,55,Piperacillin-Tazobactam,5893,0.8762523028497524
bio_prior_gated_species_head,1,56,Polymyxin B,516,1.0
bio_prior_gated_species_head,1,57,Posaconazole,73,0.5911764705882353
bio_prior_gated_species_head,1,58,Pristinamycin,1304,0.9665441777487154
bio_prior_gated_species_head,1,59,Rifampicin,2366,0.8867900244112762
bio_prior_gated_species_head,1,60,Strepomycin_high_level,14,0.3777777777777779
bio_prior_gated_species_head,1,61,Teicoplanin,2793,0.93411391633126
bio_prior_gated_species_head,1,62,Tetracycline,3328,0.9130679835744382
bio_prior_gated_species_head,1,63,Ticarcillin,1766,0.915984533285094
bio_prior_gated_species_head,1,64,Tigecycline,3688,0.9943899725994452
bio_prior_gated_species_head,1,65,Tobramycin,9055,0.8929156625118332
bio_prior_gated_species_head,1,66,Vancomycin,4145,0.9676856368563685
bio_prior_gated_species_head,1,67,Voriconazole,73,0.5289855072463768
bio_prior_gated_species_head,2,0,5-Fluorocytosine,58,0.9649122807017544
bio_prior_gated_species_head,2,1,Amikacin,8802,0.897324389961544
bio_prior_gated_species_head,2,2,Amoxicillin,42,0.9206349206349206
bio_prior_gated_species_head,2,3,Amoxicillin-Clavulanic acid,5820,0.9111050180257791
bio_prior_gated_species_head,2,4,Amoxicillin-Clavulanic acid_uncomplicated_HWI,15,0.8799999999999999
bio_prior_gated_species_head,2,5,Ampicillin,4212,0.9586120506334883
bio_prior_gated_species_head,2,6,Anidulafungin,62,0.5714285714285715
bio_prior_gated_species_head,2,7,Azithromycin,45,0.8133333333333334
bio_prior_gated_species_head,2,8,Aztreonam,4173,0.8423865202275875
bio_prior_gated_species_head,2,9,Benzylpenicillin,142,0.831453634085213
bio_prior_gated_species_head,2,10,Caspofungin,64,1.0
bio_prior_gated_species_head,2,11,Cefazolin,1942,0.9212501288394146
bio_prior_gated_species_head,2,12,Cefepime,9968,0.8805131870134061
bio_prior_gated_species_head,2,13,Cefixime,2913,0.773758408957515
bio_prior_gated_species_head,2,14,Cefotaxime,3748,0.8845921612629593
bio_prior_gated_species_head,2,15,Cefoxitin,1197,0.9511731654290312
bio_prior_gated_species_head,2,16,Cefpodoxime,1323,0.914440196844573
bio_prior_gated_species_head,2,17,Ceftazidime,7626,0.8473985616620793
bio_prior_gated_species_head,2,18,Ceftolozane-Tazobactam,21,0.6851851851851851
bio_prior_gated_species_head,2,19,Ceftriaxone,5427,0.8972809314422598
bio_prior_gated_species_head,2,20,Cefuroxime,6671,0.8839588437747333
bio_prior_gated_species_head,2,21,Chloramphenicol,1534,0.9493923168451471
bio_prior_gated_species_head,2,22,Ciprofloxacin,12152,0.8734827456701191
bio_prior_gated_species_head,2,23,Clarithromycin,277,0.800474707016763
bio_prior_gated_species_head,2,24,Clindamycin,3393,0.8968179612634746
bio_prior_gated_species_head,2,25,Colistin,7609,0.976024220721897
bio_prior_gated_species_head,2,26,Cotrimoxazol,298,0.8062686011904762
bio_prior_gated_species_head,2,27,Cotrimoxazole,5643,0.8639199923401573
bio_prior_gated_species_head,2,28,Daptomycin,3593,0.8862048738868448
bio_prior_gated_species_head,2,29,Doxycycline,166,0.6540880503144655
bio_prior_gated_species_head,2,30,Ertapenem,7205,0.9221115566648397
bio_prior_gated_species_head,2,31,Erythromycin,3507,0.8999908959677652
bio_prior_gated_species_head,2,32,Fluconazole,62,1.0
bio_prior_gated_species_head,2,33,Fosfomycin,5901,0.7512908641193531
bio_prior_gated_species_head,2,34,Fusidic acid,2535,0.8500270494247688
bio_prior_gated_species_head,2,35,Gentamicin,8265,0.9101864713756989
