model_mode,antibiotic,mean_auc,std_auc,mean_n_val_pairs,n_folds
bio_prior_gated_implicit_hypernetwork,5-Fluorocytosine,0.5071979343520091,0.35094672169843866,60.75,4
bio_prior_gated_implicit_hypernetwork,Amikacin,0.8826785463838135,0.008417055258392835,8866.4,5
bio_prior_gated_implicit_hypernetwork,Amoxicillin,0.9226441446143674,0.04072521523764295,40.2,5
bio_prior_gated_implicit_hypernetwork,Amoxicillin-Clavulanic acid,0.9104217171315359,0.0065029789823505685,5747.4,5
bio_prior_gated_implicit_hypernetwork,Amoxicillin-Clavulanic acid_uncomplicated_HWI,0.9194805194805195,0.07654078753967362,16.0,5
bio_prior_gated_implicit_hypernetwork,Ampicillin,0.9555561457774356,0.0032769406549576995,4253.2,5
bio_prior_gated_implicit_hypernetwork,Anidulafungin,0.617111912048413,0.07202975610786601,60.8,5
bio_prior_gated_implicit_hypernetwork,Azithromycin,0.7835502136752137,0.031169737583844503,40.8,5
bio_prior_gated_implicit_hypernetwork,Aztreonam,0.8508721320389168,0.005822144305795314,4294.4,5
bio_prior_gated_implicit_hypernetwork,Benzylpenicillin,0.8816764498575791,0.046812277445254256,136.8,5
bio_prior_gated_implicit_hypernetwork,Caspofungin,0.9828967046343797,0.016131386299704755,63.0,5
bio_prior_gated_implicit_hypernetwork,Cefazolin,0.9302280625026164,0.005216700487043145,1919.6,5
bio_prior_gated_implicit_hypernetwork,Cefepime,0.8808593750581153,0.006408361654739987,10042.6,5
bio_prior_gated_implicit_hypernetwork,Cefixime,0.7754521743295387,0.007787575069533228,2974.6,5
bio_prior_gated_implicit_hypernetwork,Cefotaxime,0.8856070463040547,0.004826062651993584,3863.2,5
bio_prior_gated_implicit_hypernetwork,Cefoxitin,0.9577621519317772,0.004098015920628042,1242.0,5
bio_prior_gated_implicit_hypernetwork,Cefpodoxime,0.9006825097624034,0.010169186223460974,1274.6,5
bio_prior_gated_implicit_hypernetwork,Ceftazidime,0.8378971055192105,0.009476753324719337,7696.0,5
bio_prior_gated_implicit_hypernetwork,Ceftazidime-Avibactam,0.16666666666666663,,7.0,1
bio_prior_gated_implicit_hypernetwork,Ceftobiprole,1.0,,5.0,1
bio_prior_gated_implicit_hypernetwork,Ceftolozane-Tazobactam,0.5611447811447812,0.2127110339636609,18.6,5
bio_prior_gated_implicit_hypernetwork,Ceftriaxone,0.8931380550395032,0.010347645040706432,5354.6,5
bio_prior_gated_implicit_hypernetwork,Cefuroxime,0.879804428699593,0.005122382887336723,6751.6,5
bio_prior_gated_implicit_hypernetwork,Chloramphenicol,0.9541052501987611,0.004688641744647589,1565.6,5
bio_prior_gated_implicit_hypernetwork,Ciprofloxacin,0.8714364494000115,0.005346705150402722,12192.2,5
bio_prior_gated_implicit_hypernetwork,Clarithromycin,0.7643916436178607,0.03586152357196428,263.2,5
bio_prior_gated_implicit_hypernetwork,Clindamycin,0.8963107642056268,0.0044572559312188904,3330.6,5
bio_prior_gated_implicit_hypernetwork,Colistin,0.9757340773057983,0.003311794532186851,7695.2,5
bio_prior_gated_implicit_hypernetwork,Cotrimoxazol,0.8410329879433605,0.0710035399201497,286.6,5
bio_prior_gated_implicit_hypernetwork,Cotrimoxazole,0.8584664876597772,0.00574907975877957,5562.6,5
bio_prior_gated_implicit_hypernetwork,Daptomycin,0.8780748591598059,0.027315090866566385,3539.6,5
bio_prior_gated_implicit_hypernetwork,Doxycycline,0.6295045614520586,0.12086691552747197,164.4,5
bio_prior_gated_implicit_hypernetwork,Ertapenem,0.927647870975904,0.00362002237791209,7267.6,5
bio_prior_gated_implicit_hypernetwork,Erythromycin,0.8928071236755418,0.0033250504620805227,3441.2,5
bio_prior_gated_implicit_hypernetwork,Fluconazole,0.5723949840908238,0.30214337976012057,61.2,5
bio_prior_gated_implicit_hypernetwork,Fosfomycin,0.744733787682799,0.009673955109899102,5994.2,5
bio_prior_gated_implicit_hypernetwork,Fusidic acid,0.8528815959669778,0.012499116023699587,2490.6,5
bio_prior_gated_implicit_hypernetwork,Gentamicin,0.9131124570127371,0.0019533092416190523,8326.8,5
bio_prior_gated_implicit_hypernetwork,Gentamicin_high_level,0.7763603454044755,0.04065738115194727,129.2,5
bio_prior_gated_implicit_hypernetwork,Imipenem,0.9691751249977554,0.0010661241961153793,11475.0,5
bio_prior_gated_implicit_hypernetwork,Itraconazole,0.5798768785693725,0.15178088494232223,56.6,5
bio_prior_gated_implicit_hypernetwork,Levofloxacin,0.8837117050974946,0.006404849317129988,9128.4,5
