model_mode,fold,species_id,species,n_val_samples,n_val_pairs,auc
bio_prior_gated_species_head,0,0,Campylobacter_Jejuni,81,190,0.8611111111111113
bio_prior_gated_species_head,0,1,Candida_Albicans,53,403,0.8636190476190476
bio_prior_gated_species_head,0,2,Citrobacter_Freundii,131,2099,0.8998366191627332
bio_prior_gated_species_head,0,3,Citrobacter_Koseri,160,2567,0.9444261533098346
bio_prior_gated_species_head,0,4,Enterobacter_Cloacae,345,5131,0.9020361516378664
bio_prior_gated_species_head,0,5,Enterococcus_Faecalis,925,14081,0.9891377656142388
bio_prior_gated_species_head,0,6,Enterococcus_Faecium,465,5028,0.9781980427334832
bio_prior_gated_species_head,0,7,Escherichia_Coli,1533,24374,0.8595665201190306
bio_prior_gated_species_head,0,8,Haemophilus_Influenzae,170,579,0.8434032983508245
bio_prior_gated_species_head,0,9,Klebsiella_Oxytoca,238,3941,0.9134247652955955
bio_prior_gated_species_head,0,10,Klebsiella_Pneumoniae,3850,68001,0.8780816025509786
bio_prior_gated_species_head,0,11,Klebsiella_Variicola,147,2349,0.9426250767275588
bio_prior_gated_species_head,0,12,Morganella_Morganii,158,2619,0.9269922583876072
bio_prior_gated_species_head,0,13,Proteus_Mirabilis,473,8711,0.9205721593409467
bio_prior_gated_species_head,0,14,Proteus_Vulgaris,86,1274,0.987994250382167
bio_prior_gated_species_head,0,15,Pseudomonas_Aeruginosa,1090,12698,0.9499703308853822
bio_prior_gated_species_head,0,16,Serratia_Marcescens,245,3807,0.9797096316038646
bio_prior_gated_species_head,0,17,Staphylococcus_Aureus,1413,27955,0.9356130001617129
bio_prior_gated_species_head,0,18,Staphylococcus_Capitis,89,1827,0.9341097638800255
bio_prior_gated_species_head,0,19,Staphylococcus_Epidermidis,1128,22712,0.9263726932612127
bio_prior_gated_species_head,0,20,Staphylococcus_Haemolyticus,55,1205,0.9479492570091653
bio_prior_gated_species_head,0,21,Staphylococcus_Hominis,174,3715,0.9053315433494604
bio_prior_gated_species_head,0,22,Staphylococcus_Lugdunensis,104,2135,0.8884634819450383
bio_prior_gated_species_head,0,23,Stenotrophomonas_Maltophilia,131,609,0.98607061872368
bio_prior_gated_species_head,0,24,Streptococcus_Pneumoniae,123,1304,0.8423742138364779
bio_prior_gated_species_head,1,0,Campylobacter_Jejuni,93,222,0.9280132389445619
bio_prior_gated_species_head,1,1,Candida_Albicans,74,587,0.7516746411483254
bio_prior_gated_species_head,1,2,Citrobacter_Freundii,133,2208,0.8729792492615271
bio_prior_gated_species_head,1,3,Citrobacter_Koseri,165,2677,0.9715482914313324
bio_prior_gated_species_head,1,4,Enterobacter_Cloacae,311,4634,0.9086435082997055
bio_prior_gated_species_head,1,5,Enterococcus_Faecalis,895,14085,0.9864492354204712
bio_prior_gated_species_head,1,6,Enterococcus_Faecium,428,4553,0.9791431243198341
bio_prior_gated_species_head,1,7,Escherichia_Coli,1578,25297,0.8613491237132068
bio_prior_gated_species_head,1,8,Haemophilus_Influenzae,166,532,0.8608763237151461
bio_prior_gated_species_head,1,9,Klebsiella_Oxytoca,251,4169,0.9207401811444554
bio_prior_gated_species_head,1,10,Klebsiella_Pneumoniae,3838,67924,0.8828298727738122
bio_prior_gated_species_head,1,11,Klebsiella_Variicola,112,1766,0.8944865932238619
bio_prior_gated_species_head,1,12,Morganella_Morganii,166,2727,0.9436835352746575
bio_prior_gated_species_head,1,13,Proteus_Mirabilis,482,8700,0.9162706842836601
bio_prior_gated_species_head,1,14,Proteus_Vulgaris,93,1370,0.9812616460055349
bio_prior_gated_species_head,1,15,Pseudomonas_Aeruginosa,1109,13027,0.9417986167584977
bio_prior_gated_species_head,1,16,Serratia_Marcescens,244,3880,0.971455316480749
bio_prior_gated_species_head,1,17,Staphylococcus_Aureus,1488,29631,0.9272671365032731
bio_prior_gated_species_head,1,18,Staphylococcus_Capitis,90,1799,0.9531907921684278
bio_prior_gated_species_head,1,19,Staphylococcus_Epidermidis,1137,23116,0.9326855297879629
bio_prior_gated_species_head,1,20,Staphylococcus_Haemolyticus,56,1236,0.9322338616851643
bio_prior_gated_species_head,1,21,Staphylococcus_Hominis,149,3117,0.8770982258573253
bio_prior_gated_species_head,1,22,Staphylococcus_Lugdunensis,89,1763,0.9314568959988272
bio_prior_gated_species_head,1,23,Stenotrophomonas_Maltophilia,122,740,0.9732945897329459
bio_prior_gated_species_head,1,24,Streptococcus_Pneumoniae,98,921,0.8355108418983794
bio_prior_gated_species_head,2,0,Campylobacter_Jejuni,100,229,0.8992997973097475
bio_prior_gated_species_head,2,1,Candida_Albicans,64,487,0.8708450140168201
bio_prior_gated_species_head,2,2,Citrobacter_Freundii,115,1855,0.8793716636037455
bio_prior_gated_species_head,2,3,Citrobacter_Koseri,171,2732,0.9442446989494361
bio_prior_gated_species_head,2,4,Enterobacter_Cloacae,324,4816,0.9208274579317652
bio_prior_gated_species_head,2,5,Enterococcus_Faecalis,981,14954,0.9881157643190626
bio_prior_gated_species_head,2,6,Enterococcus_Faecium,462,4954,0.975139035038968
bio_prior_gated_species_head,2,7,Escherichia_Coli,1539,24279,0.8535860091014367
bio_prior_gated_species_head,2,8,Haemophilus_Influenzae,152,452,0.842694904849601
bio_prior_gated_species_head,2,9,Klebsiella_Oxytoca,243,4043,0.9525152741903437
bio_prior_gated_species_head,2,10,Klebsiella_Pneumoniae,3813,67329,0.8735563713877721
bio_prior_gated_species_head,2,11,Klebsiella_Variicola,141,2205,0.9703794863780799
bio_prior_gated_species_head,2,12,Morganella_Morganii,159,2628,0.9442793301717748
bio_prior_gated_species_head,2,13,Proteus_Mirabilis,465,8526,0.9147059527682366
bio_prior_gated_species_head,2,14,Proteus_Vulgaris,110,1667,0.9756468431255004
bio_prior_gated_species_head,2,15,Pseudomonas_Aeruginosa,1018,12053,0.9498391002263271
bio_prior_gated_species_head,2,16,Serratia_Marcescens,244,3890,0.9707510686473675
bio_prior_gated_species_head,2,17,Staphylococcus_Aureus,1454,28377,0.9297521991441181
bio_prior_gated_species_head,2,18,Staphylococcus_Capitis,78,1703,0.9156700249160438
bio_prior_gated_species_head,2,19,Staphylococcus_Epidermidis,1169,23774,0.922099789388443
bio_prior_gated_species_head,2,20,Staphylococcus_Haemolyticus,60,1334,0.925349532458191
bio_prior_gated_species_head,2,21,Staphylococcus_Hominis,172,3606,0.8983994668879984
bio_prior_gated_species_head,2,22,Staphylococcus_Lugdunensis,90,1820,0.9607248169340791
bio_prior_gated_species_head,2,23,Stenotrophomonas_Maltophilia,130,722,0.9766783216783217
bio_prior_gated_species_head,2,24,Streptococcus_Pneumoniae,112,1223,0.8411073929753863
bio_prior_gated_species_head,3,0,Campylobacter_Jejuni,97,258,0.8758358662613982
bio_prior_gated_species_head,3,1,Candida_Albicans,58,381,0.8542973385319546
bio_prior_gated_species_head,3,2,Citrobacter_Freundii,136,2168,0.878515625
bio_prior_gated_species_head,3,3,Citrobacter_Koseri,181,2902,0.9777693089430894
bio_prior_gated_species_head,3,4,Enterobacter_Cloacae,303,4464,0.9258559831377011
bio_prior_gated_species_head,3,5,Enterococcus_Faecalis,896,13774,0.9879011643736612
bio_prior_gated_species_head,3,6,Enterococcus_Faecium,444,4866,0.9745279066108034
bio_prior_gated_species_head,3,7,Escherichia_Coli,1556,24761,0.8610875094651967
bio_prior_gated_species_head,3,8,Haemophilus_Influenzae,203,679,0.8121674481887315
