antibiotic,ATC2,ATC3,ATC4,mechanism,beta_lactamase_inhibitor,beta_lactamase_known,metadata_found
5-Fluorocytosine,J02,J02A,J02AX,antifungal,0.0,1.0,1
Amikacin,J01,J01G,J01GB,protein_synthesis,0.0,1.0,1
Amoxicillin,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Amoxicillin-Clavulanic acid,J01,J01C,J01CR,cell_wall,1.0,1.0,1
Amoxicillin-Clavulanic acid_uncomplicated_HWI,J01,J01C,J01CR,cell_wall,1.0,1.0,1
Amphotericin B,J02,J02A,J02AA,membrane,0.0,1.0,1
Ampicillin,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Ampicillin-Sulbactam,J01,J01C,J01CR,cell_wall,1.0,1.0,1
Anidulafungin,J02,J02A,J02AX,cell_wall,0.0,1.0,1
Azithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1.0,1
Aztreonam,J01,J01D,J01DF,cell_wall,0.0,1.0,1
Bacitracin,J01,J01X,J01XX,cell_wall,0.0,1.0,1
Benzylpenicillin,J01,J01C,J01CE,cell_wall,0.0,1.0,1
Benzylpenicillin_others,J01,J01C,J01CE,cell_wall,0.0,1.0,1
Benzylpenicillin_with_meningitis,J01,J01C,J01CE,cell_wall,0.0,1.0,1
Benzylpenicillin_with_pneumonia,J01,J01C,J01CE,cell_wall,0.0,1.0,1
Caspofungin,J02,J02A,J02AX,cell_wall,0.0,1.0,1
Cefalotin-Cefazolin,UNK_ATC2,UNK_ATC3,UNK_ATC4,cell_wall,0.0,1.0,1
Cefazolin,J01,J01D,J01DB,cell_wall,0.0,1.0,1
Cefepime,J01,J01D,J01DE,cell_wall,0.0,1.0,1
Cefixime,J01,J01D,J01DD,cell_wall,0.0,1.0,1
Cefotaxime,J01,J01D,J01DD,cell_wall,0.0,1.0,1
Cefoxitin,J01,J01D,J01DC,cell_wall,0.0,1.0,1
Cefoxitin_screen,J01,J01D,J01DC,cell_wall,0.0,1.0,1
Cefpodoxime,J01,J01D,J01DD,cell_wall,0.0,1.0,1
Ceftarolin,J01,J01D,J01DI,cell_wall,0.0,1.0,1
Ceftazidime,J01,J01D,J01DD,cell_wall,0.0,1.0,1
Ceftazidime-Avibactam,J01,J01D,J01DD,cell_wall,1.0,1.0,1
Ceftobiprole,J01,J01D,J01DI,cell_wall,0.0,1.0,1
Ceftolozane-Tazobactam,J01,J01D,J01DI,cell_wall,1.0,1.0,1
Ceftriaxone,J01,J01D,J01DD,cell_wall,0.0,1.0,1
Cefuroxime,J01,J01D,J01DC,cell_wall,0.0,1.0,1
Cefuroxime.1,J01,J01D,J01DC,cell_wall,0.0,1.0,1
Chloramphenicol,J01,J01B,J01BA,protein_synthesis,0.0,1.0,1
Ciprofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Clarithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1.0,1
Clindamycin,J01,J01F,J01FF,protein_synthesis,0.0,1.0,1
Clindamycin_induced,J01,J01F,J01FF,protein_synthesis,0.0,1.0,1
Colistin,J01,J01X,J01XB,membrane,0.0,1.0,1
Cotrimoxazol,J01,J01E,J01EE,metabolic,0.0,1.0,1
Cotrimoxazole,J01,J01E,J01EE,metabolic,0.0,1.0,1
Daptomycin,J01,J01X,J01XX,membrane,0.0,1.0,1
Doxycycline,J01,J01A,J01AA,protein_synthesis,0.0,1.0,1
Ertapenem,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Erythromycin,J01,J01F,J01FA,protein_synthesis,0.0,1.0,1
Ethambutol_5mg-l,J04,J04A,J04AK,cell_wall,0.0,1.0,1
Fluconazole,J02,J02A,J02AC,membrane,0.0,1.0,1
Fosfomycin,J01,J01X,J01XX,cell_wall,0.0,1.0,1
Fusidic acid,J01,J01X,J01XC,protein_synthesis,0.0,1.0,1
Gentamicin,J01,J01G,J01GB,protein_synthesis,0.0,1.0,1
Gentamicin_high_level,J01,J01G,J01GB,protein_synthesis,0.0,1.0,1
Imipenem,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Isavuconazole,J02,J02A,J02AC,membrane,0.0,1.0,1
Isoniazid_.1mg-l,J04,J04A,J04AC,metabolic,0.0,1.0,1
Isoniazid_.4mg-l,J04,J04A,J04AC,metabolic,0.0,1.0,1
Itraconazole,J02,J02A,J02AC,membrane,0.0,1.0,1
Levofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Linezolid,J01,J01X,J01XX,protein_synthesis,0.0,1.0,1
MRSA,UNK_ATC2,UNK_ATC3,UNK_ATC4,unknown,0.0,0.0,1
Meropenem,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Meropenem-Vaborbactam,J01,J01D,J01DH,cell_wall,1.0,1.0,1
Meropenem_with_meningitis,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Meropenem_with_pneumonia,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Meropenem_without_meningitis,J01,J01D,J01DH,cell_wall,0.0,1.0,1
Metronidazole,J01,J01X,J01XD,DNA_RNA,0.0,1.0,1
Micafungin,J02,J02A,J02AX,cell_wall,0.0,1.0,1
Minocycline,J01,J01A,J01AA,protein_synthesis,0.0,1.0,1
Moxifloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Mupirocin,D06,D06A,D06AX,antifungal,0.0,1.0,1
Nitrofurantoin,J01,J01X,J01XE,DNA_RNA,0.0,1.0,1
Norfloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Novobiocin,UNK_ATC2,UNK_ATC3,UNK_ATC4,DNA_gyrase,0.0,1.0,1
Ofloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Oxacillin,J01,J01C,J01CF,cell_wall,0.0,1.0,1
Pefloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Penicillin,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_with_endokarditis,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_with_meningitis,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_with_other_infections,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_with_pneumonia,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_without_endokarditis,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Penicillin_without_meningitis,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Piperacillin,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Piperacillin-Tazobactam,J01,J01C,J01CR,cell_wall,1.0,1.0,1
Polymyxin B,J01,J01X,J01XB,membrane,0.0,1.0,1
Posaconazole,J02,J02A,J02AC,membrane,0.0,1.0,1
Pristinamycin,J01,J01F,J01FG,protein_synthesis,0.0,1.0,1
Pyrazinamide,J04,J04A,J04AK,metabolic,0.0,1.0,1
Rifampicin,J04,J04A,J04AB,DNA_RNA,0.0,1.0,1
Rifampicin_1mg-l,J04,J04A,J04AB,DNA_RNA,0.0,1.0,1
Sparfloxacin,J01,J01M,J01MA,DNA_RNA,0.0,1.0,1
Strepomycin_high_level,J01,J01G,J01GA,protein_synthesis,0.0,1.0,1
Streptomycin,J01,J01G,J01GA,protein_synthesis,0.0,1.0,1
Teicoplanin,J01,J01X,J01XA,cell_wall,0.0,1.0,1
Teicoplanin_GRD,J01,J01X,J01XA,cell_wall,0.0,1.0,1
Telithromycin,J01,J01F,J01FA,protein_synthesis,0.0,1.0,1
Tetracycline,J01,J01A,J01AA,protein_synthesis,0.0,1.0,1
Ticarcillin,J01,J01C,J01CA,cell_wall,0.0,1.0,1
Ticarcillin-Clavulan acid,J01,J01C,J01CR,cell_wall,1.0,1.0,1
Tigecycline,J01,J01A,J01AA,protein_synthesis,0.0,1.0,1
Tobramycin,J01,J01G,J01GB,protein_synthesis,0.0,1.0,1
Vancomycin,J01,J01X,J01XA,cell_wall,0.0,1.0,1
Vancomycin_GRD,J01,J01X,J01XA,cell_wall,0.0,1.0,1
Voriconazole,J02,J02A,J02AC,membrane,0.0,1.0,1
