model_mode,fold,n_train_samples,n_val_samples,n_antibiotics,n_train_pairs,n_val_pairs,fusion_input_dim,maldi_emb_dim,species_emb_dim,drug_emb_dim,epi_dim,epi_emb_dim,final_alpha,global_auc,macro_antibiotic_auc,antibiotics
enriched_species_only_head,0,53465,13367,69,879791,219314,106,32,16,16,12,16,,0.9228082598232544,0.8490846268083647,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_species_only_head,1,53465,13367,68,878352,220681,106,32,16,16,12,16,,0.9264128922677416,0.8384998249897629,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_species_only_head,2,53466,13366,68,879375,219658,106,32,16,16,12,16,,0.928272103785704,0.8621628193562196,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_species_only_head,3,53466,13366,68,879464,219343,106,32,16,16,12,16,,0.9285763549084841,0.8497349924309289,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_species_only_head,4,53466,13366,71,879178,220041,106,32,16,16,12,16,,0.9254363353584191,0.8523528340379356,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_implicit_hypernetwork,0,53465,13367,69,879791,219314,106,32,16,16,12,16,0.027162475511431694,0.924606465326132,0.8636332993408106,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_implicit_hypernetwork,1,53465,13367,68,878352,220681,106,32,16,16,12,16,0.001767822657711804,0.9267425354952952,0.8508822205923705,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_implicit_hypernetwork,2,53466,13366,68,879375,219658,106,32,16,16,12,16,0.004070717841386795,0.9249344705932606,0.8385799334475061,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_implicit_hypernetwork,3,53466,13366,68,879464,219343,106,32,16,16,12,16,0.029269734397530556,0.9255537359928555,0.8652144317725038,Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
enriched_implicit_hypernetwork,4,53466,13366,71,879178,220041,106,32,16,16,12,16,0.01664162427186966,0.9223895810967917,0.8508146908332458,5-Fluorocytosine;Amikacin;Amoxicillin;Amoxicillin-Clavulanic acid;Amoxicillin-Clavulanic acid_uncomplicated_HWI;Ampicillin;Anidulafungin;Azithromycin;Aztreonam;Benzylpenicillin;Caspofungin;Cefazolin;Cefepime;Cefixime;Cefotaxime;Cefoxitin;Cefpodoxime;Ceftazidime;Ceftazidime-Avibactam;Ceftobiprole;Ceftolozane-Tazobactam;Ceftriaxone;Cefuroxime;Chloramphenicol;Ciprofloxacin;Clarithromycin;Clindamycin;Colistin;Cotrimoxazol;Cotrimoxazole;Daptomycin;Doxycycline;Ertapenem;Erythromycin;Fluconazole;Fosfomycin;Fusidic acid;Gentamicin;Gentamicin_high_level;Imipenem;Itraconazole;Levofloxacin;Linezolid;Meropenem;Meropenem_with_meningitis;Meropenem_without_meningitis;Micafungin;Minocycline;Moxifloxacin;Mupirocin;Nitrofurantoin;Norfloxacin;Oxacillin;Penicillin;Penicillin_with_meningitis;Penicillin_with_other_infections;Penicillin_with_pneumonia;Piperacillin;Piperacillin-Tazobactam;Polymyxin B;Posaconazole;Pristinamycin;Rifampicin;Strepomycin_high_level;Teicoplanin;Tetracycline;Ticarcillin;Tigecycline;Tobramycin;Vancomycin;Voriconazole
